,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
6295,1900,,,,,,,,,,,,0.021,4.206,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4932256.0,,,,,,8425476096.0,,
6296,1901,0.0,0.0,0.0,,0.0,,,,,,,0.021,4.171,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4973606.0,,,,,,8135115776.0,,
6297,1902,-30.769,-0.006,0.0,,0.0,,,,,,,0.014,2.863,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5016737.0,,,,,,10496751616.0,,
6298,1903,11.111,0.002,0.0,,0.0,,,,,,,0.016,3.156,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5055117.0,,,,,,10331613184.0,,
6299,1904,30.0,0.005,0.0,,0.0,,,,,,,0.021,4.074,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5091941.0,,,,,,10969299968.0,,
6300,1905,-7.692,-0.002,0.0,,0.0,,,,,,,0.019,3.734,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5127322.0,,,,,,11324151808.0,,
6301,1906,0.0,0.0,0.0,,0.0,,,,,,,0.019,3.709,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5162921.0,,,,,,11268971520.0,,
6302,1907,0.0,0.0,0.0,,0.0,,,,,,,0.019,3.684,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5198162.0,,,,,,11503679488.0,,
6303,1908,-25.0,-0.005,0.0,,0.0,,,,,,,0.014,2.744,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5234265.0,,,,,,11520216064.0,,
6304,1909,-55.555,-0.008,0.0,,0.0,,,,,,,0.006,1.211,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5270166.0,,,,,,11833919488.0,,
6305,1910,-75.0,-0.005,0.0,,0.0,,,,,,,0.002,0.301,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5305864.0,,,,,,11868919808.0,,
6306,1911,-100.0,-0.002,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5341759.0,,,,,,14897609728.0,,
6307,1912,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5376454.0,,,,,,14552999936.0,,
