,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
6536,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,2204.926,,,,,,,,,,,,,,,,,89000.0,0.196,,,,,,,
6537,1981,,0.0,,,,14.499,0.028,,,,,0.0,0.0,,,,,,,,,2469.138,,,,,,,,,,,,,,,,,91000.0,0.225,,,,,,,
6538,1982,,0.0,,,,11.097,0.025,,,,,0.0,0.0,,,,,,,,,2684.136,,,,,,,,,,,,,,,,,93000.0,0.25,,,,,,,
6539,1983,,0.0,,,,-2.585,-0.006,,,,,0.0,0.0,,,,,,,,,2533.035,,,,,,,,,,,,,,,,,96000.0,0.243,,,,,,,
6540,1984,,0.0,,,,2.895,0.007,,,,,0.0,0.0,,,,,,,,,2553.177,,,,,,,,,,,,,,,,,98000.0,0.25,,,,,,,
6541,1985,,0.0,,,,2.931,0.007,,,,,0.0,0.0,,,,,,,,,2575.446,,,,,,,,,,,,,,,,,100000.0,0.258,,,,,,,
6542,1986,,0.0,,,,7.742,0.02,,,,,0.0,0.0,,,,,,,,,2774.838,,,,,,,,,,,,,,,,,100000.0,0.277,,,,,,,
6543,1987,,0.0,,,,23.115,0.064,,,,,0.0,0.0,,,,,,,,,3450.752,,,,,,,,,,,,,,,,,99000.0,0.342,,,,,,,
6544,1988,,0.0,,,,3.834,0.013,,,,,0.0,0.0,,,,,,,,,3619.632,,,,,,,,,,,,,,,,,98000.0,0.355,,,,,,,
6545,1989,,0.0,,,,-0.232,-0.001,,,,,0.0,0.0,,,,,,,,,3648.475,,,,,,,,,,,,,,,,,97000.0,0.354,,,,,,,
6546,1990,,0.0,,,,48.664,0.172,,,,,0.0,0.0,,,,,,,,,5480.465,,,,,,,,,,,,,,,,,96000.0,0.526,,,,,,,
6547,1991,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,5480.465,,,,,,,,,,,,,,,,,96000.0,0.526,,,,,,,
6548,1992,,0.0,,,,3.097,0.016,,,,,0.0,0.0,,,,,,,,,5591.944,,,,,,,,,,,,,,,,,97000.0,0.542,,,,,,,
6549,1993,,0.0,,,,14.958,0.081,,,,,0.0,0.0,,,,,,,,,6362.804,,,,,,,,,,,,,,,,,98000.0,0.624,,,,,,,
6550,1994,,0.0,,,,14.684,0.092,,,,,0.0,0.0,,,,,,,,,7223.423,,,,,,,,,,,,,,,,,99000.0,0.715,,,,,,,
6551,1995,,0.0,,,,-8.924,-0.064,,,,,0.0,0.0,,,,,,,,,6513.042,,,,,,,,,,,,,,,,,100000.0,0.651,,,,,,,
6552,1996,,0.0,,,,7.083,0.046,,,,,0.0,0.0,,,,,,,,,6905.339,,,,,,,,,,,,,,,,,101000.0,0.697,,,,,,,
6553,1997,,0.0,,,,32.335,0.226,,,,,0.0,0.0,,,,,,,,,9048.576,,,,,,,,,,,,,,,,,102000.0,0.923,,,,,,,
6554,1998,,0.0,,,,-13.283,-0.123,,,,,0.0,0.0,,,,,,,,,7846.621,,,,,,,,,,,,,,,,,102000.0,0.8,,,,,,,
6555,1999,,0.0,,,,0.001,0.0,,,,,0.0,0.0,,,,,,,,,7846.696,,,,,,,,,,,,,,,,,102000.0,0.8,,,,,,,
6556,2000,,0.0,,,,7.904,0.063,,,,,0.0,0.0,0.131,0.0,0.0,0.0,0.0,0.0,0.0,,8384.666,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1271.845,103000.0,0.864,0.0,0.0,0.0,0.0,,0.0,0.0
