,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
6576,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,6092.928,,,,,,,,,,,,,,,,,337000.0,2.053,,,,,,,
6577,1981,,0.0,,,,42.857,0.88,,,,,0.0,0.0,,,,,,,,,8704.183,,,,,,,,,,,,,,,,,337000.0,2.933,,,,,,,
6578,1982,,0.0,,,,30.0,0.88,,,,,0.0,0.0,,,,,,,,,11315.438,,,,,,,,,,,,,,,,,337000.0,3.813,,,,,,,
6579,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,11315.438,,,,,,,,,,,,,,,,,337000.0,3.813,,,,,,,
6580,1984,,0.0,,,,15.385,0.587,,,,,0.0,0.0,,,,,,,,,13017.647,,,,,,,,,,,,,,,,,338000.0,4.4,,,,,,,
6581,1985,,0.0,,,,-13.333,-0.587,,,,,0.0,0.0,,,,,,,,,11117.5,,,,,,,,,,,,,,,,,343000.0,3.813,,,,,,,
6582,1986,,0.0,,,,4.507,0.172,,,,,0.0,0.0,,,,,,,,,11386.244,,,,,,,,,,,,,,,,,350000.0,3.985,,,,,,,
6583,1987,,0.0,,,,15.627,0.623,,,,,0.0,0.0,,,,,,,,,12799.893,,,,,,,,,,,,,,,,,360000.0,4.608,,,,,,,
6584,1988,,0.0,,,,10.117,0.466,,,,,0.0,0.0,,,,,,,,,13676.92,,,,,,,,,,,,,,,,,371000.0,5.074,,,,,,,
6585,1989,,0.0,,,,10.183,0.517,,,,,0.0,0.0,,,,,,,,,14674.106,,,,,,,,,,,,,,,,,381000.0,5.591,,,,,,,
