,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
6616,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,149485.981,,,,,,,,,,,,,,,,,104000.0,15.547,,,,,,,
6617,1981,,0.0,,,,39.623,6.16,,,,,0.0,0.0,,,,,,,,,204778.231,,,,,,,,,,,,,,,,,106000.0,21.706,,,,,,,
6618,1982,,0.0,,,,-21.622,-4.693,,,,,0.0,0.0,,,,,,,,,156084.373,,,,,,,,,,,,,,,,,109000.0,17.013,,,,,,,
6619,1983,,0.0,,,,-5.172,-0.88,,,,,0.0,0.0,,,,,,,,,145344.175,,,,,,,,,,,,,,,,,111000.0,16.133,,,,,,,
6620,1984,,0.0,,,,-65.455,-10.56,,,,,0.0,0.0,,,,,,,,,48888.495,,,,,,,,,,,,,,,,,114000.0,5.573,,,,,,,
6621,1985,,0.0,,,,-52.632,-2.933,,,,,0.0,0.0,,,,,,,,,22563.922,,,,,,,,,,,,,,,,,117000.0,2.64,,,,,,,
6622,1986,,0.0,,,,70.684,1.866,,,,,0.0,0.0,,,,,,,,,37865.77,,,,,,,,,,,,,,,,,119000.0,4.506,,,,,,,
6623,1987,,0.0,,,,-29.624,-1.335,,,,,0.0,0.0,,,,,,,,,25993.13,,,,,,,,,,,,,,,,,122000.0,3.171,,,,,,,
6624,1988,,0.0,,,,3.474,0.11,,,,,0.0,0.0,,,,,,,,,26250.748,,,,,,,,,,,,,,,,,125000.0,3.281,,,,,,,
6625,1989,,0.0,,,,-7.112,-0.233,,,,,0.0,0.0,,,,,,,,,23812.356,,,,,,,,,,,,,,,,,128000.0,3.048,,,,,,,
