,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
6776,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.621,809.45,,,,,,,,,,,,,,,,,4871000.0,3.943,,,,,6345868800.0,,
6777,1981,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.627,793.326,,,,,,,,,,,,,,,,,4970000.0,3.943,,,,,6292440064.0,,
6778,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.625,776.606,,,,,,,,,,,,,,,,,5077000.0,3.943,,,,,6309596160.0,,
6779,1983,,0.0,,,,0.362,0.014,,,,,0.0,0.0,,,,,,,,0.628,761.716,,,,,,,,,,,,,,,,,5195000.0,3.957,,,,,6296220160.0,,
6780,1984,,0.0,,,,0.144,0.006,,,,,0.0,0.0,,,,,,,,0.63,744.053,,,,,,,,,,,,,,,,,5326000.0,3.963,,,,,6286625792.0,,
6781,1985,,0.0,,,,-6.969,-0.276,,,,,0.0,0.0,,,,,,,,0.567,673.851,,,,,,,,,,,,,,,,,5471000.0,3.687,,,,,6497161216.0,,
6782,1986,,0.0,,,,24.837,0.916,,,,,0.0,0.0,,,,,,,,0.698,817.603,,,,,,,,,,,,,,,,,5629000.0,4.602,,,,,6591468032.0,,
6783,1987,,0.0,,,,6.743,0.31,,,,,0.0,0.0,,,,,,,,0.733,846.854,,,,,,,,,,,,,,,,,5801000.0,4.913,,,,,6699935744.0,,
6784,1988,,0.0,,,,1.439,0.071,,,,,0.0,0.0,,,,,,,,0.711,833.049,,,,,,,,,,,,,,,,,5982000.0,4.983,,,,,7010079232.0,,
6785,1989,,0.0,,,,-3.365,-0.168,,,,,0.0,0.0,,,,,,,,0.672,780.869,,,,,,,,,,,,,,,,,6167000.0,4.816,,,,,7169540096.0,,
6786,1990,,0.0,,,,32.175,1.549,,,,,0.0,0.0,,,,,,,,0.866,1002.054,,,,,,,,,,,,,,,,,6352000.0,6.365,,,,,7353836032.0,,
6787,1991,,0.0,,,,-21.226,-1.351,,,,,0.0,0.0,,,,,,,,0.684,767.255,,,,,,,,,,,,,,,,,6535000.0,5.014,,,,,7331687936.0,,
6788,1992,,0.0,,,,3.177,0.159,,,,,0.0,0.0,,,,,,,,0.695,770.295,,,,,,,,,,,,,,,,,6716000.0,5.173,,,,,7440293888.0,,
6789,1993,,0.0,,,,4.631,0.24,,,,,0.0,0.0,,,,,,,,0.705,784.819,,,,,,,,,,,,,,,,,6897000.0,5.413,,,,,7673922048.0,,
6790,1994,,0.0,,,,1.145,0.062,,,,,0.0,0.0,,,,,,,,0.699,773.175,,,,,,,,,,,,,,,,,7081000.0,5.475,,,,,7836183040.0,,
6791,1995,,0.0,,,,-0.558,-0.031,,,,,0.0,0.0,,,,,,,,0.676,748.876,,,,,,,,,,,,,,,,,7270000.0,5.444,,,,,8056571904.0,,
6792,1996,,0.0,,,,0.456,0.025,,,,,0.0,0.0,,,,,,,,0.662,732.741,,,,,,,,,,,,,,,,,7464000.0,5.469,,,,,8256543744.0,,
6793,1997,,0.0,,,,5.485,0.3,,,,,0.0,0.0,,,,,,,,0.677,752.955,,,,,,,,,,,,,,,,,7662000.0,5.769,,,,,8515563008.0,,
6794,1998,,0.0,,,,2.166,0.125,,,,,0.0,0.0,,,,,,,,0.681,749.79,,,,,,,,,,,,,,,,,7861000.0,5.894,,,,,8658164736.0,,
6795,1999,,0.0,,,,4.072,0.24,,,,,0.0,0.0,,,,,,,,0.697,761.527,,,,,,,,,,,,,,,,,8055000.0,6.134,,,,,8806320128.0,,
6796,2000,,0.0,,,,26.05,1.598,,,,,0.0,0.0,0.743,0.406,0.0,0.0,0.406,0.0,0.0,0.874,938.242,,,,54.643,49.266,54.643,0.406,49.266,0.0,0.0,,,,0.0,0.0,90.159,8241000.0,7.732,49.266,54.643,0.0,0.0,8842649600.0,0.0,0.0
6797,2001,,0.0,,,,9.114,0.705,,,,,0.0,0.0,0.933,0.546,0.0,0.0,0.546,0.0,0.0,0.939,1002.344,,,,58.521,64.869,58.521,0.546,64.869,0.0,0.0,,,,0.0,0.0,110.847,8417000.0,8.437,64.869,58.521,0.0,0.0,8980938752.0,0.0,0.0
6798,2002,,0.0,,,,4.473,0.377,,,,,0.0,0.0,0.984,0.589,0.0,0.0,0.589,0.0,0.0,0.953,1026.564,,,,59.858,68.6,59.858,0.589,68.6,0.0,0.0,,,,0.0,0.0,114.605,8586000.0,8.814,68.6,59.858,0.0,0.0,9252719616.0,0.0,0.0
