,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
6816,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.293,375.104,,,,,,,,,,,,,,,,,782000.0,0.293,,,,,999662976.0,,
6817,1981,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.295,369.434,,,,,,,,,,,,,,,,,794000.0,0.293,,,,,994224000.0,,
6818,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.283,362.137,,,,,,,,,,,,,,,,,810000.0,0.293,,,,,1036630016.0,,
6819,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.293,353.411,,,,,,,,,,,,,,,,,830000.0,0.293,,,,,1000480000.0,,
6820,1984,,0.0,,,,100.0,0.293,,,,,0.0,0.0,,,,,,,,0.555,689.379,,,,,,,,,,,,,,,,,851000.0,0.587,,,,,1056164992.0,,
6821,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.533,672.777,,,,,,,,,,,,,,,,,872000.0,0.587,,,,,1100940032.0,,
6822,1986,,0.0,,,,-21.361,-0.125,,,,,0.0,0.0,,,,,,,,0.423,516.623,,,,,,,,,,,,,,,,,893000.0,0.461,,,,,1089917952.0,,
6823,1987,,0.0,,,,72.581,0.335,,,,,0.0,0.0,,,,,,,,0.706,872.06,,,,,,,,,,,,,,,,,913000.0,0.796,,,,,1127232000.0,,
6824,1988,,0.0,,,,14.985,0.119,,,,,0.0,0.0,,,,,,,,0.711,981.241,,,,,,,,,,,,,,,,,933000.0,0.915,,,,,1287250048.0,,
6825,1989,,0.0,,,,1.147,0.01,,,,,0.0,0.0,,,,,,,,0.722,970.647,,,,,,,,,,,,,,,,,954000.0,0.926,,,,,1282067968.0,,
