,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
6856,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,7915.687,,,,,,,,,,,,,,,,,780000.0,6.174,,,,,,,
6857,1981,,0.0,,,,14.253,0.88,,,,,0.0,0.0,,,,,,,,,9020.753,,,,,,,,,,,,,,,,,782000.0,7.054,,,,,,,
6858,1982,,0.0,,,,-16.633,-1.173,,,,,0.0,0.0,,,,,,,,,7529.968,,,,,,,,,,,,,,,,,781000.0,5.881,,,,,,,
6859,1983,,0.0,,,,-14.964,-0.88,,,,,0.0,0.0,,,,,,,,,6419.657,,,,,,,,,,,,,,,,,779000.0,5.001,,,,,,,
6860,1984,,0.0,,,,17.597,0.88,,,,,0.0,0.0,,,,,,,,,7588.265,,,,,,,,,,,,,,,,,775000.0,5.881,,,,,,,
6861,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,7637.539,,,,,,,,,,,,,,,,,770000.0,5.881,,,,,,,
6862,1986,,0.0,,,,-4.616,-0.271,,,,,0.0,0.0,,,,,,,,,7342.224,,,,,,,,,,,,,,,,,764000.0,5.609,,,,,,,
6863,1987,,0.0,,,,-23.997,-1.346,,,,,0.0,0.0,,,,,,,,,5631.889,,,,,,,,,,,,,,,,,757000.0,4.263,,,,,,,
6864,1988,,0.0,,,,-1.158,-0.049,,,,,0.0,0.0,,,,,,,,,5611.147,,,,,,,,,,,,,,,,,751000.0,4.214,,,,,,,
6865,1989,,0.0,,,,-32.736,-1.379,,,,,0.0,0.0,,,,,,,,,3799.588,,,,,,,,,,,,,,,,,746000.0,2.834,,,,,,,
6866,1990,,0.0,,,,-3.76,-0.107,,,,,0.0,0.0,,,,,,,,,3671.479,,,,,,,,,,,,,,,,,743000.0,2.728,,,,,,,
6867,1991,,0.0,,,,17.868,0.487,,,,,0.0,0.0,,,,,,,,,4321.697,,,,,,,,,,,,,,,,,744000.0,3.215,,,,,,,
6868,1992,,0.0,,,,10.439,0.336,,,,,0.0,0.0,,,,,,,,,4740.998,,,,,,,,,,,,,,,,,749000.0,3.551,,,,,,,
6869,1993,,0.0,,,,27.968,0.993,,,,,0.0,0.0,,,,,,,,,6026.748,,,,,,,,,,,,,,,,,754000.0,4.544,,,,,,,
6870,1994,,0.0,,,,-0.109,-0.005,,,,,0.0,0.0,,,,,,,,,5980.529,,,,,,,,,,,,,,,,,759000.0,4.539,,,,,,,
6871,1995,,0.0,,,,-15.255,-0.692,,,,,0.0,0.0,,,,,,,,,5054.861,,,,,,,,,,,,,,,,,761000.0,3.847,,,,,,,
6872,1996,,0.0,,,,9.148,0.352,,,,,0.0,0.0,,,,,,,,,5517.295,,,,,,,,,,,,,,,,,761000.0,4.199,,,,,,,
6873,1997,,0.0,,,,6.452,0.271,,,,,0.0,0.0,,,,,,,,,5896.544,,,,,,,,,,,,,,,,,758000.0,4.47,,,,,,,
6874,1998,,0.0,,,,29.709,1.328,,,,,0.0,0.0,,,,,,,,,7688.914,,,,,,,,,,,,,,,,,754000.0,5.797,,,,,,,
6875,1999,,0.0,,,,20.046,1.162,,,,,0.0,0.0,,,,,,,,,9279.467,,,,,,,,,,,,,,,,,750000.0,6.96,,,,,,,
6876,2000,,0.0,,,,-2.084,-0.145,,,,,0.0,0.0,0.877,0.0,0.0,0.041,0.041,0.0,0.0,,9122.535,,,,0.0,0.0,4.675,0.041,54.886,0.0,0.0,,,,54.886,4.675,1174.029,747000.0,6.815,54.886,4.675,0.0,0.0,,0.0,0.0
6877,2001,,0.0,,,,-2.593,-0.177,,,,,0.0,0.0,0.91,0.0,0.0,0.047,0.047,0.0,0.0,,8909.86,,,,0.0,0.0,5.165,0.047,63.087,0.0,0.0,,,,63.087,5.165,1221.477,745000.0,6.638,63.087,5.165,0.0,0.0,,0.0,0.0
6878,2002,,0.0,,,,0.805,0.053,,,,,0.0,0.0,0.914,0.0,0.0,0.056,0.056,0.0,0.0,,8981.585,,,,0.0,0.0,6.127,0.056,75.168,0.0,0.0,,,,75.168,6.127,1226.846,745000.0,6.691,75.168,6.127,0.0,0.0,,0.0,0.0
6879,2003,,0.0,,,,3.34,0.223,,,,,0.0,0.0,0.822,0.0,0.0,0.051,0.051,0.0,0.0,,9281.584,,,,0.0,0.0,6.204,0.051,68.456,0.0,0.0,,,,68.456,6.204,1103.356,745000.0,6.915,68.456,6.204,0.0,0.0,,0.0,0.0
6880,2004,,0.0,,,,-2.61,-0.18,,,,,0.0,0.0,0.858,0.0,0.0,0.056,0.056,0.0,0.0,,9027.208,,,,0.0,0.0,6.527,0.056,75.067,0.0,0.0,,,,75.067,6.527,1150.134,746000.0,6.734,75.067,6.527,0.0,0.0,,0.0,0.0
6881,2005,,0.0,,,,-9.495,-0.639,,,,,0.0,0.0,0.65,0.0,0.0,0.045,0.045,0.0,0.0,,8170.117,,,,0.0,0.0,6.952,0.045,60.59,0.0,0.0,,,,60.322,6.921,871.582,746000.0,6.095,60.59,6.952,0.031,0.268,,0.0,0.0
6882,2006,,0.0,,,,-10.717,-0.653,,,,,0.0,0.0,0.669,0.0,0.0,0.045,0.045,0.0,0.0,,7294.524,,,,0.0,0.0,6.768,0.045,60.724,0.0,0.0,,,,60.322,6.723,897.185,746000.0,5.442,60.724,6.768,0.045,0.402,,0.0,0.0
6883,2007,,0.0,,,,24.21,1.317,,,,,0.0,0.0,0.704,0.0,0.0,0.047,0.047,0.0,0.0,,9060.498,,,,0.0,0.0,6.729,0.047,63.539,0.0,0.0,,,,63.003,6.672,944.236,746000.0,6.759,63.539,6.729,0.057,0.536,,0.0,0.0
6884,2008,,0.0,,,,-4.932,-0.333,,,,,0.0,0.0,0.71,0.0,0.0,0.045,0.045,0.0,0.0,,8602.136,,,,0.0,0.0,6.391,0.045,60.776,0.0,0.0,,,,60.241,6.334,951.004,747000.0,6.426,60.776,6.391,0.056,0.535,,0.0,0.0
6885,2009,,0.0,,,,3.064,0.197,,,,,0.0,0.0,0.726,0.0,0.0,0.045,0.046,0.0,0.0,,8853.858,,,,0.0,0.0,6.272,0.046,60.829,0.0,0.0,,,,60.16,6.203,969.92,748000.0,6.623,60.829,6.272,0.069,0.668,,0.0,0.0
6886,2010,,0.0,,,,7.778,0.515,,,,,0.0,0.0,0.825,0.0,0.0,0.01,0.01,0.0,0.0,,9529.779,,,,0.0,0.0,1.242,0.01,13.682,0.0,0.0,,,,13.351,1.212,1101.8,749000.0,7.138,13.682,1.242,0.03,0.331,,0.0,0.0
6887,2011,,0.0,,,,3.822,0.273,,,,,0.0,0.0,0.868,0.0,0.0,0.012,0.013,0.001,0.0,,9854.558,,,,0.0,0.0,1.535,0.013,17.73,0.0,0.0,,,,15.957,1.382,1154.698,752000.0,7.411,17.73,1.535,0.154,1.773,,0.0,0.0
6888,2012,,0.0,,,,13.104,0.971,,,,,0.0,0.0,0.904,0.0,0.0,0.018,0.019,0.001,0.0,,11101.658,,,,0.0,0.0,2.146,0.019,25.703,0.0,0.0,,,,23.841,1.99,1197.889,755000.0,8.382,25.703,2.146,0.155,1.862,,0.0,0.0
6889,2013,,0.0,,,,-2.611,-0.219,,,,,0.0,0.0,0.926,0.0,0.0,0.021,0.022,0.001,0.0,,10754.789,,,,0.0,0.0,2.427,0.022,29.63,0.0,0.0,,,,27.668,2.267,1220.671,759000.0,8.163,29.63,2.427,0.161,1.962,,0.0,0.0
6890,2014,,0.0,,,,0.233,0.019,,,,,0.0,0.0,0.942,0.0,0.0,0.02,0.022,0.002,0.0,,10723.359,,,,0.0,0.0,2.289,0.022,28.248,0.0,0.0,,,,26.212,2.124,1234.014,763000.0,8.182,28.248,2.289,0.165,2.035,,0.0,0.0
6891,2015,,0.0,,,,3.251,0.266,,,,,0.0,0.0,1.005,0.0,0.0,0.026,0.029,0.002,0.0,,11014.285,,,,0.0,0.0,2.845,0.029,37.258,0.0,0.0,,,,33.898,2.588,1309.748,767000.0,8.448,37.258,2.845,0.217,2.838,,0.04,0.522
