,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
6896,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.266,791.55,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5643000.0,4.467,,,,,16805395456.0,,
6897,1981,,0.0,0.0,,0.0,-32.515,-1.452,,,,,0.0,0.0,,,,,,,,0.185,522.146,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5773000.0,3.014,,,,,16326209536.0,,
6898,1982,,0.0,0.0,,0.0,42.157,1.271,,,,,0.0,0.0,,,,,,,,0.272,725.061,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5910000.0,4.285,,,,,15739712512.0,,
6899,1983,,0.0,0.0,,0.0,-14.89,-0.638,,,,,0.0,0.0,,,,,,,,0.23,602.619,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6052000.0,3.647,,,,,15884401664.0,,
6900,1984,,0.0,0.0,,0.0,1.548,0.056,,,,,0.0,0.0,,,,,,,,0.232,597.82,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6195000.0,3.703,,,,,15934100480.0,,
6901,1985,,0.0,0.0,,0.0,16.868,0.625,,,,,0.0,0.0,,,,,,,,0.27,683.007,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6337000.0,4.328,,,,,16028487680.0,,
6902,1986,,0.0,0.0,,0.0,-4.851,-0.21,,,,,0.0,0.0,,,,,,,,0.258,635.632,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6479000.0,4.118,,,,,15946850304.0,,
6903,1987,,0.0,0.0,,0.0,50.764,2.091,,,,,0.0,0.0,,,,,,,,0.392,938.036,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6619000.0,6.209,,,,,15824830464.0,,
6904,1988,,0.0,0.0,,0.0,8.878,0.551,,,,,0.0,0.0,,,,,,,,0.414,1000.307,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6758000.0,6.76,,,,,16328351744.0,,
6905,1989,,0.0,0.0,,0.0,-7.998,-0.541,,,,,0.0,0.0,,,,,,,,0.392,901.621,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6898000.0,6.219,,,,,15852502016.0,,
