,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
6936,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.885,2593.526,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3678000.0,9.539,,,,,10777536512.0,,
6937,1981,,0.0,0.0,,0.0,-7.758,-0.74,,,,,0.0,0.0,,,,,,,,0.8,2319.799,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3793000.0,8.799,,,,,10997472256.0,,
6938,1982,,0.0,0.0,,0.0,4.145,0.365,,,,,0.0,0.0,,,,,,,,0.822,2343.072,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3911000.0,9.164,,,,,11153130496.0,,
6939,1983,,0.0,0.0,,0.0,2.733,0.25,,,,,0.0,0.0,,,,,,,,0.848,2335.457,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4031000.0,9.414,,,,,11095707648.0,,
6940,1984,,0.0,0.0,,0.0,4.148,0.39,,,,,0.0,0.0,,,,,,,,0.841,2359.736,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4155000.0,9.805,,,,,11661344768.0,,
6941,1985,,0.0,0.0,,0.0,-5.954,-0.584,,,,,0.0,0.0,,,,,,,,0.776,2153.912,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4281000.0,9.221,,,,,11880378368.0,,
6942,1986,,0.0,0.0,,0.0,16.539,1.525,,,,,0.0,0.0,,,,,,,,0.843,2436.711,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4410000.0,10.746,,,,,12744404992.0,,
6943,1987,,0.0,0.0,,0.0,-3.295,-0.354,,,,,0.0,0.0,,,,,,,,0.778,2287.941,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4542000.0,10.392,,,,,13350768640.0,,
6944,1988,,0.0,0.0,,0.0,25.651,2.666,,,,,0.0,0.0,,,,,,,,0.909,2791.847,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4677000.0,13.057,,,,,14357699584.0,,
6945,1989,,0.0,0.0,,0.0,15.339,2.003,,,,,0.0,0.0,,,,,,,,1.017,3127.8,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4815000.0,15.06,,,,,14801424384.0,,
6946,1990,,,,,,12.195,1.837,,0.0,0.0,,,,,,,,,,,1.07,3410.073,,,,,,,,,,,,,,,,,4955000.0,16.897,,,,,15791435776.0,,
