,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
6976,1965,,,,,,,,,0.0,0.0,1.43,,,,,,,,,,0.998,7586.395,0.0,,,,,,,,,,24.872,,,,,,3467000.0,26.302,,,,,26362847232.0,,
6977,1966,,,,,,8.455,2.224,0.0,0.0,0.0,1.233,,,,,,,,,,1.018,8044.513,0.0,,,,,,,,,,27.293,,,,,,3546000.0,28.526,,,,,28033038336.0,,
6978,1967,,,,,,18.113,5.167,0.0,0.0,0.0,0.989,,,,,,,,,,1.154,9294.574,0.0,,,,,,,,,,32.704,,,,,,3625000.0,33.693,,,,,29188429824.0,,
6979,1968,,,,,,8.118,2.735,0.0,0.0,0.0,0.709,,,,,,,,,,1.167,9837.461,0.0,,,,,,,,,,35.719,,,,,,3703000.0,36.428,,,,,31216689152.0,,
6980,1969,,,,,,17.492,6.372,0.0,0.0,0.0,0.419,,,,,,,,,,1.225,11328.738,0.0,,,,,,,,,,42.381,,,,,,3778000.0,42.8,,,,,34928992256.0,,
6981,1970,,,,,,7.434,3.182,0.0,0.0,0.0,0.244,,,,,,,,,,1.203,11946.405,0.0,,,,,,,,,,45.737,,,,,,3849000.0,45.982,,,,,38238240768.0,,
6982,1971,,,,,,5.607,2.578,0.0,0.0,0.0,0.314,,,,,,,,,,1.19,12406.667,0.0,,,,,,,,,,48.246,,,,,,3914000.0,48.56,,,,,40802365440.0,,
6983,1972,,,,,,13.58,6.594,0.0,0.0,0.0,0.151,,,,,,,,,,1.237,13878.745,0.0,,,,,,,,,,55.003,,,,,,3974000.0,55.154,,,,,44573040640.0,,
6984,1973,,,,,,3.713,2.048,0.0,0.0,0.0,0.081,,,,,,,,,,1.156,14165.955,0.0,,,,,,,,,,57.121,,,,,,4038000.0,57.202,,,,,49478873088.0,,
6985,1974,,,,,,2.37,1.355,0.0,0.0,0.0,0.081,,,,,,,,,,1.206,14233.731,0.0,,,,,,,,,,58.476,,,,,,4114000.0,58.558,,,,,48558895104.0,,
6986,1975,,,,,,-5.858,-3.43,0.0,0.0,0.0,0.07,,,,,,,,,,1.128,13097.443,0.0,,,,,,,,,,55.057,,,,,,4209000.0,55.127,,,,,48883232768.0,,
6987,1976,,,,,,18.074,9.964,0.0,0.0,0.0,0.093,,,,,,,,,,1.149,15046.469,0.0,,,,,,,,,,64.998,,,,,,4326000.0,65.091,,,,,56666267648.0,,
6988,1977,,,,,,7.978,5.193,0.0,0.0,0.0,0.081,,,,,,,,,,1.117,15751.649,0.0,,,,,,,,,,70.202,,,,,,4462000.0,70.284,,,,,62899023872.0,,
6989,1978,,,,,,3.889,2.733,0.0,0.0,0.0,0.058,,,,,,,,,,1.062,15849.124,0.0,,,,,,,,,,72.959,,,,,,4607000.0,73.017,,,,,68741668864.0,,
6990,1979,,,,,,2.391,1.746,0.0,0.0,0.0,0.047,,,,,,,,,,0.985,15752.848,0.0,,,,,,,,,,74.716,,,,,,4746000.0,74.763,,,,,75866996736.0,,
6991,1980,,,,,,2.184,1.633,0.0,0.0,0.0,0.023,,,,,,,,,,0.95,15690.262,0.0,,,,,,,,,,76.373,,,,,,4869000.0,76.396,,,,,80447578112.0,,
6992,1981,,,,,,6.562,5.013,0.0,0.0,0.0,0.407,,,,,,,,,,0.967,16373.543,0.0,,,,,,,,,,81.002,,,,,,4972000.0,81.409,,,,,84185350144.0,,
6993,1982,,,,,,9.755,7.941,0.0,0.0,0.0,10.409,,,,,,,,,,1.033,17665.158,0.0,,,,,,,,,,78.942,,,,,,5058000.0,89.35,,,,,86506446848.0,,
6994,1983,,,,,,6.035,5.393,0.0,0.0,0.0,24.446,,,,,,,,,,1.036,18454.045,0.0,,,,,,,,,,70.297,,,,,,5134000.0,94.743,,,,,91435180032.0,,
6995,1984,,,,,,2.449,2.32,0.0,0.0,0.0,31.913,,,,,,,,,,0.978,18637.26,0.0,,,,,,,,,,65.15,,,,,,5208000.0,97.063,,,,,99265937408.0,,
6996,1985,,,,,,3.818,3.705,0.0,0.0,0.0,39.507,,,19.249,0.0,0.0,0.0,0.0,0.0,0.0,1.047,19059.642,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.261,,,0.0,0.0,3640.901,5287000.0,100.768,0.0,0.0,0.0,0.0,96278077440.0,0.0,0.0
6997,1986,,,,,,4.786,4.823,0.0,0.0,0.0,45.718,,,21.419,0.0,0.0,0.0,0.0,0.0,0.0,0.987,19652.15,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.873,,,0.0,0.0,3986.393,5373000.0,105.591,0.0,0.0,0.0,0.0,107000000000.0,0.0,0.0
6998,1987,,,,,,9.876,10.429,0.0,0.0,0.0,57.289,,,23.754,0.0,0.0,0.0,0.0,0.0,0.0,0.936,21229.569,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.73,,,0.0,0.0,4346.498,5465000.0,116.02,0.0,0.0,0.0,0.0,124000000000.0,0.0,0.0
6999,1988,,,,,,15.195,17.63,0.0,0.0,0.0,66.279,,,25.508,0.0,0.0,0.0,0.0,0.0,0.0,1.036,24050.601,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.37,,,0.0,0.0,4590.157,5557000.0,133.649,0.0,0.0,0.0,0.0,129000000000.0,0.0,0.0
