,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
7031,1900,,,,,,,,,,,,23.713,3332.609,,,,,,,,,,,0.0,0.0,,,,,,,,,0.023,3.269,,,,7115393.0,,,,,,8680685568.0,,
7032,1901,0.523,0.124,0.0,50.0,0.012,,,,,,,23.837,3326.243,,,,,,,,,,,0.0,0.0,,,,,,,,,0.035,4.869,,,,7166298.0,,,,,,,,
7033,1902,-6.068,-1.446,0.0,33.333,0.012,,,,,,,22.391,3102.357,,,,,,,,,,,0.0,0.0,,,,,,,,,0.047,6.446,,,,7217262.0,,,,,,,,
7034,1903,3.293,0.737,0.0,-25.0,-0.012,,,,,,,23.128,3181.998,,,,,,,,,,,0.0,0.0,,,,,,,,,0.035,4.8,,,,7268322.0,,,,,,,,
7035,1904,2.27,0.525,0.0,-33.333,-0.012,,,,,,,23.653,3231.503,,,,,,,,,,,0.0,0.0,,,,,,,,,0.023,3.178,,,,7319467.0,,,,,,,,
7036,1905,4.274,1.011,0.0,150.0,0.035,,,,,,,24.664,3346.199,,,,,,,,,,,0.0,0.0,,,,,,,,,0.058,7.889,,,,7370697.0,,,,,,,,
7037,1906,6.407,1.58,0.0,-40.0,-0.023,,,,,,,26.244,3535.839,,,,,,,,,,,0.0,0.0,,,,,,,,,0.035,4.701,,,,7422286.0,,,,,,,,
7038,1907,1.221,0.32,0.0,-33.333,-0.012,,,,,,,26.564,3554.527,,,,,,,,,,,0.0,0.0,,,,,,,,,0.023,3.112,,,,7473380.0,,,,,,,,
7039,1908,6.973,1.852,0.0,0.0,0.0,,,,,,,28.417,3775.939,,,,,,,,,,,0.0,0.0,,,,,,,,,0.023,3.091,,,,7525687.0,,,,,,,,
7040,1909,8.874,2.522,0.0,50.0,0.012,,,,,,,30.938,4081.236,,,,,,,,,,,0.0,0.0,,,,,,,,,0.035,4.603,,,,7580569.0,,,,,,,,
7041,1910,-0.634,-0.196,0.0,0.0,0.0,,,,,,,30.742,4024.822,,,,,,,,,,,0.0,0.0,,,,,,,,,0.035,4.568,,,,7638063.0,,,,,,11068512256.0,,
7042,1911,3.695,1.136,0.0,-33.333,-0.012,,,,,,,31.878,4142.319,,,,,,,,,,,0.0,0.0,,,,,,,,,0.023,3.022,,,,7695665.0,,,,,,,,
7043,1912,2.235,0.713,0.0,50.0,0.012,,,,,,,32.59,4199.443,,,,,,,,,,,0.0,0.0,,,,,,,,,0.035,4.496,,,,7760666.0,,,,,,,,
7044,1913,6.706,2.185,0.0,-33.333,-0.012,,,,,,,34.776,4453.135,,,,,,,,,,,0.0,0.0,,,,,,,,,0.023,2.979,,,,7809304.0,,,,,,11908960256.0,,
7045,1914,-10.754,-3.74,0.0,100.0,0.023,,,,,,,31.036,3957.982,,,,,,,,,,,0.0,0.0,,,,,,,,,0.047,5.933,,,,7841410.0,,,,,,,,
7046,1915,1.379,0.428,0.0,75.0,0.035,,,,,,,31.464,4004.717,,,,,,,,,,,0.0,0.0,,,,,,,,,0.081,10.362,,,,7856811.0,,,,,,,,
