,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
7152,1965,,,,,,,,,0.0,0.0,0.076,,,,,,,,,,2.459,38896.952,0.0,,,,,,,,,,5.612,,,,,,192000.0,7.468,,,,,3036672000.0,,
7153,1966,,,,,,4.981,0.372,0.0,0.0,0.0,0.056,,,,,,,,,,2.393,40206.142,0.0,,,,,,,,,,6.051,,,,,,195000.0,7.84,,,,,3276531968.0,,
7154,1967,,,,,,-1.018,-0.08,0.0,0.0,0.0,0.043,,,,,,,,,,2.436,39392.911,0.0,,,,,,,,,,5.872,,,,,,197000.0,7.76,,,,,3186189056.0,,
7155,1968,,,,,,5.811,0.451,0.0,0.0,0.0,0.034,,,,,,,,,,2.798,41056.762,0.0,,,,,,,,,,6.269,,,,,,200000.0,8.211,,,,,2935203072.0,,
7156,1969,,,,,,-0.529,-0.043,0.0,0.0,0.0,0.024,,,,,,,,,,2.636,40435.233,0.0,,,,,,,,,,5.75,,,,,,202000.0,8.168,,,,,3098388992.0,,
7157,1970,,,,,,20.593,1.682,0.0,0.0,0.0,0.016,,,,,,,,,,2.959,48284.128,0.0,,,,,,,,,,5.876,,,,,,204000.0,9.85,,,,,3329280000.0,,
7158,1971,,,,,,8.841,0.871,0.0,0.0,0.0,0.011,,,,,,,,,,2.669,51791.303,0.0,,,,,,,,,,6.4,,,,,,207000.0,10.721,,,,,4016588032.0,,
7159,1972,,,,,,8.709,0.934,0.0,0.0,0.0,0.008,,,,,,,,,,2.935,55497.625,0.0,,,,,,,,,,6.857,,,,,,210000.0,11.655,,,,,3970582016.0,,
7160,1973,,,,,,20.728,2.416,0.0,0.0,0.0,0.005,,,,,,,,,,3.18,66057.759,0.0,,,,,,,,,,7.94,,,,,,213000.0,14.07,,,,,4424015872.0,,
7161,1974,,,,,,-2.612,-0.367,0.0,0.0,0.0,0.004,,,,,,,,,,2.948,63438.999,0.0,,,,,,,,,,7.41,,,,,,216000.0,13.703,,,,,4648515072.0,,
