,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
7207,1900,,,,,,,,,,,,39.547,162.697,,,,,,,,,,,0.0,0.0,,,,,,,,,1.675,6.89,,,,243073952.0,,,,,,322000000000.0,,
7208,1901,8.446,3.34,0.0,32.639,0.547,,,,,,,42.888,175.68,,,,,,,,,,,0.0,0.0,,,,,,,,,2.221,9.099,,,,244123760.0,,,,,,330000000000.0,,
7209,1902,11.897,5.102,0.0,13.089,0.291,,,,,,,47.99,195.741,,,,,,,,,,,0.0,0.0,,,,,,,,,2.512,10.246,,,,245171584.0,,,,,,359000000000.0,,
7210,1903,0.172,0.083,0.0,55.093,1.384,,,,,,,48.073,195.235,,,,,,,,,,,0.0,0.0,,,,,,,,,3.896,15.823,,,,246230416.0,,,,,,366000000000.0,,
7211,1904,10.482,5.039,0.0,34.627,1.349,,,,,,,53.112,214.771,,,,,,,,,,,0.0,0.0,,,,,,,,,5.245,21.21,,,,247293792.0,,,,,,369000000000.0,,
7212,1905,2.456,1.304,0.0,22.173,1.163,,,,,,,54.416,219.099,,,,,,,,,,,0.0,0.0,,,,,,,,,6.408,25.802,,,,248361728.0,,,,,,364000000000.0,,
7213,1906,16.217,8.824,0.0,-2.722,-0.174,,,,,,,63.24,253.535,,,,,,,,,,,0.0,0.0,,,,,,,,,6.234,24.991,,,,249434256.0,,,,,,376000000000.0,,
7214,1907,13.944,8.818,0.0,8.022,0.5,,,,,,,72.058,287.655,,,,,,,,,,,0.0,0.0,,,,,,,,,6.734,26.881,,,,250502080.0,,,,,,354000000000.0,,
7215,1908,14.559,10.491,0.0,16.235,1.093,,,,,,,82.55,328.119,,,,,,,,,,,0.0,0.0,,,,,,,,,7.827,31.111,,,,251583808.0,,,,,,361000000000.0,,
7216,1909,-7.052,-5.821,0.0,32.244,2.524,,,,,,,76.728,303.669,,,,,,,,,,,0.0,0.0,,,,,,,,,10.351,40.965,,,,252670176.0,,,,,,412000000000.0,,
7217,1910,1.493,1.145,0.0,-8.09,-0.837,,,,,,,77.873,306.876,,,,,,,,,,,0.0,0.0,,,,,,,,,9.513,37.489,,,,253761200.0,,,,,,414000000000.0,,
7218,1911,5.556,4.326,0.0,5.134,0.488,,,,,,,82.2,322.536,,,,,,,,,,,0.0,0.0,,,,,,,,,10.002,39.245,,,,254854208.0,,,,,,414000000000.0,,
7219,1912,15.65,12.864,0.0,10.349,1.035,,,,,,,95.064,371.409,,,,,,,,,,,0.0,0.0,,,,,,,,,11.037,43.12,,,,255954624.0,,,,,,415000000000.0,,
7220,1913,10.213,9.709,0.0,11.38,1.256,,,,,,,104.773,407.351,,,,,,,,,,,0.0,0.0,,,,,,,,,12.293,47.794,,,,257205040.0,,,,,,407000000000.0,,
7221,1914,1.579,1.654,0.0,-6.623,-0.814,,,,,,,106.427,411.539,,,,,,,,,,,0.0,0.0,,,,,,,,,11.479,44.387,,,,258607040.0,,,,,,431000000000.0,,
7222,1915,3.886,4.135,0.0,10.841,1.244,,,,,,,110.562,424.974,,,,,,,,,,,0.0,0.0,,,,,,,,,12.723,48.905,,,,260162192.0,,,,,,422000000000.0,,
7223,1916,0.88,0.973,0.0,3.473,0.442,,,,,,,111.536,426.153,,,,,,,,,,,0.0,0.0,,,,,,,,,13.165,50.301,,,,261726672.0,,,,,,436000000000.0,,
7224,1917,5.556,6.197,0.0,-4.859,-0.64,,,,,,,117.732,447.141,,,,,,,,,,,0.0,0.0,,,,,,,,,12.526,47.571,,,,263300528.0,,,,,,430000000000.0,,
7225,1918,13.78,16.224,0.0,-0.929,-0.116,,,,,,,133.956,505.93,,,,,,,,,,,0.0,0.0,,,,,,,,,12.409,46.868,,,,264771648.0,,,,,,376000000000.0,,
7226,1919,9.195,12.317,0.0,9.091,1.128,,,,,,,146.273,549.323,,,,,,,,,,,0.0,0.0,,,,,,,,,13.537,50.839,,,,266279184.0,,,,,,430000000000.0,,
7227,1920,-20.621,-30.163,0.0,0.515,0.07,,,,,,,116.11,433.578,,,,,,,,,,,0.0,0.0,,,,,,,,,13.607,50.812,,,,267795296.0,,,,,,398000000000.0,,
7228,1921,7.468,8.672,0.0,8.376,1.14,,,,,,,124.782,463.321,,,,,,,,,,,0.0,0.0,,,,,,,,,14.747,54.756,,,,269320064.0,,,,,,429000000000.0,,
7229,1922,-1.514,-1.89,0.0,-2.366,-0.349,,,,,,,122.892,453.722,,,,,,,,,,,0.0,0.0,,,,,,,,,14.398,53.158,,,,270853472.0,,,,,,449000000000.0,,
7230,1923,3.396,4.174,0.0,-1.454,-0.209,,,,,,,127.066,466.475,,,,,,,,,,,0.0,0.0,,,,,,,,,14.189,52.088,,,,272395648.0,,,,,,436000000000.0,,
7231,1924,7.736,9.83,0.0,0.164,0.023,,,,,,,136.895,499.716,,,,,,,,,,,0.0,0.0,,,,,,,,,14.212,51.878,,,,273946592.0,,,,,,460000000000.0,,
7232,1925,-1.292,-1.769,0.0,-1.718,-0.244,,,,,,,135.127,490.467,,,,,,,,,,,0.0,0.0,,,,,,,,,13.968,50.698,,,,275506368.0,,,,,,467000000000.0,,
7233,1926,0.457,0.617,0.0,-8.41,-1.175,,,,,,,135.744,489.917,,,,,,,,,,,0.0,0.0,,,,,,,,,12.793,46.172,,,,277075008.0,,,,,,483000000000.0,,
7234,1927,5.156,6.998,0.0,1.636,0.209,,,,,,,142.742,512.259,,,,,,,,,,,0.0,0.0,,,,,,,,,13.002,46.662,,,,278652608.0,,,,,,485000000000.0,,
7235,1928,2.09,2.984,0.0,-84.615,-11.002,,,,,,,145.726,520.006,,,,,,,,,,,0.0,0.0,,,,,,,,,2.0,7.138,,,,280239168.0,,,,,,492000000000.0,,
7236,1929,3.886,5.662,0.0,20.349,0.407,,,,,,,151.388,535.874,,,,,,,,,,,0.0,0.0,,,,,,,,,2.407,8.522,,,,282507744.0,,,,,,514000000000.0,,
7237,1930,1.639,2.481,0.0,3.382,0.081,,,,,,,153.87,539.003,,,,,,,,,,,0.0,0.0,,,,,,,,,2.489,8.718,,,,285470848.0,,,,,,520000000000.0,,
7238,1931,-8.77,-13.494,0.0,12.15,0.302,,,,,,,140.376,485.491,,,,,,,,,,,0.0,0.0,,,,,,,,,2.791,9.653,,,,289141184.0,,,,,,518000000000.0,,
7239,1932,-7.197,-10.103,0.0,-0.417,-0.012,,,,,,,130.272,444.83,,,,,,,,,,,0.0,0.0,,,,,,,,,2.78,9.491,,,,292858720.0,,,,,,526000000000.0,,
7240,1933,-1.802,-2.348,0.0,-6.276,-0.174,,,,,,,127.925,431.269,,,,,,,,,,,0.0,0.0,,,,,,,,,2.605,8.783,,,,296624064.0,,,,,,529000000000.0,,
7241,1934,11.459,14.659,0.0,17.857,0.465,,,,,,,142.583,474.585,,,,,,,,,,,0.0,0.0,,,,,,,,,3.07,10.219,,,,300437792.0,,,,,,536000000000.0,,
7242,1935,4.351,6.203,0.0,6.061,0.186,,,,,,,148.786,488.945,,,,,,,,,,,0.0,0.0,,,,,,,,,3.256,10.701,,,,304300576.0,,,,,,532000000000.0,,
7243,1936,-1.762,-2.621,0.0,-5.714,-0.186,,,,,,,146.165,474.234,,,,,,,,,,,0.0,0.0,,,,,,,,,3.07,9.962,,,,308213024.0,,,,,,555000000000.0,,
7244,1937,10.725,15.676,0.0,9.47,0.291,,,,,,,161.842,518.431,,,,,,,,,,,0.0,0.0,,,,,,,,,3.361,10.767,,,,312175776.0,,,,,,548000000000.0,,
7245,1938,13.209,21.377,0.0,15.225,0.512,,,,,,,183.219,579.458,,,,,,,,,,,0.0,0.0,,,,,,,,,3.873,12.248,,,,316189472.0,,,,,,551000000000.0,,
7246,1939,-2.024,-3.709,0.0,-6.607,-0.256,,,,,,,179.509,560.521,,,,,,,,,,,0.0,0.0,,,,,,,,,3.617,11.294,,,,320254752.0,,,,,,566000000000.0,,
7247,1940,5.83,10.466,0.0,18.65,0.675,,,,,,,189.975,585.67,,,,,,,,,,,0.0,0.0,,,,,,,,,4.291,13.23,,,,324372320.0,,,,,,586000000000.0,,
7248,1941,0.258,0.49,0.0,4.878,0.209,,,,,,,190.465,579.946,,,,,,,,,,,0.0,0.0,,,,,,,,,4.501,13.705,,,,328418400.0,,,,,,600000000000.0,,
7249,1942,-0.107,-0.204,0.0,-3.618,-0.163,,,,,,,190.261,572.403,,,,,,,,,,,0.0,0.0,,,,,,,,,4.338,13.051,,,,332390592.0,,,,,,599000000000.0,,
7250,1943,-13.322,-25.347,0.0,-1.877,-0.081,,,,,,,164.914,490.399,,,,,,,,,,,0.0,0.0,,,,,,,,,4.257,12.658,,,,336286496.0,,,,,,625000000000.0,,
7251,1944,2.411,3.976,0.0,1.639,0.07,,,,,,,168.891,496.405,,,,,,,,,,,0.0,0.0,,,,,,,,,4.326,12.716,,,,340228032.0,,,,,,621000000000.0,,
7252,1945,11.636,19.653,0.0,-15.054,-0.651,,,,,,,188.544,547.749,,,,,,,,,,,0.0,0.0,,,,,,,,,3.675,10.677,,,,344215808.0,,,,,,613000000000.0,,
7253,1946,-0.925,-1.743,0.0,-7.278,-0.267,,,,,,,186.8,535.796,,,,,,,,,,,0.0,0.0,,,,,,,,,3.408,9.774,,,,348641184.0,,,,,,583000000000.0,,
7254,1947,2.67,4.988,0.0,-15.017,-0.512,,,,,,,191.788,543.157,,,,,,,,,,,0.0,0.0,,,,,,,,,2.896,8.201,,,,353099584.0,,,,,,484000000000.0,,
7255,1948,-0.07,-0.134,0.0,0.803,0.023,,,,,,,191.655,535.474,,,,,,,,,,,0.0,0.0,,,,,,,,,2.919,8.156,,,,357915968.0,,,,,,491000000000.0,,
7256,1949,5.215,9.995,0.0,0.797,0.023,,,,,,,201.65,549.872,,,,,,,,,,,0.0,0.0,,,,,,,,,2.942,8.024,,,,366721344.0,,,,,,506000000000.0,,
7257,1950,3.568,7.196,0.0,2.372,0.07,,,,,,,208.845,554.96,,,,,,,,,,,0.0,0.0,,,,,,,,,3.012,8.004,,,,376324992.0,,,,,,509000000000.0,,
7258,1951,6.477,13.526,0.0,3.861,0.116,,,,,,,222.371,581.55,,,,,,,,,,,0.0,0.0,,,,,,,,,3.128,8.182,,,,382376992.0,,,,,,520000000000.0,,
7259,1952,5.53,12.298,0.0,-2.23,-0.07,,,,,,,234.67,603.576,,,,,,,,,,,0.0,0.0,,,,,,,,,3.059,7.867,,,,388799008.0,,,,,,513000000000.0,,
7260,1953,-0.889,-2.087,0.0,3.422,0.105,,,,,,,232.583,588.007,,,,,,,,,,,0.0,0.0,,,,,,,,,3.163,7.997,,,,395544000.0,,,,,,535000000000.0,,
7261,1954,2.5,5.815,0.0,12.868,0.407,,,,,,,238.398,592.177,,,,,,,,,,,0.0,0.0,,,,,,,,,3.57,8.869,,,,402579008.0,,,,,,548000000000.0,,
7262,1955,3.651,8.703,0.0,13.029,0.465,,,,,,,247.101,602.861,,,,,,,,,,,0.0,0.0,,,,,,,,,4.036,9.846,,,,409880992.0,,,,,,547000000000.0,,
7263,1956,3.085,7.622,0.0,14.121,0.57,,,,,,,254.723,610.199,,,,,,,,,,,0.0,0.0,,,,,,,,,4.605,11.033,,,,417443008.0,,,,,,573000000000.0,,
7264,1957,10.408,26.511,0.0,11.111,0.512,,,,,,,281.235,661.307,,,,,,,,,,,0.0,0.0,,,,,,,,,5.117,12.033,,,,425271008.0,,,,,,556000000000.0,,
7265,1958,4.215,11.853,0.0,-0.227,-0.012,,,,,,,293.087,676.281,,,,,,,,,,,0.0,0.0,,,,,,,,,5.106,11.781,,,,433380992.0,,,,,,582000000000.0,,
7266,1959,3.807,11.159,0.0,2.506,0.128,,,,,,,304.247,688.654,,,,,,,,,,,0.0,0.0,,,,,,,,,5.234,11.846,,,,441799008.0,,,,,,576000000000.0,,
7267,1960,9.979,30.36,1.616,0.889,0.047,,,,,,,334.607,742.667,,,,,,,,,,,1.616,3.586,,,,,,,,,5.28,11.719,,,,450548000.0,,,,,,609000000000.0,,
7268,1961,6.602,22.09,-0.372,12.996,0.686,,,,,,,356.697,776.031,,,,,,,,,,,1.244,2.706,,,,,,,,,5.966,12.98,,,,459641984.0,,,,,,612000000000.0,,
7269,1962,9.462,33.751,1.244,110.136,6.571,,,,,,,390.448,832.375,,,,,,,,,,,2.487,5.303,,,,,,,,,12.537,26.727,,,,469076992.0,,,,,,616000000000.0,,
7270,1963,7.473,29.177,0.628,53.247,6.676,,,,,,,419.625,876.362,,,,,,,,,,,3.115,6.506,,,,,,,,,19.213,40.125,,,,478825984.0,,,,,,629000000000.0,,
