,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
7328,1900,,,,,,,,,,,,1.653,43.309,,,,,,,,,,,0.0,0.0,,,,,,,,,3.617,94.785,,,,38159332.0,,,,,,48527601664.0,,
7329,1901,0.985,0.016,0.0,78.135,2.826,,,,,,,1.669,43.182,,,,,,,,,,,0.0,0.0,,,,,,,,,6.443,166.711,,,,38647920.0,,,,,,47808176128.0,,
7330,1902,-6.341,-0.106,0.0,-39.35,-2.535,,,,,,,1.563,39.902,,,,,,,,,,,0.0,0.0,,,,,,,,,3.908,99.756,,,,39172332.0,,,,,,46796959744.0,,
7331,1903,9.896,0.155,0.0,136.905,5.35,,,,,,,1.718,43.326,,,,,,,,,,,0.0,0.0,,,,,,,,,9.257,233.496,,,,39647284.0,,,,,,49438224384.0,,
7332,1904,9.479,0.163,0.0,12.814,1.186,,,,,,,1.881,46.891,,,,,,,,,,,0.0,0.0,,,,,,,,,10.444,260.408,,,,40105308.0,,,,,,50015211520.0,,
7333,1905,32.035,0.602,0.0,20.601,2.152,,,,,,,2.483,61.239,,,,,,,,,,,0.0,0.0,,,,,,,,,12.595,310.643,,,,40545956.0,,,,,,50602774528.0,,
7334,1906,21.967,0.545,0.0,4.34,0.547,,,,,,,3.028,73.885,,,,,,,,,,,0.0,0.0,,,,,,,,,13.142,320.621,,,,40988988.0,,,,,,51926917120.0,,
7335,1907,8.065,0.244,0.0,21.947,2.884,,,,,,,3.273,78.997,,,,,,,,,,,0.0,0.0,,,,,,,,,16.026,386.844,,,,41427920.0,,,,,,53177921536.0,,
7336,1908,6.468,0.212,0.0,3.048,0.488,,,,,,,3.484,83.217,,,,,,,,,,,0.0,0.0,,,,,,,,,16.515,394.421,,,,41870476.0,,,,,,53082161152.0,,
7337,1909,15.421,0.537,0.0,7.324,1.21,,,,,,,4.022,95.033,,,,,,,,,,,0.0,0.0,,,,,,,,,17.724,418.829,,,,42318332.0,,,,,,55608713216.0,,
7338,1910,9.919,0.399,0.0,-0.066,-0.012,,,,,,,4.421,103.352,,,,,,,,,,,0.0,0.0,,,,,,,,,17.713,414.116,,,,42771824.0,,,,,,58940051456.0,,
7339,1911,11.05,0.488,0.0,9.718,1.721,,,,,,,4.909,113.566,,,,,,,,,,,0.0,0.0,,,,,,,,,19.434,449.583,,,,43226200.0,,,,,,61686861824.0,,
7340,1912,0.995,0.049,0.0,-9.096,-1.768,,,,,,,4.958,113.485,,,,,,,,,,,0.0,0.0,,,,,,,,,17.666,404.371,,,,43687532.0,,,,,,62655954944.0,,
7341,1913,-6.732,-0.334,0.0,0.461,0.081,,,,,,,4.624,104.734,,,,,,,,,,,0.0,0.0,,,,,,,,,17.747,401.971,,,,44150960.0,,,,,,65424080896.0,,
7342,1914,8.979,0.415,0.0,2.818,0.5,,,,,,,5.039,112.947,,,,,,,,,,,0.0,0.0,,,,,,,,,18.247,408.985,,,,44616472.0,,,,,,65326854144.0,,
7343,1915,0.646,0.033,0.0,1.848,0.337,,,,,,,5.072,112.49,,,,,,,,,,,0.0,0.0,,,,,,,,,18.585,412.198,,,,45087004.0,,,,,,66122166272.0,,
7344,1916,20.225,1.026,0.0,8.26,1.535,,,,,,,6.098,134.025,,,,,,,,,,,0.0,0.0,,,,,,,,,20.12,442.233,,,,45496144.0,,,,,,66612498432.0,,
7345,1917,9.88,0.602,0.0,3.526,0.709,,,,,,,6.7,146.275,,,,,,,,,,,0.0,0.0,,,,,,,,,20.829,454.745,,,,45804496.0,,,,,,66727583744.0,,
7346,1918,1.215,0.081,0.0,-1.508,-0.314,,,,,,,6.781,146.754,,,,,,,,,,,0.0,0.0,,,,,,,,,20.515,443.961,,,,46209752.0,,,,,,68088328192.0,,
7347,1919,14.046,0.952,0.0,22.449,4.605,,,,,,,7.734,165.641,,,,,,,,,,,0.0,0.0,,,,,,,,,25.121,538.022,,,,46691092.0,,,,,,74253434880.0,,
7348,1920,-88.842,-6.871,0.0,9.491,2.384,,,,,,,0.863,18.249,,,,,,,,,,,0.0,0.0,,,,,,,,,27.505,581.651,,,,47287776.0,,,,,,71930847232.0,,
7349,1921,1043.396,9.004,0.0,-0.254,-0.07,,,,,,,9.867,206.107,,,,,,,,,,,0.0,0.0,,,,,,,,,27.435,573.086,,,,47872724.0,,,,,,72003297280.0,,
7350,1922,-14.109,-1.392,1.313,0.975,0.267,,,,,,,8.475,174.926,,,,,,,,,,,1.313,27.095,,,,,,,,,27.703,571.803,,,,48447984.0,,,,,,73929302016.0,,
7351,1923,11.047,0.936,0.494,18.934,5.245,,,,,,,9.411,191.939,,,,,,,,,,,1.806,36.844,,,,,,,,,32.948,671.977,,,,49031168.0,,,,,,75322277888.0,,
7352,1924,25.173,2.369,0.494,3.283,1.082,,,,,,,11.78,237.391,,,,,,,,,,,2.3,46.355,,,,,,,,,34.029,685.761,,,,49622860.0,,,,,,79158222848.0,,
7353,1925,-3.179,-0.374,0.494,4.785,1.628,,,,,,,11.406,227.099,,,,,,,,,,,2.794,55.633,,,,,,,,,35.658,709.989,,,,50222776.0,,,,,,80633241600.0,,
7354,1926,4.64,0.529,0.494,-1.533,-0.547,,,,,,,11.935,234.788,,,,,,,,,,,3.288,64.68,,,,,,,,,35.111,690.729,,,,50831784.0,,,,,,85328953344.0,,
7355,1927,10.505,1.254,0.494,22.358,7.85,,,,,,,13.188,256.338,,,,,,,,,,,3.782,73.501,,,,,,,,,42.961,835.021,,,,51449308.0,,,,,,90679525376.0,,
7356,1928,5.185,0.684,0.494,16.622,7.141,,,,,,,13.872,266.384,,,,,,,,,,,4.275,82.098,,,,,,,,,50.102,962.091,,,,52076224.0,,,,,,93990002688.0,,
7357,1929,7.512,1.042,0.707,21.611,10.828,,,,,,,14.914,282.939,,,,,,,,,,,4.982,94.511,,,,,,,,,60.93,1155.891,,,,52712240.0,,,,,,96165945344.0,,
7358,1930,2.129,0.317,0.707,-3.97,-2.419,,,,,,,15.232,285.22,,,,,,,,,,,5.688,106.518,,,,,,,,,58.511,1095.627,,,,53403724.0,,,,,,97404682240.0,,
