,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
7810,1900,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,359084.0,,,,,,,,
7811,1901,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,363906.0,,,,,,,,
7812,1902,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,368691.0,,,,,,,,
7813,1903,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,373706.0,,,,,,,,
7814,1904,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,378801.0,,,,,,,,
7815,1905,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,383976.0,,,,,,,,
7816,1906,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,389234.0,,,,,,,,
7817,1907,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,394370.0,,,,,,,,
7818,1908,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,399794.0,,,,,,,,
7819,1909,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,406478.0,,,,,,,,
7820,1910,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,413270.0,,,,,,,,
7821,1911,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,420474.0,,,,,,,,
7822,1912,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,428275.0,,,,,,,,
7823,1913,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,434248.0,,,,,,,,
7824,1914,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,435866.0,,,,,,,,
7825,1915,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,433138.0,,,,,,,,
7826,1916,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,426068.0,,,,,,,,
7827,1917,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,419114.0,,,,,,,,
7828,1918,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,417622.0,,,,,,,,
7829,1919,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,421480.0,,,,,,,,
7830,1920,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,430747.0,,,,,,,,
7831,1921,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,440217.0,,,,,,,,
7832,1922,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,450925.0,,,,,,,,
7833,1923,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,462926.0,,,,,,,,
7834,1924,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,476281.0,,,,,,,,
7835,1925,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,490021.0,,,,,,,,
7836,1926,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,504157.0,,,,,,,,
7837,1927,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,518701.0,,,,,,,,
7838,1928,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,533665.0,,,,,,,,
7839,1929,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,549061.0,,,,,,,,
7840,1930,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,564900.0,,,,,,,,
7841,1931,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,583218.0,,,,,,,,
7842,1932,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,608753.0,,,,,,,,
7843,1933,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,641813.0,,,,,,,,
7844,1934,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,685353.0,,,,,,,,
7845,1935,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,726734.0,,,,,,,,
7846,1936,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,762250.0,,,,,,,,
7847,1937,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,786072.0,,,,,,,,
7848,1938,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,813976.0,,,,,,,,
7849,1939,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,844430.0,,,,,,,,
7850,1940,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,877043.0,,,,,,,,
7851,1941,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,903214.0,,,,,,,,
7852,1942,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,930128.0,,,,,,,,
7853,1943,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,959752.0,,,,,,,,
7854,1944,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,993818.0,,,,,,,,
7855,1945,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1031050.0,,,,,,,,
7856,1946,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1070474.0,,,,,,,,
7857,1947,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1111439.0,,,,,,,,
7858,1948,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1153342.0,,,,,,,,
7859,1949,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1196825.0,,,,,,,,
7860,1950,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1258000.0,,,,,,5290604032.0,,
7861,1951,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1345000.0,,,,,,6904659968.0,,
7862,1952,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1436000.0,,,,,,6928154112.0,,
7863,1953,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1525000.0,,,,,,7039740928.0,,
7864,1954,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1611000.0,,,,,,8354560000.0,,
7865,1955,,,0.0,,0.012,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.012,6.874,,,,1692000.0,,,,,,9473112064.0,,
7866,1956,,,0.0,2000.0,0.233,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.244,138.217,,,,1767000.0,,,,,,10515399680.0,,
7867,1957,,,0.0,157.143,0.384,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.628,341.501,,,,1839000.0,,,,,,11354903552.0,,
7868,1958,,,0.0,64.815,0.407,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,1.035,541.922,,,,1910000.0,,,,,,12392999936.0,,
7869,1959,,,0.0,43.82,0.454,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,1.489,750.702,,,,1983000.0,,,,,,13903595520.0,,
7870,1960,,,0.0,0.781,0.012,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,1.5,728.287,,,,2060000.0,,,,,,14192689152.0,,
7871,1961,,,0.036,4.651,0.07,,,,,,,,,,,,,,,,,,,0.036,16.717,,,,,,,,,1.57,731.959,,,,2145000.0,,,,,,15955748864.0,,
7872,1962,,,0.096,0.0,0.0,,,,,,,,,,,,,,,,,,,0.131,58.854,,,,,,,,,1.57,702.798,,,,2234000.0,,,,,,17739235328.0,,
7873,1963,,,-0.012,11.852,0.186,,,,,,,,,,,,,,,,,,,0.12,51.41,,,,,,,,,1.756,755.325,,,,2325000.0,,,,,,19821645824.0,,
7874,1964,,,0.227,31.788,0.558,,,,,,,,,,,,,,,,,,,0.347,143.711,,,,,,,,,2.314,959.524,,,,2412000.0,,,,,,21695129600.0,,
7875,1965,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,1.919,18663.233,0.736,,,,,,,,,,45.735,,,,,,2490000.0,46.471,,,,,24215154688.0,,
7876,1966,,,,0.0,,4.706,2.187,0.0,0.0,0.0,0.0,,,,,,,,,,1.95,19014.661,0.955,,,,,,,,,,47.704,,,,,,2559000.0,48.659,,,,,24952168448.0,,
7877,1967,,,,0.0,,4.39,2.136,0.0,0.0,0.0,0.0,,,,,,,,,,1.977,19394.678,1.069,,,,,,,,,,49.726,,,,,,2619000.0,50.795,,,,,25689985024.0,,
7878,1968,,,,0.0,,4.784,2.43,0.0,0.0,0.0,0.0,,,,,,,,,,1.756,19882.142,1.372,,,,,,,,,,51.853,,,,,,2677000.0,53.224,,,,,30310397952.0,,
7879,1969,,,,0.0,,4.253,2.264,0.0,0.0,0.0,0.0,,,,,,,,,,1.622,20251.118,1.41,,,,,,,,,,54.078,,,,,,2740000.0,55.488,,,,,34218098688.0,,
7880,1970,,,,0.0,,3.933,2.182,0.0,0.0,0.0,0.0,,,,,,,,,,1.552,20494.132,1.289,,,,,,,,,,56.382,,,,,,2814000.0,57.67,,,,,37167108096.0,,
7881,1971,,,,0.0,,4.054,2.338,0.0,0.0,0.0,0.0,,,,,,,,,,1.439,20692.571,1.206,,,,,,,,,,58.802,,,,,,2900000.0,60.008,,,,,41709248512.0,,
7882,1972,,,,0.0,,4.342,2.606,0.0,0.0,0.0,0.0,,,,,,,,,,1.344,20899.196,1.192,,,,,,,,,,61.422,,,,,,2996000.0,62.614,,,,,46600990720.0,,
7883,1973,,,,0.0,,4.631,2.9,0.0,0.0,0.0,0.0,,,,,,,,,,1.315,21140.23,0.518,,,,,,,,,,64.996,,,,,,3099000.0,65.514,,,,,49822048256.0,,
7884,1974,,,,0.0,,2.154,1.411,0.0,0.0,0.0,0.0,,,,,,,,,,1.303,20907.418,0.633,,,,,,,,,,66.292,,,,,,3201000.0,66.925,,,,,51347034112.0,,
7885,1975,,,,0.0,,3.021,2.022,0.0,0.0,0.0,0.0,,,,,,,,,,1.277,20911.89,0.578,,,,,,,,,,68.368,,,,,,3297000.0,68.947,,,,,53979275264.0,,
7886,1976,,,,0.0,,5.575,3.844,0.0,0.0,0.0,0.0,,,,,,,,,,1.332,21491.164,0.557,,,,,,,,,,72.234,,,,,,3387000.0,72.791,,,,,54636769280.0,,
7887,1977,,,,0.0,,4.509,3.282,0.0,0.0,0.0,0.0,,,,,,,,,,1.41,21910.383,0.553,,,,,,,,,,75.519,,,,,,3472000.0,76.073,,,,,53939785728.0,,
7888,1978,,,,0.0,,6.584,5.009,0.0,0.0,0.0,0.0,,,,,,,,,,1.456,22827.068,0.544,,,,,,,,,,80.537,,,,,,3552000.0,81.082,,,,,55684861952.0,,
7889,1979,,,,0.0,,9.433,7.648,0.0,0.0,0.0,0.0,,,,,,,,,,1.529,24456.953,0.388,,,,,,,,,,88.342,,,,,,3628000.0,88.73,,,,,58016944128.0,,
7890,1980,,,,0.0,,6.553,5.814,0.0,0.0,0.0,0.012,,,,,,,,,,1.525,25545.559,0.018,,,,,,,,,,94.514,,,,,,3701000.0,94.544,,,,,61996830720.0,,
7891,1981,,,,0.0,,1.748,1.652,0.0,0.0,0.0,0.012,,,,,,,,,,1.471,25509.539,0.02,,,,,,,,,,96.16,,,,,,3771000.0,96.196,,,,,65396203520.0,,
7892,1982,,,,0.0,,3.965,3.814,0.0,0.0,0.0,6.455,,,,,,,,,,1.478,26057.923,0.435,,,,,,,,,,93.115,,,,,,3838000.0,100.01,,,,,67653885952.0,,
7893,1983,,,,0.0,,0.795,0.795,0.0,0.0,0.0,12.165,,,,,,,,,,1.422,25820.977,0.616,,,,,,,,,,88.022,,,,,,3904000.0,100.805,,,,,70905913344.0,,
7894,1984,,,,0.0,,1.438,1.45,0.0,0.0,0.0,19.69,,,,,,,,,,1.428,25763.353,0.538,,,,,,,,,,82.022,,,,,,3969000.0,102.255,,,,,71602257920.0,,
7895,1985,,,,0.0,,-2.793,-2.856,0.0,0.0,0.0,21.481,,,15.431,0.002,0.0,0.0,0.002,0.0,0.0,1.359,24634.132,0.506,,,0.013,0.496,0.013,0.002,0.496,0.0,0.0,77.407,,,0.0,0.0,3824.387,4035000.0,99.399,0.496,0.013,0.0,0.0,73126371328.0,0.0,0.0
7896,1986,,,,0.0,,5.161,5.13,0.0,0.0,0.0,23.853,,,16.034,0.006,0.0,0.0,0.006,0.0,0.0,1.321,25488.684,0.379,,,0.037,1.463,0.037,0.006,1.463,0.0,0.0,80.28,,,0.0,0.0,3909.827,4101000.0,104.529,1.463,0.037,0.0,0.0,79123677184.0,0.0,0.0
7897,1987,,,,0.0,,10.705,11.19,0.0,0.0,0.0,25.4,,,17.677,0.01,0.0,0.0,0.01,0.0,0.0,1.352,27770.342,0.432,,,0.057,2.4,0.057,0.01,2.4,0.0,0.0,89.859,,,0.0,0.0,4242.141,4167000.0,115.719,2.4,0.057,0.0,0.0,85559828480.0,0.0,0.0
7898,1988,,,,0.0,,7.042,8.149,0.0,0.0,0.0,24.342,,,19.352,0.01,0.0,0.0,0.01,0.0,0.0,1.404,29200.302,0.397,,,0.052,2.357,0.052,0.01,2.357,0.0,0.0,99.102,,,0.0,0.0,4562.117,4242000.0,123.868,2.357,0.052,0.0,0.0,88243453952.0,0.0,0.0
