,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
7930,1900,,,,,,,,,,,,1.17,34.691,,,,,,,,,,,0.0,0.0,,,,,,,,,0.023,0.689,,,,33736336.0,,,,,,72192770048.0,,
7931,1901,-11.25,-0.132,0.0,0.0,0.0,,,,,,,1.039,30.574,,,,,,,,,,,0.0,0.0,,,,,,,,,0.023,0.685,,,,33972984.0,,,,,,74224508928.0,,
7932,1902,-1.719,-0.018,0.0,50.0,0.012,,,,,,,1.021,29.85,,,,,,,,,,,0.0,0.0,,,,,,,,,0.035,1.02,,,,34199036.0,,,,,,76463505408.0,,
7933,1903,-15.444,-0.158,0.0,-33.333,-0.012,,,,,,,0.863,25.052,,,,,,,,,,,0.0,0.0,,,,,,,,,0.023,0.675,,,,34455128.0,,,,,,78204157952.0,,
7934,1904,-23.067,-0.199,0.0,100.0,0.023,,,,,,,0.664,19.125,,,,,,,,,,,0.0,0.0,,,,,,,,,0.047,1.34,,,,34722656.0,,,,,,80677658624.0,,
7935,1905,53.358,0.354,0.0,50.0,0.023,,,,,,,1.018,29.093,,,,,,,,,,,0.0,0.0,,,,,,,,,0.07,1.993,,,,35004504.0,,,,,,83466223616.0,,
7936,1906,15.485,0.158,0.0,16.667,0.012,,,,,,,1.176,33.314,,,,,,,,,,,0.0,0.0,,,,,,,,,0.081,2.306,,,,35303448.0,,,,,,87465967616.0,,
7937,1907,-3.661,-0.043,0.0,14.286,0.012,,,,,,,1.133,31.842,,,,,,,,,,,0.0,0.0,,,,,,,,,0.093,2.615,,,,35583196.0,,,,,,90266386432.0,,
7938,1908,4.085,0.046,0.0,-12.5,-0.012,,,,,,,1.179,32.855,,,,,,,,,,,0.0,0.0,,,,,,,,,0.081,2.268,,,,35894880.0,,,,,,93480992768.0,,
7939,1909,15.713,0.185,0.0,-14.286,-0.012,,,,,,,1.365,37.678,,,,,,,,,,,0.0,0.0,,,,,,,,,0.07,1.927,,,,36218348.0,,,,,,95529893888.0,,
7940,1910,1.669,0.023,0.0,16.667,0.012,,,,,,,1.387,37.981,,,,,,,,,,,0.0,0.0,,,,,,,,,0.081,2.229,,,,36529016.0,,,,,,97098661888.0,,
7941,1911,-0.703,-0.01,0.0,42.857,0.035,,,,,,,1.378,37.377,,,,,,,,,,,0.0,0.0,,,,,,,,,0.116,3.155,,,,36857936.0,,,,,,98088468480.0,,
7942,1912,18.347,0.253,0.0,-30.0,-0.035,,,,,,,1.63,43.966,,,,,,,,,,,0.0,0.0,,,,,,,,,0.081,2.195,,,,37082776.0,,,,,,97778802688.0,,
7943,1913,4.735,0.077,0.0,0.0,0.0,,,,,,,1.708,45.798,,,,,,,,,,,0.0,0.0,,,,,,,,,0.081,2.183,,,,37285296.0,,,,,,102000000000.0,,
7944,1914,11.566,0.197,0.0,-14.286,-0.012,,,,,,,1.905,50.718,,,,,,,,,,,0.0,0.0,,,,,,,,,0.07,1.858,,,,37562096.0,,,,,,95766355968.0,,
7945,1915,24.024,0.458,0.0,0.0,0.0,,,,,,,2.363,62.409,,,,,,,,,,,0.0,0.0,,,,,,,,,0.07,1.843,,,,37859548.0,,,,,,91118821376.0,,
7946,1916,38.944,0.92,0.0,16.667,0.012,,,,,,,3.283,86.368,,,,,,,,,,,0.0,0.0,,,,,,,,,0.081,2.142,,,,38010752.0,,,,,,97986797568.0,,
