,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
8051,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,3.751,15956.364,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2163000.0,34.514,,,,,9201311744.0,,
8052,1981,,0.0,0.0,,0.0,-15.305,-5.282,,,,,0.0,0.0,,,,,,,,3.246,13305.088,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2197000.0,29.231,,,,,9004904448.0,,
8053,1982,,0.0,0.0,,0.0,-12.891,-3.768,,,,,0.0,0.0,,,,,,,,2.853,11398.035,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2234000.0,25.463,,,,,8925431808.0,,
8054,1983,,0.0,0.0,,0.0,5.95,1.515,,,,,0.0,0.0,,,,,,,,2.901,11874.209,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2272000.0,26.978,,,,,9299517440.0,,
8055,1984,,0.0,0.0,,0.0,-18.137,-4.893,,,,,0.0,0.0,,,,,,,,2.395,9577.252,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2306000.0,22.085,,,,,9221931008.0,,
8056,1985,,0.0,0.0,,0.0,-10.753,-2.375,,,,,0.0,0.0,,,,,,,,2.418,8437.637,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2336000.0,19.71,,,,,8151285248.0,,
8057,1986,,0.0,0.0,,0.0,0.255,0.05,,,,,0.0,0.0,,,,,,,,2.114,8380.206,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2358000.0,19.761,,,,,9347751936.0,,
8058,1987,,0.0,0.0,,0.0,9.9,1.956,,,,,0.0,0.0,,,,,,,,2.105,9143.925,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2375000.0,21.717,,,,,10317918208.0,,
8059,1988,,0.0,0.0,,0.0,13.284,2.885,,,,,0.0,0.0,,,,,,,,2.292,10297.942,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2389000.0,24.602,,,,,10731979776.0,,
8060,1989,,0.0,0.0,,0.0,15.972,3.929,,,,,0.0,0.0,,,,,,,,2.645,11873.134,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2403000.0,28.531,,,,,10787531776.0,,
