,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
8212,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,2.231,9498.101,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2378000.0,22.586,,,,,10125002752.0,,
8213,1981,,0.0,0.0,,0.0,19.481,4.4,,,,,0.0,0.0,,,,,,,,2.938,10947.849,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2465000.0,26.986,,,,,9185049600.0,,
8214,1982,,0.0,0.0,,0.0,14.13,3.813,,,,,0.0,0.0,,,,,,,,3.199,12012.384,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2564000.0,30.8,,,,,9627394048.0,,
8215,1983,,0.0,0.0,,0.0,6.667,2.053,,,,,0.0,0.0,,,,,,,,3.211,12299.914,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2671000.0,32.853,,,,,10230920192.0,,
8216,1984,,0.0,0.0,,0.0,3.571,1.173,,,,,0.0,0.0,,,,,,,,2.823,12222.124,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2784000.0,34.026,,,,,12052014080.0,,
8217,1985,,0.0,0.0,,0.0,3.448,1.173,,,,,0.0,0.0,,,,,,,,2.813,12137.834,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2900000.0,35.2,,,,,12511907840.0,,
8218,1986,,0.0,0.0,,0.64,8.576,3.019,,,,,0.0,0.0,,,,,,,,2.813,12676.118,,0.0,0.0,,,,,,,,,0.64,212.108,,,,3015000.0,38.218,,,,,13584587776.0,,
8219,1987,,0.0,0.0,-50.0,-0.32,7.325,2.8,,,,,0.0,0.0,,,,,,,,2.583,13096.46,,0.0,0.0,,,,,,,,,0.32,102.092,,,,3132000.0,41.018,,,,,15882240000.0,,
8220,1988,,0.0,0.0,-0.011,0.0,-6.398,-2.624,,,,,0.0,0.0,,,,,,,,2.373,11788.121,,0.0,0.0,,,,,,,,,0.32,98.163,,,,3257000.0,38.394,,,,,16180598784.0,,
8221,1989,,0.0,0.86,-60.109,-0.192,3.003,1.153,,,,,0.0,0.0,,,,,,,,2.327,11634.823,,0.86,252.995,,,,,,,,,0.128,37.522,,,,3399000.0,39.547,,,,,16993950720.0,,
8222,1990,,0.0,0.55,50.0,0.064,6.683,2.643,,,,,0.0,0.0,,,,,,,,3.008,11831.09,,1.41,395.309,,,,,,,,,0.191,53.647,,,,3566000.0,42.19,,,,,14026600448.0,,
8223,1991,,0.0,0.0,0.0,0.0,-5.57,-2.35,,,,,0.0,0.0,,,,,,,,3.278,10595.638,,1.41,374.912,,,,,,,,,0.191,50.879,,,,3760000.0,39.84,,,,,12153232384.0,,
8224,1992,,0.0,0.218,-100.0,-0.191,17.929,7.143,,,,,0.0,0.0,,,,,,,,3.583,11810.522,,1.628,409.182,,,,,,,,,0.0,0.0,,,,3978000.0,46.982,,,,,13111415808.0,,
8225,1993,,0.0,0.541,,0.0,-1.037,-0.487,,,,,0.0,0.0,,,,,,,,3.351,11065.015,,2.169,516.224,,,,,,,,,0.0,0.0,,,,4202000.0,46.495,,,,,13872996352.0,,
8226,1994,,0.0,0.868,,0.0,14.951,6.952,,,,,0.0,0.0,,,,,,,,3.598,12119.467,,3.037,688.752,,,,,,,,,0.0,0.0,,,,4410000.0,53.447,,,,,14856515584.0,,
8227,1995,,0.0,0.107,,0.0,3.969,2.121,,,,,0.0,0.0,,,,,,,,3.576,12109.025,,3.145,685.31,,,,,,,,,0.0,0.0,,,,4589000.0,55.568,,,,,15537787904.0,,
8228,1996,,,,,,8.113,4.509,,0.0,0.0,,,,,,,,,,,3.964,12693.184,,,,,,,,,,,,,,,,,4733000.0,60.077,,,,,15154560000.0,,
8229,1997,,,,,,-3.621,-2.175,0.0,0.0,0.0,,,,,,,,,,,3.56,11940.931,,,,,,,,,,,,,,,,,4849000.0,57.902,,,,,16264859648.0,,
8230,1998,,,,,,7.077,4.097,0.0,0.0,0.0,,,,,,,,,,,3.726,12540.255,,,,,,,,,,,,,,,,,4944000.0,61.999,,,,,16640722944.0,,
8231,1999,,,,,,0.651,0.403,0.0,0.0,0.0,,,,,,,,,,,3.62,12401.1,,,,,,,,,,,,,,,,,5032000.0,62.402,,,,,17239130112.0,,
8232,2000,,,,,,5.7,3.557,0.0,0.0,0.0,,,,6.935,0.039,0.0,0.0,0.042,0.0,0.003,3.656,12877.686,,,,0.562,7.614,0.606,0.042,8.2,0.0,0.0,,,,0.0,0.0,1353.967,5122000.0,65.96,8.2,0.606,0.0,0.0,18042376192.0,0.043,0.586
8233,2001,,,,,,-3.794,-2.503,0.0,0.0,0.0,,,,7.094,0.043,0.0,0.0,0.046,0.0,0.003,3.319,12163.443,,,,0.606,8.242,0.648,0.046,8.817,0.0,0.0,,,,0.0,0.0,1359.808,5217000.0,63.457,8.817,0.648,0.0,0.0,19121948672.0,0.042,0.575
8234,2002,,,,,,4.863,3.086,0.0,0.0,0.0,,,,7.647,0.052,0.0,0.005,0.06,0.0,0.003,3.1,12512.691,,,,0.68,9.778,0.785,0.06,11.282,0.0,0.0,,,,0.94,0.065,1437.898,5318000.0,66.542,11.282,0.785,0.0,0.0,21466574848.0,0.039,0.564
8235,2003,,,,,,8.277,5.507,0.0,0.0,0.0,,,,7.517,0.041,0.0,0.006,0.05,0.0,0.003,3.268,13259.092,,,,0.545,7.545,0.665,0.05,9.201,0.0,0.0,,,,1.104,0.08,1383.393,5434000.0,72.05,9.201,0.665,0.0,0.0,22045898752.0,0.04,0.552
8236,2004,,,,,,9.01,6.492,0.0,0.0,0.0,,,,8.432,0.052,0.0,0.006,0.061,0.0,0.003,3.158,14075.563,,,,0.617,9.319,0.723,0.061,10.932,0.0,0.0,,,,1.075,0.071,1511.057,5580000.0,78.542,10.932,0.723,0.0,0.0,24873895936.0,0.036,0.538
8237,2005,,,,,,8.725,6.852,0.0,0.0,0.0,,,,9.078,0.056,0.0,0.005,0.064,0.0,0.003,2.796,14809.933,,,,0.617,9.712,0.705,0.064,11.1,0.0,0.0,,,,0.867,0.055,1574.343,5766000.0,85.394,11.1,0.705,0.0,0.0,30546460672.0,0.033,0.52
8238,2006,,,,,,3.756,3.207,0.0,0.0,0.0,,,,10.455,0.05,0.0,0.006,0.059,0.0,0.003,2.551,14786.617,,,,0.478,8.344,0.564,0.059,9.846,0.0,0.0,,,,1.001,0.057,1744.893,5992000.0,88.601,9.846,0.564,0.0,0.0,34734256128.0,0.029,0.501
8239,2007,,,,,,-3.374,-2.989,0.0,0.0,0.0,,,,12.223,0.06,0.0,0.009,0.072,0.0,0.003,2.051,13687.018,,,,0.491,9.592,0.589,0.072,11.511,0.0,0.0,,,,1.439,0.074,1954.177,6255000.0,85.612,11.511,0.589,0.0,0.0,41748021248.0,0.025,0.48
8240,2008,,,,,,-3.887,-3.328,0.0,0.0,0.0,,,,13.011,0.061,0.0,0.009,0.073,0.0,0.003,1.509,12550.978,,,,0.469,9.304,0.561,0.073,11.135,0.0,0.0,,,,1.373,0.069,1984.619,6556000.0,82.284,11.135,0.561,0.0,0.0,54538596352.0,0.023,0.458
8241,2009,,,,,,3.981,3.275,0.0,0.0,0.0,,,,13.419,0.058,0.0,0.007,0.068,0.0,0.003,1.326,12412.548,,,,0.432,8.414,0.507,0.068,9.865,0.0,0.0,,,,1.016,0.052,1946.731,6893000.0,85.56,9.865,0.507,0.0,0.0,64534372352.0,0.022,0.435
8242,2010,,,,,,3.653,3.125,0.0,0.0,0.0,,,,13.894,0.06,0.0,0.009,0.072,0.0,0.003,1.322,12212.209,,,,0.432,8.262,0.518,0.072,9.915,0.0,0.0,,,,1.239,0.065,1913.214,7262000.0,88.685,9.915,0.518,0.0,0.0,67070615552.0,0.022,0.413
8243,2011,,,,,,3.606,3.198,0.0,0.0,0.0,,,,13.771,0.054,0.0,0.008,0.065,0.0,0.003,1.205,11990.51,,,,0.392,7.047,0.472,0.065,8.482,0.0,0.0,,,,1.044,0.058,1797.095,7663000.0,91.883,8.482,0.472,0.0,0.0,76264087552.0,0.022,0.391
8244,2012,,,,,,7.278,6.687,0.0,0.0,0.0,,,,15.603,0.06,0.0,0.006,0.069,0.0,0.003,1.201,12184.235,,,,0.385,7.417,0.442,0.069,8.529,0.0,0.0,,,,0.742,0.038,1928.732,8090000.0,98.57,8.529,0.442,0.0,0.0,82091900928.0,0.019,0.371
8245,2013,,,,,,-0.021,-0.021,0.0,0.0,0.0,,,,16.228,0.054,0.0,0.004,0.061,0.0,0.003,1.206,11568.208,,,,0.333,6.339,0.376,0.061,7.16,0.0,0.0,,,,0.47,0.025,1904.925,8519000.0,98.55,7.16,0.376,0.0,0.0,81685250048.0,0.018,0.352
8246,2014,,,,,,3.83,3.775,0.0,0.0,0.0,,,,17.173,0.057,0.0,0.004,0.063,0.0,0.002,1.21,11472.609,,,,0.332,6.391,0.367,0.063,7.064,0.0,0.0,,,,0.448,0.023,1925.427,8919000.0,102.324,7.064,0.367,0.0,0.0,84570423296.0,0.012,0.224
8247,2015,,,,,,5.781,5.916,0.0,0.0,0.0,,,,17.878,0.052,0.0,0.004,0.179,0.002,0.121,1.25,11680.152,,,,0.291,5.611,1.001,0.179,19.316,0.0,0.0,,,,0.432,0.022,1929.239,9267000.0,108.24,19.316,1.001,0.011,0.216,86591225856.0,0.677,13.057
8248,2016,,,,,,21.532,23.307,0.0,0.0,0.0,,,,18.533,0.042,0.0,0.004,0.858,0.421,0.391,1.488,13768.738,,,,0.227,4.396,4.63,0.858,89.805,0.0,0.0,,,,0.419,0.022,1939.797,9554000.0,131.547,89.805,4.63,2.272,44.065,88403697664.0,2.11,40.925
8249,2017,,,,,,,,0.0,0.0,0.0,,,,19.572,0.038,0.0,0.004,1.398,0.908,0.448,,,,,,0.194,3.883,7.143,1.398,142.857,0.0,0.0,,,,0.409,0.02,1999.996,9786000.0,,142.857,7.143,4.639,92.786,,2.289,45.78
8250,2018,,,,,,,,0.0,0.0,0.0,,,,19.384,0.023,0.0,0.004,2.188,1.441,0.72,,,,,,0.117,2.285,11.286,2.188,219.545,0.0,0.0,,,,0.401,0.021,1945.221,9965000.0,,219.545,11.286,7.434,144.606,,3.714,72.253
8251,2019,,,,,,,,0.0,0.0,0.0,,,,19.746,0.013,0.0,0.004,2.717,1.5,1.2,,,,,,0.066,1.29,13.76,2.717,268.959,0.0,0.0,,,,0.396,0.02,1954.638,10102000.0,,268.959,13.76,7.597,148.485,,6.077,118.788
