,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
8252,1980,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14796000.0,,,,,,170000000000.0,,
8253,1981,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14959000.0,,,,,,167000000000.0,,
8254,1982,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15128000.0,,,,,,165000000000.0,,
8255,1983,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15303000.0,,,,,,173000000000.0,,
8256,1984,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15483000.0,,,,,,172000000000.0,,
8257,1985,,,,,,,,0.0,0.0,0.0,443.499,666.06,42516.258,81.263,5.21,0.0,0.0,5.21,0.0,0.0,4.57,50752.855,90.234,46.738,2983.379,6.412,332.598,6.412,5.21,332.598,0.0,0.0,246.888,263.108,16794.842,0.0,0.0,5187.221,15666000.0,795.094,332.598,6.412,0.0,0.0,174000000000.0,0.0,0.0
8258,1986,5.046,33.613,3.152,2.78,7.315,2.302,18.3,0.0,0.0,0.0,465.968,699.672,44135.009,85.094,4.782,0.0,0.0,4.782,0.0,0.0,4.622,51308.539,109.256,49.89,3147.039,5.619,301.633,5.619,4.782,301.633,0.0,0.0,224.887,270.423,17058.159,0.0,0.0,5367.691,15853000.0,813.394,301.633,5.619,0.0,0.0,176000000000.0,0.0,0.0
8259,1987,3.3,23.088,4.172,3.306,8.941,2.234,18.174,0.0,0.0,0.0,484.157,722.76,45062.671,88.49,5.732,0.0,0.0,5.732,0.0,0.0,4.752,51846.64,114.134,54.062,3370.646,6.478,357.377,6.478,5.732,357.377,0.0,0.0,217.355,279.364,17417.766,0.0,0.0,5517.177,16039000.0,831.568,357.377,6.478,0.0,0.0,175000000000.0,0.0,0.0
8260,1988,0.312,2.257,7.05,3.741,10.45,3.624,30.137,0.0,0.0,0.0,505.022,725.017,44737.559,88.417,6.991,0.0,0.0,6.991,0.0,0.0,4.559,53171.983,119.011,61.112,3770.939,7.907,431.414,7.907,6.991,431.414,0.0,0.0,218.252,289.814,17883.103,0.0,0.0,5455.819,16206000.0,861.705,431.414,7.907,0.0,0.0,189000000000.0,0.0,0.0
8261,1989,-3.5,-25.372,-3.632,1.763,5.109,-1.569,-13.521,0.0,0.0,0.0,482.017,699.645,42852.001,89.657,7.292,0.102,0.0,7.292,0.0,0.0,4.512,51949.765,122.913,57.48,3520.532,8.133,446.623,8.247,7.394,452.848,0.113,6.226,222.715,294.922,18063.481,0.0,0.0,5491.333,16327000.0,848.184,446.623,8.133,0.0,0.0,188000000000.0,0.0,0.0
