,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
8293,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.855,1729.593,,0.0,0.0,,,,,,,,,0.0,0.0,,,,16417000.0,28.395,,,,,33200922624.0,,
8294,1981,,0.0,0.0,,0.0,3.13,0.889,,,,,0.0,0.0,,,,,,,,0.877,1716.1,,0.0,0.0,,,,,,,,,0.0,0.0,,,,17064000.0,29.284,,,,,33396441088.0,,
8295,1982,,0.0,0.0,,0.0,-1.187,-0.348,,,,,0.0,0.0,,,,,,,,0.816,1631.482,,0.0,0.0,,,,,,,,,0.0,0.0,,,,17736000.0,28.936,,,,,35478941696.0,,
8296,1983,,0.0,0.0,,0.0,-1.947,-0.563,,,,,0.0,0.0,,,,,,,,0.762,1539.318,,0.0,0.0,,,,,,,,,0.0,0.0,,,,18432000.0,28.373,,,,,37246439424.0,,
8297,1984,,0.0,0.0,,0.0,-1.106,-0.314,,,,,0.0,0.0,,,,,,,,0.705,1465.528,,0.0,0.0,,,,,,,,,0.0,0.0,,,,19146000.0,28.059,,,,,39814500352.0,,
8298,1985,,0.0,0.0,,0.0,5.208,1.461,,,,,0.0,0.0,,,,,,,,0.719,1485.144,,0.0,0.0,,,,,,,,,0.0,0.0,,,,19877000.0,29.52,,,,,41063358464.0,,
8299,1986,,0.0,0.0,,0.0,4.68,1.381,,,,,0.0,0.0,,,,,,,,0.691,1498.409,,0.0,0.0,,,,,,,,,0.0,0.0,,,,20623000.0,30.902,,,,,44721766400.0,,
8300,1987,,0.0,0.0,,0.0,-8.143,-2.516,,,,,0.0,0.0,,,,,,,,0.627,1327.539,,0.0,0.0,,,,,,,,,0.0,0.0,,,,21382000.0,28.385,,,,,45274656768.0,,
8301,1988,,0.0,0.0,,0.0,14.11,4.005,,,,,0.0,0.0,,,,,,,,0.675,1462.067,,0.0,0.0,,,,,,,,,0.0,0.0,,,,22154000.0,32.391,,,,,47996039168.0,,
8302,1989,,0.0,0.0,,0.0,7.677,2.487,,,,,0.0,0.0,,,,,,,,0.717,1520.704,,0.0,0.0,,,,,,,,,0.0,0.0,,,,22935000.0,34.877,,,,,48642613248.0,,
8303,1990,,,,,,1.041,0.363,,0.0,0.0,,,,,,,,,,,0.68,1485.364,,,,,,,,,,,,,,,,,23725000.0,35.24,,,,,51822526464.0,,
8304,1991,,,,,,-7.286,-2.568,,,,,0.0,0.0,,,,,,,,0.617,1332.374,,0.0,0.0,,,,,,,,,0.0,0.0,,,,24522000.0,32.672,,,,,52980695040.0,,
8305,1992,,0.0,0.0,,0.0,8.374,2.736,,,,,0.0,0.0,,,,,,,,0.688,1398.108,,0.0,0.0,,,,,,,,,0.0,0.0,,,,25326000.0,35.408,,,,,51442814976.0,,
8306,1993,,0.0,0.0,,0.0,2.771,0.981,,,,,0.0,0.0,,,,,,,,0.671,1392.32,,0.0,0.0,,,,,,,,,0.0,0.0,,,,26136000.0,36.39,,,,,54206025728.0,,
8307,1994,,0.0,0.0,,0.0,2.27,0.826,,,,,0.0,0.0,,,,,,,,0.596,1380.862,,0.0,0.0,,,,,,,,,0.0,0.0,,,,26951000.0,37.216,,,,,62466318336.0,,
8308,1995,,,,,,6.573,2.446,0.0,0.0,0.0,,,,,,,,,,,0.657,1428.324,,,,,,,,,,,,,,,,,27768000.0,39.662,,,,,60338409472.0,,
8309,1996,,,,,,4.608,1.828,,,,,0.0,0.0,,,,,,,,0.658,1451.24,,0.0,0.0,,,,,,,,,0.0,0.0,,,,28589000.0,41.49,,,,,63088340992.0,,
8310,1997,,0.0,0.0,,0.0,-6.779,-2.812,,,,,0.0,0.0,,,,,,,,0.604,1314.83,,0.0,0.0,,,,,,,,,0.0,0.0,,,,29416000.0,38.677,,,,,64052981760.0,,
8311,1998,,0.0,0.0,,0.0,10.38,4.015,,,,,0.0,0.0,,,,,,,,0.666,1411.299,,0.0,0.0,,,,,,,,,0.0,0.0,,,,30250000.0,42.692,,,,,64108457984.0,,
8312,1999,,0.0,0.0,,0.0,-4.858,-2.074,,,,,0.0,0.0,,,,,,,,0.626,1306.079,,0.0,0.0,,,,,,,,,0.0,0.0,,,,31099000.0,40.618,,,,,64868950016.0,,
8313,2000,,,,,,11.196,4.547,0.0,0.0,0.0,,,,4.054,1.312,0.0,0.745,2.057,0.0,0.0,0.708,1412.959,,,,32.367,41.045,50.746,2.057,64.352,0.0,0.0,,,,23.307,18.379,126.812,31965000.0,45.165,64.352,50.746,0.0,0.0,63825342464.0,0.0,0.0
8314,2001,,,,,,1.248,0.564,0.0,0.0,0.0,,,,4.593,2.379,0.0,0.796,3.175,0.0,0.0,0.692,1392.098,,,,51.802,72.422,69.134,3.175,96.654,0.0,0.0,,,,24.232,17.333,139.807,32849000.0,45.729,96.654,69.134,0.0,0.0,66063642624.0,0.0,0.0
8315,2002,,,,,,0.985,0.45,0.0,0.0,0.0,,,,4.752,3.088,0.0,0.702,3.79,0.0,0.0,0.717,1368.197,,,,64.988,91.491,79.762,3.79,112.29,0.0,0.0,,,,20.799,14.774,140.78,33752000.0,46.179,112.29,79.762,0.0,0.0,64448475136.0,0.0,0.0
8316,2003,,,,,,-4.82,-2.226,0.0,0.0,0.0,,,,5.098,3.227,0.0,1.103,4.33,0.0,0.0,0.695,1267.446,,,,63.3,93.053,84.936,4.33,124.859,0.0,0.0,,,,31.806,21.636,147.005,34679000.0,43.954,124.859,84.936,0.0,0.0,63281344512.0,0.0,0.0
8317,2004,,,,,,8.173,3.593,0.0,0.0,0.0,,,,5.453,2.84,0.0,1.351,4.191,0.0,0.0,0.723,1334.257,,,,52.077,79.697,76.851,4.191,117.609,0.0,0.0,,,,37.912,24.773,153.035,35635000.0,47.546,117.609,76.851,0.0,0.0,65793523712.0,0.0,0.0
8318,2005,,,,,,8.994,4.276,0.0,0.0,0.0,,,,5.862,2.996,0.0,1.319,4.316,0.0,0.001,0.732,1414.954,,,,51.106,81.802,73.623,4.316,117.843,0.0,0.0,,,,36.014,22.5,160.063,36625000.0,51.823,117.843,73.623,0.0,0.0,70755893248.0,0.017,0.027
8319,2006,,,,,,10.029,5.197,0.0,0.0,0.0,,,,6.324,3.245,0.0,1.328,4.574,0.0,0.001,0.73,1514.514,,,,51.31,86.191,72.324,4.574,121.491,0.0,0.0,,,,35.273,20.998,167.98,37649000.0,57.02,121.491,72.324,0.0,0.0,78094204928.0,0.016,0.027
8320,2007,,,,,,0.733,0.418,0.0,0.0,0.0,,,,6.53,3.453,0.0,1.336,4.8,0.01,0.001,0.686,1483.949,,,,52.882,89.211,73.511,4.8,124.012,0.0,0.0,,,,34.517,20.461,168.697,38706000.0,57.438,124.012,73.511,0.153,0.258,83736363008.0,0.015,0.026
8321,2008,,,,,,-1.202,-0.69,0.0,0.0,0.0,,,,6.417,2.821,0.0,1.305,4.137,0.01,0.001,0.648,1426.097,,,,43.958,70.894,64.465,4.137,103.966,0.0,0.0,,,,32.796,20.335,161.275,39792000.0,56.747,103.966,64.465,0.156,0.251,87540162560.0,0.016,0.025
8322,2009,,,,,,9.437,5.355,0.0,0.0,0.0,,,,6.581,2.148,0.0,1.56,3.734,0.01,0.016,0.661,1518.323,,,,32.638,52.516,56.737,3.734,91.291,0.0,0.0,,,,38.14,23.704,160.903,40902000.0,62.102,91.291,56.737,0.152,0.244,93923098624.0,0.243,0.391
8323,2010,,,,,,8.554,5.312,0.0,0.0,0.0,,,,7.231,3.393,0.0,1.651,5.081,0.019,0.018,0.648,1603.931,,,,46.924,80.726,70.269,5.081,120.887,0.0,0.0,,,,39.281,22.833,172.034,42031000.0,67.415,120.887,70.269,0.263,0.452,104000000000.0,0.249,0.428
8324,2011,,,,,,3.445,2.322,0.0,0.0,0.0,,,,7.535,3.416,0.0,1.666,5.12,0.023,0.015,0.612,1615.11,,,,45.336,79.114,67.951,5.12,118.579,0.0,0.0,,,,38.584,22.111,174.507,43178000.0,69.737,118.579,67.951,0.305,0.533,114000000000.0,0.199,0.347
8325,2012,,,,,,-0.861,-0.6,0.0,0.0,0.0,,,,7.944,4.256,0.0,1.709,6.008,0.028,0.015,0.571,1559.14,,,,53.572,95.979,75.626,6.008,135.489,0.0,0.0,,,,38.54,21.512,179.158,44343000.0,69.137,135.489,75.626,0.352,0.631,121000000000.0,0.189,0.338
8326,2013,,,,,,4.985,3.447,0.0,0.0,0.0,,,,8.477,3.906,0.0,1.96,5.915,0.031,0.018,0.572,1594.543,,,,46.075,85.808,69.773,5.915,129.943,0.0,0.0,,,,43.058,23.12,186.236,45520000.0,72.584,129.943,69.773,0.366,0.681,127000000000.0,0.212,0.395
8327,2014,,,,,,8.128,5.9,0.0,0.0,0.0,,,,8.018,3.277,0.0,3.053,6.404,0.034,0.04,0.586,1680.586,,,,40.871,70.171,79.87,6.404,137.131,0.0,0.0,,,,65.375,38.077,171.691,46700000.0,78.483,137.131,79.87,0.424,0.728,134000000000.0,0.499,0.857
8328,2015,,,,,,14.528,11.402,0.0,0.0,0.0,,,,9.816,3.749,0.0,4.643,8.489,0.037,0.06,0.633,1877.383,,,,38.193,78.303,86.481,8.489,177.305,0.0,0.0,,,,96.976,47.3,205.021,47878000.0,89.885,177.305,86.481,0.377,0.773,142000000000.0,0.611,1.253
8329,2016,,,,,,4.036,3.628,0.0,0.0,0.0,,,,9.393,3.308,0.0,4.607,8.011,0.04,0.056,0.623,1906.408,,,,35.218,67.439,85.287,8.011,163.316,0.0,0.0,,,,93.921,49.047,191.491,49052000.0,93.513,163.316,85.287,0.426,0.815,150000000000.0,0.596,1.142
8330,2017,,,,,,,,0.0,0.0,0.0,,,,10.557,3.174,0.0,4.882,8.175,0.058,0.061,,,,,,30.065,63.201,77.437,8.175,162.781,0.0,0.0,,,,97.21,46.244,210.211,50221000.0,,162.781,77.437,0.549,1.155,,0.578,1.215
8331,2018,,,,,,,,0.0,0.0,0.0,,,,11.105,3.946,0.0,5.255,9.652,0.075,0.376,,,,,,35.535,76.781,86.915,9.652,187.799,0.0,0.0,,,,102.251,47.323,216.071,51393000.0,,187.799,86.915,0.671,1.451,,3.386,7.316
8332,2019,,,,,,,,0.0,0.0,0.0,,,,11.426,3.173,0.0,5.364,10.192,0.092,1.563,,,,,,27.771,60.353,89.2,10.192,193.854,0.0,0.0,,,,102.021,46.944,217.325,52574000.0,,193.854,89.2,0.805,1.75,,13.68,29.73
