,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
8333,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,1670.495,,,,,,,,,,,,,,,,,59000.0,0.099,,,,,,,
8334,1981,,0.0,,,,18.452,0.018,,,,,0.0,0.0,,,,,,,,,1945.762,,,,,,,,,,,,,,,,,60000.0,0.117,,,,,,,
8335,1982,,0.0,,,,-0.503,-0.001,,,,,0.0,0.0,,,,,,,,,1904.247,,,,,,,,,,,,,,,,,61000.0,0.116,,,,,,,
8336,1983,,0.0,,,,0.253,0.0,,,,,0.0,0.0,,,,,,,,,1878.264,,,,,,,,,,,,,,,,,62000.0,0.116,,,,,,,
8337,1984,,0.0,,,,-26.448,-0.031,,,,,0.0,0.0,,,,,,,,,1359.566,,,,,,,,,,,,,,,,,63000.0,0.086,,,,,,,
8338,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,1338.323,,,,,,,,,,,,,,,,,64000.0,0.086,,,,,,,
8339,1986,,0.0,,,,-25.082,-0.021,,,,,0.0,0.0,,,,,,,,,972.263,,,,,,,,,,,,,,,,,66000.0,0.064,,,,,,,
8340,1987,,0.0,,,,17.737,0.011,,,,,0.0,0.0,,,,,,,,,1127.63,,,,,,,,,,,,,,,,,67000.0,0.076,,,,,,,
8341,1988,,0.0,,,,0.226,0.0,,,,,0.0,0.0,,,,,,,,,1097.415,,,,,,,,,,,,,,,,,69000.0,0.076,,,,,,,
8342,1989,,0.0,,,,-0.225,0.0,,,,,0.0,0.0,,,,,,,,,1064.101,,,,,,,,,,,,,,,,,71000.0,0.076,,,,,,,
8343,1990,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,1049.322,,,,,,,,,,,,,,,,,72000.0,0.076,,,,,,,
8344,1991,,0.0,,,,1.084,0.001,,,,,0.0,0.0,,,,,,,,,1032.03,,,,,,,,,,,,,,,,,74000.0,0.076,,,,,,,
8345,1992,,0.0,,,,-0.849,-0.001,,,,,0.0,0.0,,,,,,,,,1009.622,,,,,,,,,,,,,,,,,75000.0,0.076,,,,,,,
8346,1993,,0.0,,,,-0.225,0.0,,,,,0.0,0.0,,,,,,,,,994.095,,,,,,,,,,,,,,,,,76000.0,0.076,,,,,,,
8347,1994,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,981.184,,,,,,,,,,,,,,,,,77000.0,0.076,,,,,,,
8348,1995,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,968.605,,,,,,,,,,,,,,,,,78000.0,0.076,,,,,,,
8349,1996,,0.0,,,,0.226,0.0,,,,,0.0,0.0,,,,,,,,,958.502,,,,,,,,,,,,,,,,,79000.0,0.076,,,,,,,
8350,1997,,0.0,,,,-0.225,0.0,,,,,0.0,0.0,,,,,,,,,944.39,,,,,,,,,,,,,,,,,80000.0,0.076,,,,,,,
8351,1998,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,921.356,,,,,,,,,,,,,,,,,82000.0,0.076,,,,,,,
8352,1999,,0.0,,,,0.005,0.0,,,,,0.0,0.0,,,,,,,,,910.301,,,,,,,,,,,,,,,,,83000.0,0.076,,,,,,,
8353,2000,,0.0,,,,92.646,0.07,,,,,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,,1732.786,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,154.762,84000.0,0.146,0.0,0.0,0.0,0.0,,0.0,0.0
8354,2001,,0.0,,,,-14.674,-0.021,,,,,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,,1444.133,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,127.907,86000.0,0.124,0.0,0.0,0.0,0.0,,0.0,0.0
8355,2002,,0.0,,,,46.565,0.058,,,,,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,,2092.266,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,149.425,87000.0,0.182,0.0,0.0,0.0,0.0,,0.0,0.0
8356,2003,,0.0,,,,3.966,0.007,,,,,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,,2126.353,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,179.775,89000.0,0.189,0.0,0.0,0.0,0.0,,0.0,0.0
8357,2004,,0.0,,,,7.109,0.013,,,,,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,,2252.218,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,211.111,90000.0,0.203,0.0,0.0,0.0,0.0,,0.0,0.0
8358,2005,,0.0,,,,31.021,0.063,,,,,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,,2886.725,,,,0.0,0.0,1.869,0.0,4.348,0.0,0.0,,,,0.0,0.0,232.609,92000.0,0.266,4.348,1.869,1.869,4.348,,0.0,0.0
8359,2006,,0.0,,,,11.243,0.03,,,,,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,,3142.942,,,,0.0,0.0,1.786,0.0,4.255,0.0,0.0,,,,0.0,0.0,238.298,94000.0,0.295,4.255,1.786,1.786,4.255,,0.0,0.0
8360,2007,,0.0,,,,-8.702,-0.026,,,,,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,,2780.693,,,,0.0,0.0,1.786,0.0,4.124,0.0,0.0,,,,0.0,0.0,230.928,97000.0,0.27,4.124,1.786,1.786,4.124,,0.0,0.0
8361,2008,,0.0,,,,12.009,0.032,,,,,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,,3051.718,,,,0.0,0.0,2.326,0.0,5.051,0.0,0.0,,,,0.0,0.0,217.172,99000.0,0.302,5.051,2.326,2.326,5.051,,0.0,0.0
8362,2009,,0.0,,,,-12.698,-0.038,,,,,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,,2611.456,,,,0.0,0.0,2.326,0.0,4.95,0.0,0.0,,,,0.0,0.0,212.871,101000.0,0.264,4.95,2.326,2.326,4.95,,0.0,0.0
8363,2010,,0.0,,,,-0.407,-0.001,,,,,0.0,0.0,0.024,0.0,0.0,0.0,0.001,0.001,0.0,,2550.323,,,,0.0,0.0,2.954,0.001,6.796,0.0,0.0,,,,0.0,0.0,230.097,103000.0,0.263,6.796,2.954,2.954,6.796,,0.0,0.0
8364,2011,,0.0,,,,-7.65,-0.02,,,,,0.0,0.0,0.025,0.0,0.0,0.0,0.001,0.001,0.0,,2310.37,,,,0.0,0.0,2.834,0.001,6.667,0.0,0.0,,,,0.0,0.0,235.238,105000.0,0.243,6.667,2.834,2.834,6.667,,0.0,0.0
8365,2012,,0.0,,,,-1.197,-0.003,,,,,0.0,0.0,0.025,0.0,0.0,0.0,0.001,0.001,0.0,,2261.173,,,,0.0,0.0,3.226,0.001,7.547,0.0,0.0,,,,0.0,0.0,233.962,106000.0,0.24,7.547,3.226,3.226,7.547,,0.0,0.0
8366,2013,,0.0,,,,1.147,0.003,,,,,0.0,0.0,0.025,0.0,0.0,0.0,0.001,0.001,0.0,,2244.765,,,,0.0,0.0,3.226,0.001,7.407,0.0,0.0,,,,0.0,0.0,229.63,108000.0,0.242,7.407,3.226,3.226,7.407,,0.0,0.0
8367,2014,,0.0,,,,0.382,0.001,,,,,0.0,0.0,0.025,0.0,0.0,0.0,0.001,0.001,0.0,,2232.675,,,,0.0,0.0,5.037,0.001,11.679,0.0,0.0,,,,0.0,0.0,231.862,109000.0,0.243,11.679,5.037,5.037,11.679,,0.0,0.0
8368,2015,,0.0,,,,8.76,0.021,,,,,0.0,0.0,0.028,0.0,0.0,0.0,0.004,0.004,0.0,,2384.502,,,,0.0,0.0,13.985,0.004,35.153,0.0,0.0,,,,0.0,0.0,251.369,111000.0,0.265,35.153,13.985,13.985,35.153,,0.0,0.0
8369,2016,,0.0,,,,-3.419,-0.009,,,,,0.0,0.0,0.03,0.0,0.0,0.0,0.005,0.005,0.0,,2262.217,,,,0.0,0.0,16.211,0.005,42.805,0.0,0.0,,,,0.0,0.0,264.044,113000.0,0.256,42.805,16.211,16.211,42.805,,0.0,0.0
8370,2017,,,,,,,,,,,,,,0.03,0.0,0.0,0.0,0.005,0.005,0.0,,,,,,0.0,0.0,16.211,0.005,42.43,0.0,0.0,,,,0.0,0.0,261.728,114000.0,,42.43,16.211,16.211,42.43,,0.0,0.0
8371,2018,,,,,,,,,,,,,,0.03,0.0,0.0,0.0,0.005,0.005,0.0,,,,,,0.0,0.0,16.211,0.005,41.698,0.0,0.0,,,,0.0,0.0,257.216,116000.0,,41.698,16.211,16.211,41.698,,0.0,0.0
8372,2019,,,,,,,,,,,,,,0.03,0.0,0.0,0.0,0.005,0.005,0.0,,,,,,0.0,0.0,16.032,0.005,40.992,0.0,0.0,,,,0.0,0.0,255.681,118000.0,,40.992,16.032,16.032,40.992,,0.0,0.0
