,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
8373,2000,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
8374,2001,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
8375,2002,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
8376,2003,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
8377,2004,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
8378,2005,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
8379,2006,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
8380,2007,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
8381,2008,,,,,,,,,,,,17.623,,4.856,0.075,0.0,0.0,0.075,0.0,0.0,,,,0.0,,1.544,,1.544,0.075,,0.0,,,0.0,,,0.0,,,24.133,,1.544,0.0,,,0.0,
8382,2009,11.307,1.993,0.0,,0.0,12.381,2.988,,,,,19.616,,4.684,0.119,0.0,0.0,0.119,0.0,0.0,,,,0.0,,2.541,,2.541,0.119,,0.0,,,0.0,,,0.0,,,27.121,,2.541,0.0,,,0.0,
8383,2010,0.676,0.133,0.0,,0.0,2.251,0.61,,,,,19.749,,4.867,0.154,0.0,0.0,0.157,0.0,0.003,,,,0.0,,3.164,,3.226,0.157,,0.0,,,0.0,,,0.0,,,27.731,,3.226,0.0,,,0.062,
8384,2011,-4.122,-0.814,0.0,,0.0,1.164,0.323,,,,,18.935,,5.461,0.104,0.0,0.0,0.107,0.0,0.003,,,,0.0,,1.904,,1.959,0.107,,0.0,,,0.0,,,0.0,,,28.054,,1.959,0.0,,,0.055,
8385,2012,4.715,0.893,0.0,,0.0,-7.055,-1.979,,,,,19.827,,5.594,0.095,0.0,0.0,0.098,0.0,0.003,,,,0.0,,1.698,,1.752,0.098,,0.0,,,0.0,,,0.0,,,26.074,,1.752,0.0,,,0.054,
8386,2013,-5.35,-1.061,0.0,,0.0,3.232,0.843,,,,,18.767,,6.144,0.142,0.0,0.0,0.145,0.0,0.003,,,,0.0,,2.311,,2.36,0.145,,0.0,,,0.0,,,0.0,,,26.917,,2.36,0.0,,,0.049,
8387,2014,-12.349,-2.318,0.0,,0.0,-10.67,-2.872,,,,,16.449,,5.12,0.149,0.0,0.0,0.152,0.0,0.003,,,,0.0,,2.91,,2.969,0.152,,0.0,,,0.0,,,0.0,,,24.045,,2.969,0.0,,,0.059,
8388,2015,14.395,2.368,0.0,,0.0,16.37,3.936,,,,,18.817,,5.762,0.139,0.0,0.0,0.142,0.0,0.003,,,,0.0,,2.412,,2.464,0.142,,0.0,,,0.0,,,0.0,,,27.981,,2.464,0.0,,,0.052,
8389,2016,6.795,1.279,0.0,,0.0,6.744,1.887,,,,,20.095,,5.638,0.243,0.0,0.0,0.246,0.0,0.003,,,,0.0,,4.31,,4.365,0.246,,0.0,,,0.0,,,0.0,,,29.868,,4.365,0.002,,,0.053,
8390,2017,,,,,,,,,,,,,,5.576,0.177,0.0,0.0,0.181,0.001,0.003,,,,,,3.175,,3.246,0.181,,0.0,,,,,,0.0,,,,,3.246,0.018,,,0.054,
8391,2018,,,,,,,,,,,,,,5.578,0.27,0.0,0.0,0.302,0.002,0.03,,,,,,4.846,,5.419,0.302,,0.0,,,,,,0.0,,,,,5.419,0.036,,,0.538,
8392,2019,,,,,,,,,,,,,,5.994,0.208,0.0,0.0,0.309,0.01,0.091,,,,,,3.468,,5.153,0.309,,0.0,,,,,,0.0,,,,,5.153,0.167,,,1.518,
