,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
8513,1992,,,,,,,,,,,,9.912,2225.34,,,,,,,,3.71,18820.448,,1.07,240.15,,,,,,,,,1.37,307.639,,,,4454000.0,83.826,,,,,22597625856.0,,
8514,1993,-19.991,-1.981,-0.642,-9.462,-0.13,-13.656,-11.447,,,,,7.93,1768.566,,,,,,,,3.635,16141.611,,0.428,95.467,,,,,,,,,1.241,276.666,,,,4484000.0,72.379,,,,,19913601024.0,,
8515,1994,-50.901,-4.037,-0.052,-19.478,-0.242,-6.243,-4.519,,,,,3.894,861.629,,,,,,,,4.454,15016.677,,0.376,83.306,,,,,,,,,0.999,221.051,,,,4519000.0,67.86,,,,,15236104192.0,,
8516,1995,-45.207,-1.76,0.001,24.19,0.242,-23.494,-15.943,,,,,2.133,467.252,,,,,,,,3.974,11370.447,,0.378,82.732,,,,,,,,,1.241,271.698,,,,4566000.0,51.917,,,,,13064787968.0,,
8517,1996,-11.663,-0.249,-0.117,0.274,0.003,30.368,15.766,,,,,1.885,407.139,,,,,,,,5.22,14621.654,,0.261,56.395,,,,,,,,,1.244,268.734,,,,4629000.0,67.684,,,,,12965980160.0,,
8518,1997,27.628,0.521,-0.066,-10.395,-0.129,-5.305,-3.59,,,,,2.405,511.122,,,,,,,,5.873,13619.46,,0.195,41.484,,,,,,,,,1.115,236.86,,,,4706000.0,64.093,,,,,10913399808.0,,
8519,1998,-17.241,-0.415,-0.043,-5.648,-0.063,-1.065,-0.682,,,,,1.991,415.84,,,,,,,,6.341,13246.461,,0.152,31.72,,,,,,,,,1.052,219.701,,,,4787000.0,63.411,,,,,9999792128.0,,
8520,1999,-3.472,-0.069,-0.043,-5.478,-0.058,7.347,4.659,,,,,1.922,395.291,,,,,,,,6.964,14003.152,,0.108,22.312,,,,,,,,,0.994,204.505,,,,4861000.0,68.069,,,,,9775104000.0,,
8521,2000,1.918,0.037,0.033,27.004,0.268,3.975,2.706,,,,,1.958,397.962,15.708,13.546,0.0,0.0,13.546,0.0,0.0,7.289,14382.231,,0.141,28.652,86.236,2752.693,86.236,13.546,2752.693,0.0,0.0,,1.263,256.563,0.0,0.0,3192.034,4921000.0,70.775,2752.693,86.236,0.0,0.0,9709912064.0,0.0,0.0
8522,2001,12.0,0.235,0.033,-0.273,-0.003,-6.538,-4.627,,,,,2.193,441.946,14.662,12.306,0.0,0.0,12.306,0.0,0.0,6.909,13328.227,,0.174,34.965,83.933,2479.549,83.933,12.306,2479.549,0.0,0.0,,1.259,253.696,0.0,0.0,2954.189,4963000.0,66.148,2479.549,83.933,0.0,0.0,9574320128.0,0.0,0.0
8523,2002,-3.571,-0.078,-0.065,-24.0,-0.302,-15.642,-10.347,,,,,2.115,423.771,12.84,10.679,0.0,0.0,10.679,0.0,0.0,5.815,11180.302,,0.108,21.731,83.169,2139.651,83.169,10.679,2139.651,0.0,0.0,,0.957,191.728,0.0,0.0,2572.643,4991000.0,55.801,2139.651,83.169,0.0,0.0,9596157952.0,0.0,0.0
