,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
8541,1980,,,,,,,,,,,,0.0,0.134,,,,,,,,1.432,1347.144,,,,,,,,,,,,,,,,,3258000.0,4.389,,,,,3065783040.0,,
8542,1981,11.409,0.0,,,,-15.731,-0.69,,,,,0.0,0.147,,,,,,,,1.042,1113.024,,,,,,,,,,,,,,,,,3323000.0,3.699,,,,,3550567936.0,,
8543,1982,99.999,0.0,,,,3.798,0.14,,,,,0.001,0.286,,,,,,,,0.998,1128.805,,,,,,,,,,,,,,,,,3401000.0,3.839,,,,,3847608064.0,,
8544,1983,50.0,0.0,,,,-8.844,-0.34,,,,,0.001,0.419,,,,,,,,0.845,1002.737,,,,,,,,,,,,,,,,,3490000.0,3.5,,,,,4141574912.0,,
8545,1984,33.333,0.0,,,,-6.436,-0.225,,,,,0.002,0.543,,,,,,,,0.817,913.085,,,,,,,,,,,,,,,,,3586000.0,3.274,,,,,4006240000.0,,
8546,1985,150.001,0.003,,,,-7.153,-0.234,,,,,0.005,1.32,,,,,,,,0.666,824.323,,,,,,,,,,,,,,,,,3688000.0,3.04,,,,,4563936256.0,,
8547,1986,99.999,0.005,,,,5.603,0.17,,,,,0.01,2.567,,,,,,,,0.669,846.192,,,,,,,,,,,,,,,,,3794000.0,3.21,,,,,4796550144.0,,
8548,1987,-50.0,-0.005,,,,-25.782,-0.828,,,,,0.005,1.247,,,,,,,,0.486,610.017,,,,,,,,,,,,,,,,,3906000.0,2.383,,,,,4898153984.0,,
8549,1988,0.0,0.0,,,,-5.177,-0.123,,,,,0.005,1.211,,,,,,,,0.412,561.892,,,,,,,,,,,,,,,,,4021000.0,2.259,,,,,5488419840.0,,
8550,1989,0.0,0.0,,,,27.137,0.613,,,,,0.005,1.176,,,,,,,,0.479,694.007,,,,,,,,,,,,,,,,,4139000.0,2.872,,,,,5997709824.0,,
