,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
8581,1985,,,,,,,,,0.0,0.0,8.443,,,4.961,2.979,0.0,0.0,2.979,0.0,0.0,3.264,40974.396,21.105,,,60.042,1154.078,60.042,2.979,1154.078,0.0,0.0,67.932,,,0.0,0.0,1922.123,2581000.0,105.755,1154.078,60.042,0.0,0.0,32400398336.0,0.0,0.0
8582,1986,,,,,,-7.115,-7.524,0.0,0.0,0.0,10.655,,,5.184,3.001,0.0,0.0,3.001,0.0,0.0,2.953,37752.068,22.07,,,57.885,1153.256,57.885,3.001,1153.256,0.0,0.0,57.17,,,0.0,0.0,1992.314,2602000.0,98.231,1153.256,57.885,0.0,0.0,33268328448.0,0.0,0.0
8583,1987,,,,,,-8.929,-8.771,0.0,0.0,0.0,9.756,,,5.937,3.699,0.0,0.0,3.699,0.0,0.0,2.7,34054.064,22.955,,,62.305,1408.084,62.305,3.699,1408.084,0.0,0.0,46.474,,,0.0,0.0,2259.992,2627000.0,89.46,1408.084,62.305,0.0,0.0,33136340992.0,0.0,0.0
8584,1988,,,,,,-5.523,-4.941,0.0,0.0,0.0,9.792,,,5.11,3.001,0.0,0.0,3.001,0.0,0.0,2.448,31894.005,24.72,,,58.724,1132.367,58.724,3.001,1132.367,0.0,0.0,41.671,,,0.0,0.0,1928.302,2650000.0,84.519,1132.367,58.724,0.0,0.0,34520113152.0,0.0,0.0
8585,1989,,,,,,-0.152,-0.128,0.0,0.0,0.0,7.997,,,5.801,3.606,0.0,0.0,3.606,0.0,0.0,2.319,31678.18,24.72,,,62.166,1353.69,62.166,3.606,1353.69,0.0,0.0,41.656,,,0.0,0.0,2177.553,2664000.0,84.391,1353.69,62.166,0.0,0.0,36385882112.0,0.0,0.0
8586,1990,,,,,,1.505,1.27,0.0,0.0,0.0,8.24,,,6.648,4.496,0.0,0.0,4.496,0.0,0.0,2.335,32154.878,25.686,,,67.629,1687.688,67.629,4.496,1687.688,0.0,0.0,39.246,,,0.0,0.0,2495.495,2664000.0,85.661,1687.688,67.629,0.0,0.0,36680617984.0,0.0,0.0
8587,1991,,,,,,-7.667,-6.568,0.0,0.0,0.0,7.222,,,5.644,3.275,0.0,0.0,3.275,0.0,0.0,2.542,29857.566,24.72,,,58.026,1236.316,58.026,3.275,1236.316,0.0,0.0,38.053,,,0.0,0.0,2130.615,2649000.0,79.093,1236.316,58.026,0.0,0.0,31109484544.0,0.0,0.0
8588,1992,,,,,,-28.46,-22.51,0.0,0.0,0.0,6.353,,,3.834,2.521,0.0,0.0,2.521,0.0,0.0,2.462,21596.54,14.12,,,65.754,962.214,65.754,2.521,962.214,0.0,0.0,29.106,,,0.0,0.0,1463.359,2620000.0,56.583,962.214,65.754,0.0,0.0,22983235584.0,0.0,0.0
8589,1993,,,,,,-14.037,-7.943,0.0,0.0,0.0,5.807,,,3.924,2.876,0.0,0.0,2.876,0.0,0.0,2.378,18830.888,8.83,,,73.293,1113.434,73.293,2.876,1113.434,0.0,0.0,26.014,,,0.0,0.0,1519.164,2583000.0,48.64,1113.434,73.293,0.0,0.0,20455591936.0,0.0,0.0
8590,1994,,,,,,-3.309,-1.609,0.0,0.0,0.0,4.368,,,4.44,3.305,0.0,0.0,3.305,0.0,0.0,2.304,18486.954,8.83,,,74.437,1299.135,74.437,3.305,1299.135,0.0,0.0,24.652,,,0.0,0.0,1745.283,2544000.0,47.031,1299.135,74.437,0.0,0.0,20415057920.0,0.0,0.0
8591,1995,,,,,,-6.355,-2.989,0.0,0.0,0.0,3.108,,,3.979,2.937,0.0,0.0,2.937,0.0,0.0,2.236,17560.568,10.59,,,73.813,1171.053,73.813,2.937,1171.053,0.0,0.0,22.186,,,0.0,0.0,1586.523,2508000.0,44.042,1171.053,73.813,0.0,0.0,19696109568.0,0.0,0.0
8592,1996,,,,,,-6.608,-2.91,0.0,0.0,0.0,2.913,,,3.126,1.86,0.0,0.0,1.861,0.0,0.001,2.071,16592.066,9.705,,,59.501,750.303,59.533,1.861,750.706,0.0,0.0,23.344,,,0.0,0.0,1260.992,2479000.0,41.132,750.706,59.533,0.0,0.0,19865556992.0,0.032,0.403
8593,1997,,,,,,0.27,0.111,0.0,0.0,0.0,2.603,,,4.506,2.953,0.0,0.0,2.955,0.0,0.002,1.94,16813.19,9.705,,,65.535,1203.832,65.579,2.955,1204.647,0.0,0.0,20.726,,,0.0,0.0,1836.934,2453000.0,41.243,1204.647,65.579,0.0,0.0,21261987840.0,0.044,0.815
8594,1998,,,,,,8.354,3.445,0.0,0.0,0.0,1.92,,,5.797,4.316,0.0,0.0,4.318,0.0,0.002,1.93,18382.647,10.978,,,74.452,1775.401,74.487,4.318,1776.224,0.0,0.0,19.795,,,0.0,0.0,2384.615,2431000.0,44.688,1776.224,74.487,0.0,0.0,23152869376.0,0.035,0.823
8595,1999,,,,,,-14.743,-6.588,0.0,0.0,0.0,1.484,,,4.11,2.757,0.0,0.0,2.759,0.0,0.002,1.568,15822.202,10.515,,,67.08,1144.934,67.129,2.759,1145.764,0.0,0.0,18.437,,,0.0,0.0,1706.811,2408000.0,38.1,1145.764,67.129,0.0,0.0,24297342976.0,0.049,0.831
8596,2000,,,,,,-2.236,-0.852,0.0,0.0,0.0,1.531,,,4.137,2.819,0.0,0.0,2.824,0.0,0.004,1.476,15624.211,12.734,,,68.152,1182.532,68.259,2.824,1184.385,0.0,0.0,15.139,,,0.0,0.0,1735.14,2384000.0,37.248,1184.385,68.259,0.0,0.0,25228673024.0,0.107,1.853
8597,2001,,,,,,7.828,2.916,0.0,0.0,0.0,1.428,,,4.28,2.833,0.0,0.003,2.839,0.0,0.003,1.506,17025.764,13.24,,,66.192,1200.977,66.333,2.839,1203.531,0.0,0.0,17.66,,,1.099,0.061,1814.383,2359000.0,40.164,1203.531,66.333,0.0,0.0,26669565952.0,0.08,1.455
8598,2002,,,,,,1.054,0.423,0.0,0.0,0.0,1.151,,,3.975,2.464,0.0,0.01,2.485,0.0,0.011,1.425,17396.989,15.086,,,61.985,1055.981,62.511,2.485,1064.945,0.0,0.0,17.536,,,4.145,0.243,1703.607,2333000.0,40.587,1064.945,62.511,0.0,0.0,28483074048.0,0.283,4.819
8599,2003,,,,,,-1.182,-0.48,0.0,0.0,0.0,1.033,,,3.976,2.266,0.0,0.024,2.339,0.0,0.048,1.368,17392.712,15.005,,,57.003,982.737,58.823,2.339,1014.114,0.0,0.0,17.7,,,10.368,0.601,1724.001,2306000.0,40.108,1014.114,58.823,0.0,0.0,29327583232.0,1.219,21.009
8600,2004,,,,,,12.181,4.886,0.0,0.0,0.0,0.782,,,4.689,3.109,0.0,0.038,3.196,0.0,0.049,1.482,19742.492,16.562,,,66.309,1364.359,68.161,3.196,1402.475,0.0,0.0,18.998,,,16.55,0.804,2057.587,2279000.0,44.993,1402.475,68.161,0.0,0.0,30351355904.0,1.048,21.565
