,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
8617,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,1.223,11691.503,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2589000.0,30.269,,,,,24748431360.0,,
8618,1981,,0.0,0.0,,0.0,-6.783,-2.053,,,,,0.0,0.0,,,,,,,,1.126,10877.403,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2594000.0,28.216,,,,,25067264000.0,,
8619,1982,,0.0,0.0,,0.0,-3.045,-0.859,,,,,0.0,0.0,,,,,,,,1.714,10497.673,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2606000.0,27.357,,,,,15956726784.0,,
8620,1983,,0.0,0.0,,0.0,3.359,0.919,,,,,0.0,0.0,,,,,,,,1.434,10784.125,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2622000.0,28.276,,,,,19723274240.0,,
8621,1984,,0.0,0.0,,0.0,-3.897,-1.102,,,,,0.0,0.0,,,,,,,,0.947,10301.016,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2638000.0,27.174,,,,,28697595904.0,,
8622,1985,,0.0,0.0,,0.0,15.112,4.107,,,,,0.0,0.0,,,,,,,,0.871,11795.141,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2652000.0,31.281,,,,,35915984896.0,,
8623,1986,,0.0,0.0,,0.0,-5.838,-1.826,,,,,0.0,0.0,,,,,,,,0.874,11068.937,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2661000.0,29.454,,,,,33709760512.0,,
8624,1987,,0.0,0.0,,0.0,5.254,1.548,,,,,0.0,0.0,,,,,,,,0.782,11619.981,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2668000.0,31.002,,,,,39629160448.0,,
8625,1988,,0.0,0.0,,0.0,-9.951,-3.085,,,,,0.0,0.0,,,,,,,,0.974,10397.446,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2685000.0,27.917,,,,,28648144896.0,,
8626,1989,,0.0,0.0,,0.0,-20.836,-5.817,,,,,0.0,0.0,,,,,,,,1.332,8107.258,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2726000.0,22.1,,,,,16595136512.0,,
8627,1990,,0.0,0.0,,0.0,-7.461,-1.649,,,,,0.0,0.0,,,,,,,,0.967,7296.292,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2803000.0,20.452,,,,,21140826112.0,,
8628,1991,,0.0,0.0,,0.0,67.194,13.742,,,,,0.0,0.0,,,,,,,,1.162,11702.18,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2922000.0,34.194,,,,,29418840064.0,,
8629,1992,,0.0,0.0,,0.0,2.387,0.816,,,,,0.0,0.0,,,,,,,,1.131,11381.676,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3076000.0,35.01,,,,,30943094784.0,,
8630,1993,,0.0,0.0,,0.0,25.602,8.963,,,,,0.0,0.0,,,,,,,,1.319,13546.928,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3246000.0,43.973,,,,,33330855936.0,,
8631,1994,,0.0,0.0,,0.0,12.604,5.543,,,,,0.0,0.0,,,,,,,,1.367,14550.66,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3403000.0,49.516,,,,,36234481664.0,,
8632,1995,,0.0,0.0,,0.0,7.021,3.477,,,,,0.0,0.0,,,,,,,,1.364,15020.553,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3528000.0,52.993,,,,,38849761280.0,,
8633,1996,,0.0,0.0,,0.0,5.354,2.837,,,,,0.0,0.0,,,,,,,,1.358,15461.025,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3611000.0,55.83,,,,,41114386432.0,,
8634,1997,,0.0,0.0,,0.0,14.881,8.308,,,,,0.0,0.0,,,,,,,,1.586,17533.515,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3658000.0,64.138,,,,,40427638784.0,,
8635,1998,,0.0,0.0,,0.0,0.253,0.162,,,,,0.0,0.0,,,,,,,,1.526,17406.519,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3694000.0,64.3,,,,,42149273600.0,,
8636,1999,,0.0,0.0,,0.0,2.335,1.502,,,,,0.0,0.0,,,,,,,,1.558,17556.369,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3748000.0,65.801,,,,,42224156672.0,,
8637,2000,,0.0,0.0,,0.0,-10.035,-6.603,,,,,0.0,0.0,9.195,0.445,0.0,0.0,0.445,0.0,0.0,1.375,15404.063,,0.0,0.0,4.84,115.795,4.84,0.445,115.795,0.0,0.0,,0.0,0.0,0.0,0.0,2392.537,3843000.0,59.198,115.795,4.84,0.0,0.0,43063488512.0,0.0,0.0
