,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
8657,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.386,437.807,,,,,,,,,,,,,,,,,1340000.0,0.587,,,,,1520721024.0,,
8658,1981,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.372,425.734,,,,,,,,,,,,,,,,,1378000.0,0.587,,,,,1576349952.0,,
8659,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.348,414.602,,,,,,,,,,,,,,,,,1415000.0,0.587,,,,,1688073984.0,,
8660,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.34,403.759,,,,,,,,,,,,,,,,,1453000.0,0.587,,,,,1724012032.0,,
8661,1984,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.344,393.733,,,,,,,,,,,,,,,,,1490000.0,0.587,,,,,1707430016.0,,
8662,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.312,384.444,,,,,,,,,,,,,,,,,1526000.0,0.587,,,,,1881024000.0,,
8663,1986,,0.0,,,,17.375,0.102,,,,,0.0,0.0,,,,,,,,0.333,440.843,,,,,,,,,,,,,,,,,1562000.0,0.689,,,,,2067860992.0,,
8664,1987,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.325,431.451,,,,,,,,,,,,,,,,,1596000.0,0.689,,,,,2121808000.0,,
8665,1988,,0.0,,,,-32.703,-0.225,,,,,0.0,0.0,,,,,,,,0.187,284.122,,,,,,,,,,,,,,,,,1631000.0,0.463,,,,,2475725056.0,,
8666,1989,,0.0,,,,48.595,0.225,,,,,0.0,0.0,,,,,,,,0.262,413.075,,,,,,,,,,,,,,,,,1667000.0,0.689,,,,,2633201920.0,,
8667,1990,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.242,404.106,,,,,,,,,,,,,,,,,1704000.0,0.689,,,,,2840603904.0,,
8668,1991,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.225,395.064,,,,,,,,,,,,,,,,,1743000.0,0.689,,,,,3062176000.0,,
