,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
8697,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,4.409,4942.786,,,,,,,,,,,,,,,,,1853000.0,9.159,,,,,2077244032.0,,
8698,1981,,0.0,,,,-6.936,-0.635,,,,,0.0,0.0,,,,,,,,4.745,4441.765,,,,,,,,,,,,,,,,,1919000.0,8.524,,,,,1796306944.0,,
8699,1982,,0.0,,,,0.469,0.04,,,,,0.0,0.0,,,,,,,,4.675,4305.555,,,,,,,,,,,,,,,,,1989000.0,8.564,,,,,1831987968.0,,
8700,1983,,0.0,,,,-0.267,-0.023,,,,,0.0,0.0,,,,,,,,4.632,4152.11,,,,,,,,,,,,,,,,,2057000.0,8.541,,,,,1843931008.0,,
8701,1984,,0.0,,,,-13.548,-1.157,,,,,0.0,0.0,,,,,,,,3.949,3496.096,,,,,,,,,,,,,,,,,2112000.0,7.384,,,,,1869632000.0,,
8702,1985,,0.0,,,,1.393,0.103,,,,,0.0,0.0,,,,,,,,4.039,3488.636,,,,,,,,,,,,,,,,,2146000.0,7.487,,,,,1853691008.0,,
8703,1986,,0.0,,,,-18.986,-1.421,,,,,0.0,0.0,,,,,,,,3.345,2810.552,,,,,,,,,,,,,,,,,2158000.0,6.065,,,,,1813196032.0,,
8704,1987,,0.0,,,,-21.835,-1.324,,,,,0.0,0.0,,,,,,,,2.516,2201.978,,,,,,,,,,,,,,,,,2153000.0,4.741,,,,,1884002048.0,,
8705,1988,,0.0,,,,24.961,1.183,,,,,0.0,0.0,,,,,,,,3.074,2776.122,,,,,,,,,,,,,,,,,2134000.0,5.924,,,,,1927037952.0,,
8706,1989,,0.0,,,,-16.721,-0.991,,,,,0.0,0.0,,,,,,,,2.391,2342.67,,,,,,,,,,,,,,,,,2106000.0,4.934,,,,,2063155968.0,,
8707,1990,,0.0,,,,-51.268,-2.529,,,,,0.0,0.0,,,,,,,,2.281,1158.134,,,,,,,,,,,,,,,,,2076000.0,2.404,,,,,1054152000.0,,
8708,1991,,0.0,,,,-43.671,-1.05,,,,,0.0,0.0,,,,,,,,1.42,663.874,,,,,,,,,,,,,,,,,2040000.0,1.354,,,,,953500032.0,,
8709,1992,,0.0,,,,4.861,0.066,,,,,0.0,0.0,,,,,,,,2.182,709.36,,,,,,,,,,,,,,,,,2002000.0,1.42,,,,,650915968.0,,
8710,1993,,0.0,,,,10.357,0.147,,,,,0.0,0.0,,,,,,,,3.741,792.728,,,,,,,,,,,,,,,,,1977000.0,1.567,,,,,418884000.0,,
8711,1994,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,4.919,789.136,,,,,,,,,,,,,,,,,1986000.0,1.567,,,,,318625984.0,,
8712,1995,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,5.002,766.369,,,,,,,,,,,,,,,,,2045000.0,1.567,,,,,313324992.0,,
8713,1996,,0.0,,,,3.87,0.061,,,,,0.0,0.0,,,,,,,,5.703,753.645,,,,,,,,,,,,,,,,,2160000.0,1.628,,,,,285420000.0,,
8714,1997,,0.0,,,,-0.271,-0.004,,,,,0.0,0.0,,,,,,,,2.605,697.965,,,,,,,,,,,,,,,,,2326000.0,1.623,,,,,623273024.0,,
8715,1998,,0.0,,,,3.464,0.056,,,,,0.0,0.0,,,,,,,,1.935,667.345,,,,,,,,,,,,,,,,,2517000.0,1.68,,,,,868224000.0,,
8716,1999,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,1.63,622.114,,,,,,,,,,,,,,,,,2700000.0,1.68,,,,,1030616000.0,,
8717,2000,,0.0,,,,12.671,0.213,,,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.269,664.515,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,70.225,2848000.0,1.893,0.0,0.0,0.0,0.0,1491827968.0,0.0,0.0
8718,2001,,0.0,,,,6.655,0.126,,,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.122,683.308,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,67.705,2954000.0,2.018,0.0,0.0,0.0,0.0,1799789056.0,0.0,0.0
8719,2002,,0.0,,,,-1.354,-0.027,,,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.863,658.233,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,66.116,3025000.0,1.991,0.0,0.0,0.0,0.0,2307950080.0,0.0,0.0
8720,2003,,0.0,,,,9.516,0.189,,,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.095,708.688,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,64.998,3077000.0,2.181,0.0,0.0,0.0,0.0,1041067008.0,0.0,0.0
8721,2004,,0.0,,,,8.477,0.185,,,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.336,754.301,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,63.776,3136000.0,2.365,0.0,0.0,0.0,0.0,1769944960.0,0.0,0.0
8722,2005,,0.0,,,,17.055,0.403,,,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.456,860.447,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,62.15,3218000.0,2.769,0.0,0.0,0.0,0.0,1901628032.0,0.0,0.0
8723,2006,,0.0,,,,2.43,0.067,,,,,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.086,851.966,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,60.078,3329000.0,2.836,0.0,0.0,0.0,0.0,2612378880.0,0.0,0.0
8724,2007,,0.0,,,,-6.664,-0.189,,,,,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.073,764.64,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,72.213,3462000.0,2.647,0.0,0.0,0.0,0.0,2466458880.0,0.0,0.0
8725,2008,,0.0,,,,-11.404,-0.302,,,,,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.746,650.029,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,69.29,3608000.0,2.345,0.0,0.0,0.0,0.0,3145419008.0,0.0,0.0
8726,2009,,0.0,,,,-8.72,-0.205,,,,,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.709,570.27,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,66.596,3754000.0,2.141,0.0,0.0,0.0,0.0,3018311936.0,0.0,0.0
8727,2010,,0.0,,,,57.447,1.23,,,,,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.986,866.26,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,64.251,3891000.0,3.371,0.0,0.0,0.0,0.0,3420032000.0,0.0,0.0
8728,2011,,0.0,,,,11.345,0.382,,,,,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1.149,934.281,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,69.704,4017000.0,3.753,0.0,0.0,0.0,0.0,3266880000.0,0.0,0.0
8729,2012,,0.0,,,,10.913,0.41,,,,,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1.257,1006.422,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,67.698,4136000.0,4.163,0.0,0.0,0.0,0.0,3312800000.0,0.0,0.0
8730,2013,,0.0,,,,-11.543,-0.48,,,,,0.0,0.0,0.282,0.0,0.0,0.0,0.0,0.0,0.0,1.049,866.775,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,66.384,4248000.0,3.682,0.0,0.0,0.0,0.0,3509787904.0,0.0,0.0
8731,2014,,0.0,,,,31.684,1.167,,,,,0.0,0.0,0.282,0.0,0.0,0.0,0.0,0.0,0.0,1.367,1112.085,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,64.679,4360000.0,4.849,0.0,0.0,0.0,0.0,3547968000.0,0.0,0.0
8732,2015,,0.0,,,,0.381,0.018,,,,,0.0,0.0,0.291,0.0,0.0,0.0,0.0,0.0,0.0,1.368,1088.365,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,65.072,4472000.0,4.867,0.0,0.0,0.0,0.0,3559079936.0,0.0,0.0
8733,2016,,0.0,,,,-2.172,-0.106,,,,,0.0,0.0,0.376,0.0,0.0,0.0,0.0,0.0,0.0,1.362,1038.037,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,81.971,4587000.0,4.761,0.0,0.0,0.0,0.0,3496064000.0,0.0,0.0
8734,2017,,,,,,,,,,,,,,0.376,0.0,0.0,0.0,0.003,0.003,0.0,,,,,,0.0,0.0,0.798,0.003,0.638,0.0,0.0,,,,0.0,0.0,79.966,4702000.0,,0.638,0.798,0.798,0.638,,0.0,0.0
8735,2018,,,,,,,,,,,,,,0.374,0.0,0.0,0.0,0.004,0.004,0.0,,,,,,0.0,0.0,1.07,0.004,0.83,0.0,0.0,,,,0.0,0.0,77.609,4819000.0,,0.83,1.07,1.07,0.83,,0.0,0.0
8736,2019,,,,,,,,,,,,,,0.4,0.0,0.0,0.0,0.004,0.004,0.0,,,,,,0.0,0.0,0.999,0.004,0.81,0.0,0.0,,,,0.0,0.0,81.088,4937000.0,,0.81,0.999,0.999,0.81,,0.0,0.0
