,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
8857,1980,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3431000.0,,,,,,37520506880.0,,
8858,1981,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3456000.0,,,,,,39169069056.0,,
8859,1982,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3481000.0,,,,,,40894812160.0,,
8860,1983,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3507000.0,,,,,,41451618304.0,,
8861,1984,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3533000.0,,,,,,42066313216.0,,
8862,1985,,,,,,,,0.0,0.0,0.0,9.458,,,20.962,0.393,9.48,0.0,0.393,0.0,0.0,4.404,50549.272,40.792,,,1.876,110.423,47.099,9.873,2771.74,45.223,2661.318,102.382,,,0.0,0.0,5884.896,3562000.0,180.057,110.423,1.876,0.0,0.0,40884625408.0,0.0,0.0
8863,1986,,,,,,-7.768,-13.987,0.0,0.0,0.0,11.007,,,22.416,0.384,9.882,0.0,0.384,0.0,0.0,3.913,46207.547,40.878,,,1.715,106.98,45.799,10.266,2856.501,44.084,2749.521,85.667,,,0.0,0.0,6237.062,3594000.0,166.07,106.98,1.715,0.0,0.0,42437259264.0,0.0,0.0
8864,1987,,,,,,4.808,7.985,0.0,0.0,0.0,10.835,,,22.755,0.362,9.184,0.0,0.362,0.0,0.0,4.016,47988.597,42.696,,,1.593,99.915,41.951,9.546,2631.901,40.358,2531.986,94.007,,,0.0,0.0,6273.78,3627000.0,174.055,99.915,1.593,0.0,0.0,43339190272.0,0.0,0.0
8865,1988,,,,,,4.844,8.431,0.0,0.0,0.0,10.923,,,26.0,0.384,12.812,0.0,0.384,0.0,0.0,3.899,49886.69,44.514,,,1.479,105.109,50.755,13.196,3607.526,49.276,3502.417,90.392,,,0.0,0.0,7107.709,3658000.0,182.486,105.109,1.479,0.0,0.0,46799413248.0,0.0,0.0
8866,1989,,,,,,8.233,15.023,0.0,0.0,0.0,10.206,,,29.158,0.384,16.652,0.0,0.384,0.0,0.0,4.257,53627.207,47.241,,,1.319,104.395,58.429,17.037,4625.791,57.111,4521.395,92.738,,,0.0,0.0,7916.916,3683000.0,197.509,104.395,1.319,0.0,0.0,46391644160.0,0.0,0.0
8867,1990,,,,,,1.664,3.287,0.0,0.0,0.0,9.271,,,28.405,0.414,17.033,0.0,0.414,0.0,0.0,4.588,54327.939,54.414,,,1.457,112.013,61.422,17.447,4720.509,59.965,4608.496,88.646,,,0.0,0.0,7685.335,3696000.0,200.796,112.013,1.457,0.0,0.0,43767275520.0,0.0,0.0
8868,1991,,,,,,5.755,11.557,0.0,0.0,0.0,10.355,,,29.363,0.338,17.0,0.0,0.338,0.0,0.0,5.66,57439.229,56.329,,,1.151,91.425,59.047,17.338,4689.748,57.896,4598.323,97.508,,,0.0,0.0,7942.386,3697000.0,212.353,91.425,1.151,0.0,0.0,37517037568.0,0.0,0.0
8869,1992,,,,,,-38.874,-82.55,0.0,0.0,0.0,4.853,,,18.707,0.311,14.638,0.0,0.311,0.0,0.0,3.959,35196.004,32.18,,,1.662,84.328,79.911,14.949,4053.416,78.249,3969.089,51.244,,,0.0,0.0,5072.397,3688000.0,129.803,84.328,1.662,0.0,0.0,32784996352.0,0.0,0.0
8870,1993,,,,,,-21.856,-28.37,0.0,0.0,0.0,4.303,,,14.105,0.393,12.26,0.0,0.393,0.0,0.0,3.416,27630.896,17.404,,,2.786,107.055,89.706,12.653,3446.745,86.92,3339.689,44.578,,,0.0,0.0,3842.277,3671000.0,101.433,107.055,2.786,0.0,0.0,29693919232.0,0.0,0.0
8871,1994,,,,,,-13.538,-13.732,0.0,0.0,0.0,3.573,,,9.998,0.452,7.706,0.0,0.452,0.0,0.0,3.309,24034.198,20.135,,,4.521,123.87,81.596,8.158,2235.681,77.075,2111.811,41.332,,,0.0,0.0,2739.929,3649000.0,87.701,123.87,4.521,0.0,0.0,26502461440.0,0.0,0.0
8872,1995,,,,,,11.538,10.119,0.0,0.0,0.0,2.854,,,13.84,0.373,11.822,0.0,0.373,0.0,0.0,3.464,26969.949,23.596,,,2.695,102.84,88.114,12.195,3362.283,85.419,3259.443,37.495,,,0.0,0.0,3815.826,3627000.0,97.82,102.84,2.695,0.0,0.0,28239288320.0,0.0,0.0
8873,1996,,,,,,8.767,8.576,0.0,0.0,0.0,2.623,,,16.789,0.326,13.942,0.0,0.326,0.0,0.0,3.631,29521.674,25.227,,,1.942,90.455,84.984,14.268,3958.935,83.042,3868.479,38.914,,,0.0,0.0,4658.435,3604000.0,106.396,90.455,1.942,0.0,0.0,29303058432.0,0.0,0.0
8874,1997,,,,,,-7.729,-8.223,0.0,0.0,0.0,2.12,,,14.861,0.295,12.024,0.0,0.295,0.0,0.0,3.054,27422.689,23.288,,,1.985,82.402,82.895,12.319,3441.061,80.91,3358.659,38.546,,,0.0,0.0,4151.117,3580000.0,98.173,82.402,1.985,0.0,0.0,32144427008.0,0.0,0.0
8875,1998,,,,,,7.232,7.1,0.0,0.0,0.0,1.849,,,17.63,0.417,13.554,0.0,0.417,0.0,0.0,3.055,29612.709,20.398,,,2.365,117.3,79.246,13.971,3929.958,76.88,3812.658,44.218,,,0.0,0.0,4959.212,3555000.0,105.273,117.3,2.365,0.0,0.0,34460028928.0,0.0,0.0
8876,1999,,,,,,-16.776,-17.661,0.0,0.0,0.0,1.578,,,13.535,0.414,9.862,0.0,0.414,0.0,0.0,2.428,24826.431,21.084,,,3.059,117.314,75.922,10.276,2911.873,72.863,2794.559,36.406,,,0.0,0.0,3835.364,3529000.0,87.612,117.314,3.059,0.0,0.0,36086730752.0,0.0,0.0
8877,2000,,,,,,-11.576,-10.142,0.0,0.0,0.0,1.073,,,11.03,0.34,8.419,0.0,0.34,0.0,0.0,1.994,22121.845,24.008,,,3.079,96.985,79.41,8.759,2501.04,76.331,2404.055,28.061,,,0.0,0.0,3149.527,3502000.0,77.471,96.985,3.079,0.0,0.0,38858665984.0,0.0,0.0
8878,2001,,,,,,16.832,13.04,0.0,0.0,0.0,0.975,,,14.294,0.326,11.362,0.002,0.328,0.0,0.0,2.181,26053.74,24.966,,,2.278,93.712,81.782,11.69,3364.869,79.49,3270.581,32.31,,,0.576,0.014,4114.438,3474000.0,90.511,94.288,2.292,0.0,0.0,41505021952.0,0.0,0.0
8879,2002,,,,,,6.596,5.97,0.0,0.0,0.0,1.571,,,17.155,0.354,14.142,0.004,0.357,0.0,0.0,2.252,28006.107,25.242,,,2.061,102.616,84.518,14.499,4208.821,82.435,4105.08,29.912,,,1.126,0.023,4979.794,3445000.0,96.481,103.741,2.083,0.0,0.0,42848641024.0,0.0,0.0
8880,2003,,,,,,4.834,4.664,0.0,0.0,0.0,2.029,,,18.661,0.325,15.484,0.007,0.332,0.0,0.0,2.175,29626.415,27.381,,,1.743,95.25,84.754,15.816,4632.623,82.976,4535.442,28.646,,,1.931,0.035,5465.956,3414000.0,101.145,97.181,1.778,0.0,0.0,46498734080.0,0.0,0.0
8881,2004,,,,,,0.866,0.876,0.0,0.0,0.0,1.962,,,18.582,0.421,15.102,0.006,0.428,0.0,0.001,2.171,30174.544,27.312,,,2.265,124.504,83.576,15.53,4593.384,81.271,4466.726,30.698,,,1.808,0.033,5496.076,3381000.0,102.02,126.658,2.305,0.0,0.0,46993072128.0,0.006,0.347
8882,2005,,,,,,-9.037,-9.219,0.0,0.0,0.0,2.149,,,14.214,0.451,10.337,0.007,0.459,0.0,0.002,1.859,27751.436,28.806,,,3.171,134.794,75.954,10.796,3228.524,72.723,3091.208,32.765,,,1.991,0.047,4250.653,3344000.0,92.801,137.316,3.23,0.0,0.0,49919520768.0,0.012,0.531
8883,2006,,,,,,-4.155,-3.856,0.0,0.0,0.0,2.919,,,11.881,0.397,8.651,0.025,0.436,0.0,0.014,1.664,26928.53,28.546,,,3.343,120.237,76.483,9.087,2751.029,72.816,2619.134,32.963,,,7.495,0.208,3596.927,3303000.0,88.945,131.895,3.667,0.0,0.0,53438320640.0,0.116,4.163
8884,2007,,,,,,9.379,8.342,0.0,0.0,0.0,2.902,,,13.24,0.421,9.833,0.055,0.582,0.0,0.106,1.672,29851.861,33.635,,,3.18,129.203,78.663,10.415,3195.735,74.268,3017.183,32.462,,,16.787,0.413,4062.566,3259000.0,97.287,178.552,4.395,0.0,0.0,58199494656.0,0.802,32.562
8885,2008,,,,,,-0.889,-0.865,0.0,0.0,0.0,2.462,,,13.089,0.402,9.894,0.069,0.602,0.0,0.131,1.614,30010.036,30.192,,,3.073,125.201,80.19,10.496,3266.747,75.59,3079.365,35.34,,,21.392,0.525,4073.781,3213000.0,96.422,187.382,4.6,0.0,0.0,59742826496.0,1.001,40.789
8886,2009,,,,,,-8.25,-7.955,0.0,0.0,0.0,1.957,,,14.372,0.424,10.852,0.102,0.684,0.0,0.158,1.634,27934.129,25.372,,,2.951,133.927,80.267,11.536,3642.54,75.508,3426.587,30.296,,,32.237,0.71,4538.025,3167000.0,88.467,215.953,4.759,0.0,0.0,54137118720.0,1.097,49.788
