,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
8898,1965,,,,,,,,,0.0,0.0,31.716,,,,,,,,,,6.813,126632.132,0.0,,,,,,,,,,9.832,,,,,,330000.0,41.789,,,,,6133367808.0,,
8899,1966,,,,,,-4.176,-1.745,0.0,0.0,0.0,28.638,,,,,,,,,,6.323,120612.392,0.0,,,,,,,,,,11.19,,,,,,332000.0,40.043,,,,,6332974080.0,,
8900,1967,,,,,,-1.517,-0.608,0.0,0.0,0.0,26.834,,,,,,,,,,5.967,118071.089,0.0,,,,,,,,,,12.358,,,,,,334000.0,39.436,,,,,6608544768.0,,
8901,1968,,,,,,8.158,3.217,0.0,0.0,0.0,28.762,,,,,,,,,,6.139,126942.855,0.0,,,,,,,,,,13.642,,,,,,336000.0,42.653,,,,,6947471872.0,,
8902,1969,,,,,,7.627,3.253,0.0,0.0,0.0,30.556,,,,,,,,,,5.812,135816.523,0.029,,,,,,,,,,15.105,,,,,,338000.0,45.906,,,,,7898721792.0,,
8903,1970,,,,,,3.834,1.76,0.0,0.0,0.0,31.33,,,,,,,,,,5.972,140193.588,0.073,,,,,,,,,,16.023,,,,,,340000.0,47.666,,,,,7982093824.0,,
8904,1971,,,,,,-3.839,-1.83,0.0,0.0,0.0,28.873,,,,,,,,,,5.922,134022.922,0.147,,,,,,,,,,16.681,,,,,,342000.0,45.836,,,,,7740144128.0,,
8905,1972,,,,,,3.117,1.429,0.0,0.0,0.0,28.416,,,,,,,,,,5.635,136998.402,1.172,,,,,,,,,,17.517,,,,,,345000.0,47.264,,,,,8388378112.0,,
8906,1973,,,,,,6.014,2.842,0.0,0.0,0.0,28.156,,,,,,,,,,5.48,143984.909,2.345,,,,,,,,,,19.465,,,,,,348000.0,50.107,,,,,9144099840.0,,
8907,1974,,,,,,1.544,0.774,0.0,0.0,0.0,30.017,,,,,,,,,,5.634,144958.799,3.151,,,,,,,,,,17.505,,,,,,351000.0,50.881,,,,,9030490112.0,,
8908,1975,,,,,,-16.934,-8.616,0.0,0.0,0.0,22.825,,,,,,,,,,5.493,119391.395,3.648,,,,,,,,,,15.612,,,,,,354000.0,42.265,,,,,7694806016.0,,
8909,1976,,,,,,0.168,0.071,0.0,0.0,0.0,21.139,,,,,,,,,,5.049,118587.086,4.176,,,,,,,,,,16.907,,,,,,357000.0,42.336,,,,,8385308160.0,,
8910,1977,,,,,,-6.692,-2.833,0.0,0.0,0.0,18.22,,,,,,,,,,4.697,110035.032,4.396,,,,,,,,,,16.632,,,,,,359000.0,39.503,,,,,8409495040.0,,
8911,1978,,,,,,4.039,1.595,0.0,0.0,0.0,19.263,,,,,,,,,,4.695,113844.825,4.836,,,,,,,,,,16.75,,,,,,361000.0,41.098,,,,,8753521664.0,,
8912,1979,,,,,,2.786,1.145,0.0,0.0,0.0,21.391,,,,,,,,,,4.676,116372.279,5.056,,,,,,,,,,15.525,,,,,,363000.0,42.243,,,,,9033980928.0,,
8913,1980,,,,,,-7.82,-3.304,0.0,0.0,0.0,21.22,,,,,,,,,,4.452,106976.832,4.45,,,,,,,,,,12.988,,,,,,364000.0,38.94,,,,,8747284480.0,,
8914,1981,,,,,,-14.486,-5.641,0.0,0.0,0.0,17.067,,,,,,,,,,3.98,91229.282,3.444,,,,,,,,,,12.482,,,,,,365000.0,33.299,,,,,8365799936.0,,
8915,1982,,,,,,-6.308,-2.1,0.0,0.0,0.0,15.717,,,,,,,,,,3.713,85474.652,2.857,,,,,,,,,,12.347,,,,,,365000.0,31.198,,,,,8401529856.0,,
8916,1983,,,,,,-6.522,-2.035,0.0,0.0,0.0,14.422,,,,,,,,,,3.402,79899.693,2.711,,,,,,,,,,11.759,,,,,,365000.0,29.163,,,,,8571354112.0,,
8917,1984,,,,,,7.741,2.257,0.0,0.0,0.0,16.419,,,,,,,,,,3.726,85849.136,2.931,,,,,,,,,,11.779,,,,,,366000.0,31.421,,,,,8433372160.0,,
8918,1985,,,,,,2.697,0.847,0.0,0.0,0.0,16.297,,,0.939,0.07,0.0,0.018,0.088,0.0,0.0,3.719,87924.259,3.21,,,7.413,189.676,9.33,0.088,238.722,0.0,0.0,12.518,,,49.046,1.917,2558.706,367000.0,32.268,238.722,9.33,0.0,0.0,8677348352.0,0.0,0.0
8919,1986,,,,,,-2.252,-0.727,0.0,0.0,0.0,14.483,,,1.02,0.086,0.0,0.017,0.103,0.0,0.0,3.166,85478.781,3.137,,,8.437,233.309,10.103,0.103,279.379,0.0,0.0,13.636,,,46.07,1.666,2765.274,369000.0,31.542,279.379,10.103,0.0,0.0,9961154560.0,0.0,0.0
8920,1987,,,,,,-5.508,-1.737,0.0,0.0,0.0,10.434,,,1.036,0.1,0.0,0.022,0.122,0.0,0.0,2.91,80335.275,3.575,,,9.657,269.76,11.78,0.122,329.059,0.0,0.0,15.456,,,59.299,2.123,2793.348,371000.0,29.804,329.059,11.78,0.0,0.0,10241160192.0,0.0,0.0
8921,1988,,,,,,2.488,0.742,0.0,0.0,0.0,10.64,,,1.334,0.092,0.0,0.023,0.115,0.0,0.0,2.617,81673.547,3.72,,,6.896,245.909,8.621,0.115,307.406,0.0,0.0,15.866,,,61.497,1.725,3565.743,374000.0,30.546,307.406,8.621,0.0,0.0,11672544256.0,0.0,0.0
8922,1989,,,,,,14.898,4.551,0.0,0.0,0.0,13.181,,,1.38,0.07,0.0,0.019,0.089,0.0,0.0,2.634,92848.105,4.231,,,5.076,185.354,6.452,0.089,235.619,0.0,0.0,17.437,,,50.265,1.376,3651.627,378000.0,35.097,235.619,6.452,0.0,0.0,13325633536.0,0.0,0.0
8923,1990,,,,,,5.804,2.037,0.0,0.0,0.0,12.798,,,1.377,0.07,0.0,0.013,0.083,0.0,0.0,2.754,97208.265,4.981,,,5.084,183.246,5.992,0.083,215.982,0.0,0.0,19.125,,,32.736,0.908,3604.712,382000.0,37.134,215.982,5.992,0.0,0.0,13483514880.0,0.0,0.0
8924,1991,,,,,,7.471,2.774,0.0,0.0,0.0,12.173,,,1.415,0.084,0.0,0.014,0.098,0.0,0.0,2.577,103388.402,5.179,,,5.936,217.617,6.924,0.098,253.824,0.0,0.0,22.283,,,36.207,0.988,3665.803,386000.0,39.908,253.824,6.924,0.0,0.0,15486631936.0,0.0,0.0
8925,1992,,,,,,0.294,0.118,0.0,0.0,0.0,11.467,,,1.198,0.07,0.0,0.012,0.082,0.0,0.0,2.551,102366.848,5.398,,,5.843,179.028,6.826,0.082,209.13,0.0,0.0,22.933,,,30.102,0.982,3063.939,391000.0,40.025,209.13,6.826,0.0,0.0,15688559616.0,0.0,0.0
8926,1993,,,,,,1.313,0.525,0.0,0.0,0.0,11.849,,,1.067,0.067,0.0,0.015,0.082,0.0,0.0,2.428,102143.027,5.607,,,6.279,168.766,7.658,0.082,205.824,0.0,0.0,22.868,,,37.058,1.379,2687.657,397000.0,40.551,205.824,7.658,0.0,0.0,16704533504.0,0.0,0.0
8927,1994,,,,,,-3.852,-1.562,0.0,0.0,0.0,10.217,,,1.147,0.086,0.0,0.015,0.101,0.0,0.0,2.179,96986.71,5.648,,,7.498,213.93,8.813,0.101,251.443,0.0,0.0,22.842,,,37.512,1.315,2853.234,402000.0,38.989,251.443,8.813,0.0,0.0,17896392704.0,0.0,0.0
8928,1995,,,,,,-13.024,-5.078,0.0,0.0,0.0,5.746,,,1.23,0.088,0.0,0.019,0.107,0.0,0.0,1.873,83114.66,6.455,,,7.154,215.686,8.739,0.107,263.463,0.0,0.0,21.411,,,47.777,1.585,3014.706,408000.0,33.911,263.463,8.739,0.0,0.0,18101090304.0,0.0,0.0
8929,1996,,,,,,2.864,0.971,0.0,0.0,0.0,5.415,,,1.256,0.06,0.0,0.015,0.075,0.0,0.0,1.898,84256.412,7.081,,,4.777,144.928,6.007,0.075,182.242,0.0,0.0,22.177,,,37.314,1.23,3033.816,414000.0,34.882,182.242,6.007,0.0,0.0,18376615936.0,0.0,0.0
8930,1997,,,,,,-2.139,-0.746,0.0,0.0,0.0,3.436,,,1.26,0.083,0.0,0.017,0.103,0.0,0.003,1.73,81276.633,7.256,,,6.587,197.619,8.168,0.103,245.045,0.0,0.0,23.159,,,40.283,1.343,3000.0,420000.0,34.136,245.045,8.168,0.0,0.0,19736479744.0,0.238,7.143
8931,1998,,,,,,-3.451,-1.178,0.0,0.0,0.0,1.143,,,1.296,0.115,0.0,0.017,0.143,0.0,0.011,1.478,77366.466,7.326,,,8.877,269.953,11.043,0.143,335.84,0.0,0.0,24.091,,,40.066,1.317,3041.12,426000.0,32.958,335.84,11.043,0.0,0.0,22294710272.0,0.849,25.822
8932,1999,,,,,,5.69,1.875,0.0,0.0,0.0,1.156,,,1.022,0.085,0.0,0.019,0.122,0.0,0.018,1.379,80819.976,7.599,,,8.317,197.216,11.923,0.122,282.715,0.0,0.0,25.739,,,43.735,1.844,2371.248,431000.0,34.833,282.715,11.923,0.0,0.0,25252990976.0,1.761,41.763
