,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
8954,1980,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.085,,,,,,,
8955,1981,,0.0,,,,-1.14,-0.024,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.061,,,,,,,
8956,1982,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.061,,,,,,,
8957,1983,,0.0,,,,42.692,0.88,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.941,,,,,,,
8958,1984,,0.0,,,,9.973,0.293,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.235,,,,,,,
8959,1985,,0.0,,,,-18.382,-0.595,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,,,,,,,
8960,1986,,0.0,,,,40.885,1.079,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.719,,,,,,,
8961,1987,,0.0,,,,9.025,0.336,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.055,,,,,,,
8962,1988,,0.0,,,,-2.743,-0.111,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.944,,,,,,,
8963,1989,,0.0,,,,6.227,0.246,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.189,,,,,,,
8964,1990,,0.0,,,,4.759,0.199,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.389,,,,,,,
8965,1991,,0.0,,,,-1.436,-0.063,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.326,,,,,,,
8966,1992,,0.0,,,,3.161,0.137,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.462,,,,,,,
8967,1993,,0.0,,,,10.295,0.459,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.922,,,,,,,
8968,1994,,0.0,,,,6.043,0.297,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.219,,,,,,,
8969,1995,,0.0,,,,-0.583,-0.03,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.189,,,,,,,
8970,1996,,0.0,,,,14.585,0.757,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.946,,,,,,,
8971,1997,,0.0,,,,2.556,0.152,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.098,,,,,,,
8972,1998,,0.0,,,,7.198,0.439,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.537,,,,,,,
8973,1999,,0.0,,,,6.17,0.403,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.94,,,,,,,
8974,2000,,0.0,,,,-1.893,-0.131,,,,,0.0,,1.389,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,,,,0.0,,,6.808,,0.0,0.0,,,0.0,
8975,2001,,0.0,,,,1.703,0.116,,,,,0.0,,1.41,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,,,,,,0.0,,,6.924,,0.0,0.0,,,0.0,
