,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
9114,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.565,534.781,,,,,,,,,,,,,,,,,6250000.0,3.342,,,,,5914755072.0,,
9115,1981,,0.0,,,,4.299,0.144,,,,,0.0,0.0,,,,,,,,0.533,543.68,,,,,,,,,,,,,,,,,6412000.0,3.486,,,,,6536507904.0,,
9116,1982,,0.0,,,,-2.587,-0.09,,,,,0.0,0.0,,,,,,,,0.493,517.191,,,,,,,,,,,,,,,,,6566000.0,3.396,,,,,6881376256.0,,
9117,1983,,0.073,,,,-5.94,-0.202,,,,,0.073,10.856,,,,,,,,0.428,474.053,,,,,,,,,,,,,,,,,6738000.0,3.194,,,,,7455371776.0,,
9118,1984,10.0,0.007,,,,1.422,0.045,,,,,0.08,11.553,,,,,,,,0.403,465.124,,,,,,,,,,,,,,,,,6965000.0,3.24,,,,,8034624000.0,,
9119,1985,159.091,0.128,,,,11.721,0.38,,,,,0.208,28.684,,,,,,,,0.388,497.979,,,,,,,,,,,,,,,,,7268000.0,3.619,,,,,9339694080.0,,
9120,1986,8.772,0.018,,,,-2.789,-0.101,,,,,0.227,29.58,,,,,,,,0.408,458.96,,,,,,,,,,,,,,,,,7666000.0,3.518,,,,,8619864064.0,,
9121,1987,3.427,0.008,,,,4.389,0.154,,,,,0.235,28.809,,,,,,,,0.433,451.15,,,,,,,,,,,,,,,,,8141000.0,3.673,,,,,8483645952.0,,
9122,1988,43.47,0.102,,,,0.663,0.024,,,,,0.336,38.959,,,,,,,,0.457,428.062,,,,,,,,,,,,,,,,,8637000.0,3.697,,,,,8082359808.0,,
9123,1989,15.217,0.051,,,,12.147,0.449,,,,,0.388,42.716,,,,,,,,0.47,456.837,,,,,,,,,,,,,,,,,9076000.0,4.146,,,,,8818622464.0,,
9124,1990,-5.425,-0.021,,,,11.694,0.485,,,,,0.367,38.99,,,,,,,,0.541,492.46,,,,,,,,,,,,,,,,,9404000.0,4.631,,,,,8553792000.0,,
9125,1991,1.746,0.006,,,,14.469,0.67,,,,,0.373,38.861,,,,,,,,0.575,552.205,,,,,,,,,,,,,,,,,9600000.0,5.301,,,,,9212441600.0,,
9126,1992,1.961,0.007,,,,2.03,0.108,,,,,0.38,39.271,,,,,,,,0.654,558.413,,,,,,,,,,,,,,,,,9686000.0,5.409,,,,,8264430080.0,,
9127,1993,0.0,0.0,,,,-2.379,-0.129,,,,,0.38,39.174,,,,,,,,0.604,543.78,,,,,,,,,,,,,,,,,9710000.0,5.28,,,,,8741718016.0,,
9128,1994,-1.923,-0.007,,,,6.057,0.32,,,,,0.373,38.279,,,,,,,,0.545,574.584,,,,,,,,,,,,,,,,,9746000.0,5.6,,,,,10273733632.0,,
9129,1995,-3.922,-0.015,,,,4.143,0.232,,,,,0.358,36.411,,,,,,,,0.564,592.434,,,,,,,,,,,,,,,,,9844000.0,5.832,,,,,10332762112.0,,
9130,1996,8.163,0.029,,,,1.323,0.077,,,,,0.388,38.68,,,,,,,,0.591,589.554,,,,,,,,,,,,,,,,,10023000.0,5.909,,,,,10000900096.0,,
9131,1997,3.774,0.015,,,,1.078,0.064,,,,,0.402,39.194,,,,,,,,0.529,581.862,,,,,,,,,,,,,,,,,10265000.0,5.973,,,,,11290972160.0,,
9132,1998,3.636,0.015,,,,5.329,0.318,,,,,0.417,39.514,,,,,,,,0.661,596.198,,,,,,,,,,,,,,,,,10552000.0,6.291,,,,,9519059968.0,,
9133,1999,10.947,0.046,,,,-1.417,-0.089,,,,,0.463,42.62,,,,,,,,0.612,571.395,,,,,,,,,,,,,,,,,10854000.0,6.202,,,,,10127347712.0,,
9134,2000,24.447,0.113,,,,5.986,0.371,,,,,0.576,51.636,1.241,1.023,0.0,0.037,1.06,0.0,0.0,0.664,589.575,,,,82.434,91.757,85.415,1.06,95.076,0.0,0.0,,,,3.319,2.981,111.31,11149000.0,6.573,95.076,85.415,0.0,0.0,9898946560.0,0.0,0.0
9135,2001,-38.628,-0.222,,,,-2.888,-0.19,,,,,0.353,30.906,1.269,1.045,0.0,0.039,1.084,0.0,0.0,0.692,558.373,,,,82.348,91.41,85.422,1.084,94.822,0.0,0.0,,,,3.411,3.073,111.004,11432000.0,6.383,94.822,85.422,0.0,0.0,9227591680.0,0.0,0.0
9136,2002,30.228,0.107,,,,-0.642,-0.041,,,,,0.46,39.279,1.332,1.093,0.0,0.046,1.139,0.0,0.0,0.596,541.435,,,,82.057,93.307,85.511,1.139,97.234,0.0,0.0,,,,3.927,3.453,113.71,11714000.0,6.342,97.234,85.511,0.0,0.0,10640904192.0,0.0,0.0
9137,2003,29.412,0.135,,,,6.424,0.407,,,,,0.595,49.62,1.351,1.139,0.0,0.037,1.176,0.0,0.0,0.613,562.485,,,,84.308,94.917,87.047,1.176,98.0,0.0,0.0,,,,3.083,2.739,112.583,12000000.0,6.75,98.0,87.047,0.0,0.0,11015154688.0,0.0,0.0
9138,2004,-36.364,-0.217,,,,7.21,0.487,,,,,0.379,30.801,1.489,1.259,0.0,0.037,1.296,0.0,0.0,0.557,588.235,,,,84.553,102.341,87.038,1.296,105.349,0.0,0.0,,,,3.008,2.485,121.037,12302000.0,7.236,105.349,87.038,0.0,0.0,12988598272.0,0.0,0.0
9139,2005,0.193,0.001,,,,-3.399,-0.246,,,,,0.38,30.069,1.52,1.307,0.0,0.043,1.35,0.0,0.0,0.505,553.659,,,,85.987,103.517,88.816,1.35,106.922,0.0,0.0,,,,3.406,2.829,120.387,12626000.0,6.991,106.922,88.816,0.0,0.0,13853041664.0,0.0,0.0
