,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
9154,1900,,,,,,,,,,,,0.179,81.247,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2204407.0,,,,,,,,
9155,1901,-18.182,-0.033,0.0,,0.0,,,,,,,0.147,64.571,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2269407.0,,,,,,,,
9156,1902,5.555,0.008,0.0,,0.0,,,,,,,0.155,66.234,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2335345.0,,,,,,,,
9157,1903,0.0,0.0,0.0,,0.0,,,,,,,0.155,64.445,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2400157.0,,,,,,,,
9158,1904,-31.579,-0.049,0.0,,0.0,,,,,,,0.106,42.934,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2465005.0,,,,,,,,
9159,1905,15.385,0.016,0.0,,0.0,,,,,,,0.122,48.268,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2529939.0,,,,,,,,
9160,1906,-6.667,-0.008,0.0,,0.0,,,,,,,0.114,43.893,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2596633.0,,,,,,,,
9161,1907,135.715,0.155,0.0,,0.0,,,,,,,0.269,100.944,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2661413.0,,,,,,,,
9162,1908,3.03,0.008,0.0,,0.0,,,,,,,0.277,101.277,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2733037.0,,,,,,,,
9163,1909,85.294,0.236,0.0,,0.0,,,,,,,0.513,182.804,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2805644.0,,,,,,,,
9164,1910,39.683,0.204,0.0,,0.0,,,,,,,0.716,249.129,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2875652.0,,,,,,,,
9165,1911,-100.0,-0.716,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2946511.0,,,,,,4061822976.0,,
9166,1912,,0.0,0.0,,0.07,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.07,23.186,,,,3009598.0,,,,,,4250125056.0,,
9167,1913,,0.0,0.0,233.333,0.163,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.233,75.814,,,,3068032.0,,,,,,4746275840.0,,
9168,1914,,0.016,0.0,130.0,0.302,,,,,,,0.016,5.205,,,,,,,,,,,0.0,0.0,,,,,,,,,0.535,171.023,,,,3128114.0,,,,,,4948656128.0,,
9169,1915,500.0,0.081,0.0,21.739,0.116,,,,,,,0.098,30.626,,,,,,,,,,,0.0,0.0,,,,,,,,,0.651,204.173,,,,3189844.0,,,,,,5140820992.0,,
9170,1916,750.0,0.733,0.0,62.5,0.407,,,,,,,0.83,255.223,,,,,,,,,,,0.0,0.0,,,,,,,,,1.058,325.285,,,,3253552.0,,,,,,5570512896.0,,
9171,1917,51.961,0.431,0.0,-14.286,-0.151,,,,,,,1.262,380.24,,,,,,,,,,,0.0,0.0,,,,,,,,,0.907,273.352,,,,3318575.0,,,,,,5899815936.0,,
9172,1918,9.032,0.114,0.0,-6.41,-0.058,,,,,,,1.376,406.374,,,,,,,,,,,0.0,0.0,,,,,,,,,0.849,250.763,,,,3385625.0,,,,,,5643831808.0,,
9173,1919,13.018,0.179,0.0,17.808,0.151,,,,,,,1.555,450.109,,,,,,,,,,,0.0,0.0,,,,,,,,,1.0,289.524,,,,3454571.0,,,,,,6873067008.0,,
9174,1920,29.843,0.464,0.0,70.93,0.709,,,,,,,2.019,572.675,,,,,,,,,,,0.0,0.0,,,,,,,,,1.71,484.927,,,,3525505.0,,,,,,6731955200.0,,
9175,1921,20.565,0.415,0.0,38.095,0.651,,,,,,,2.434,676.14,,,,,,,,,,,0.0,0.0,,,,,,,,,2.361,655.788,,,,3600086.0,,,,,,6649884160.0,,
9176,1922,-5.686,-0.138,0.0,101.97,2.407,,,,,,,2.296,624.247,,,,,,,,,,,0.0,0.0,,,,,,,,,4.768,1296.563,,,,3677650.0,,,,,,7285060096.0,,
9177,1923,12.766,0.293,0.0,38.293,1.826,,,,,,,2.589,688.73,,,,,,,,,,,0.0,0.0,,,,,,,,,6.594,1754.313,,,,3758859.0,,,,,,7172541952.0,,
9178,1924,17.296,0.448,0.0,6.173,0.407,,,,,,,3.037,790.356,,,,,,,,,,,0.0,0.0,,,,,,,,,7.001,1822.27,,,,3842058.0,,,,,,7003618816.0,,
9179,1925,9.383,0.285,0.0,1.827,0.128,,,,,,,3.322,845.623,,,,,,,,,,,0.0,0.0,,,,,,,,,7.129,1815.01,,,,3927909.0,,,,,,8111245824.0,,
9180,1926,12.01,0.399,0.0,16.313,1.163,,,,,,,3.72,926.462,,,,,,,,,,,0.0,0.0,,,,,,,,,8.292,2064.92,,,,4015748.0,,,,,,9089538048.0,,
9181,1927,-1.532,-0.057,0.0,-0.14,-0.012,,,,,,,3.663,892.239,,,,,,,,,,,0.0,0.0,,,,,,,,,8.281,2016.744,,,,4105908.0,,,,,,8833920000.0,,
9182,1928,25.778,0.944,0.0,5.478,0.454,,,,,,,4.608,1097.606,,,,,,,,,,,0.0,0.0,,,,,,,,,8.734,2080.519,,,,4198056.0,,,,,,10029095936.0,,
9183,1929,18.728,0.863,0.0,1.198,0.105,,,,,,,5.471,1274.484,,,,,,,,,,,0.0,0.0,,,,,,,,,8.839,2059.116,,,,4292525.0,,,,,,12417131520.0,,
9184,1930,-14.435,-0.79,0.0,-8.026,-0.709,,,,,,,4.681,1066.472,,,,,,,,,,,0.0,0.0,,,,,,,,,8.129,1852.084,,,,4389314.0,,,,,,12347574272.0,,
9185,1931,-28.87,-1.351,0.0,-24.32,-1.977,,,,,,,3.33,742.439,,,,,,,,,,,0.0,0.0,,,,,,,,,6.152,1371.813,,,,4484777.0,,,,,,11950424064.0,,
