,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
9274,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,395.44,,,,,,,,,,,,,,,,,158000.0,0.062,,,,,,,
9275,1981,,0.0,,,,-2.817,-0.002,,,,,0.0,0.0,,,,,,,,,370.241,,,,,,,,,,,,,,,,,164000.0,0.061,,,,,,,
9276,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,357.174,,,,,,,,,,,,,,,,,170000.0,0.061,,,,,,,
9277,1983,,0.0,,,,0.966,0.001,,,,,0.0,0.0,,,,,,,,,348.331,,,,,,,,,,,,,,,,,176000.0,0.061,,,,,,,
9278,1984,,0.0,,,,295.215,0.181,,,,,0.0,0.0,,,,,,,,,1323.997,,,,,,,,,,,,,,,,,183000.0,0.242,,,,,,,
9279,1985,,0.0,,,,9.443,0.023,,,,,0.0,0.0,,,,,,,,,1395.638,,,,,,,,,,,,,,,,,190000.0,0.265,,,,,,,
9280,1986,,0.0,,,,7.995,0.021,,,,,0.0,0.0,,,,,,,,,1461.074,,,,,,,,,,,,,,,,,196000.0,0.286,,,,,,,
9281,1987,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,1410.692,,,,,,,,,,,,,,,,,203000.0,0.286,,,,,,,
9282,1988,,0.0,,,,22.076,0.063,,,,,0.0,0.0,,,,,,,,,1664.706,,,,,,,,,,,,,,,,,210000.0,0.35,,,,,,,
9283,1989,,0.0,,,,-0.244,-0.001,,,,,0.0,0.0,,,,,,,,,1607.081,,,,,,,,,,,,,,,,,217000.0,0.349,,,,,,,
