,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
9314,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.463,281.682,,,,,,,,,,,,,,,,,7090000.0,1.997,,,,,4311604224.0,,
9315,1981,,0.0,,,,29.232,0.584,,,,,0.0,0.0,,,,,,,,0.599,356.729,,,,,,,,,,,,,,,,,7235000.0,2.581,,,,,4308116992.0,,
9316,1982,,0.0,,,,-20.184,-0.521,,,,,0.0,0.0,,,,,,,,0.491,278.791,,,,,,,,,,,,,,,,,7389000.0,2.06,,,,,4193400064.0,,
9317,1983,,0.0,,,,2.358,0.049,,,,,0.0,0.0,,,,,,,,0.46,279.464,,,,,,,,,,,,,,,,,7545000.0,2.109,,,,,4585305088.0,,
9318,1984,,0.0,,,,1.491,0.031,,,,,0.0,0.0,,,,,,,,0.476,278.101,,,,,,,,,,,,,,,,,7695000.0,2.14,,,,,4498926080.0,,
9319,1985,,0.0,,,,13.707,0.293,,,,,0.0,0.0,,,,,,,,0.446,310.689,,,,,,,,,,,,,,,,,7832000.0,2.433,,,,,5461861888.0,,
9320,1986,,0.0,,,,-20.151,-0.49,,,,,0.0,0.0,,,,,,,,0.359,244.307,,,,,,,,,,,,,,,,,7953000.0,1.943,,,,,5410668032.0,,
9321,1987,,0.0,,,,13.819,0.269,,,,,0.0,0.0,,,,,,,,0.406,274.309,,,,,,,,,,,,,,,,,8062000.0,2.211,,,,,5449961984.0,,
9322,1988,,0.0,,,,-36.395,-0.805,,,,,0.0,0.0,,,,,,,,0.288,172.125,,,,,,,,,,,,,,,,,8172000.0,1.407,,,,,4876178944.0,,
9323,1989,,0.0,,,,71.066,1.0,,,,,0.0,0.0,,,,,,,,0.444,290.011,,,,,,,,,,,,,,,,,8297000.0,2.406,,,,,5414823936.0,,
9324,1990,,0.0,,,,1.698,0.041,,,,,0.0,0.0,,,,,,,,0.436,289.596,,,,,,,,,,,,,,,,,8450000.0,2.447,,,,,5610990080.0,,
9325,1991,,0.0,,,,0.127,0.003,,,,,0.0,0.0,,,,,,,,0.418,283.72,,,,,,,,,,,,,,,,,8636000.0,2.45,,,,,5861466112.0,,
9326,1992,,0.0,,,,7.869,0.193,,,,,0.0,0.0,,,,,,,,0.456,298.645,,,,,,,,,,,,,,,,,8850000.0,2.643,,,,,5795970048.0,,
9327,1993,,0.0,,,,0.871,0.023,,,,,0.0,0.0,,,,,,,,0.398,293.389,,,,,,,,,,,,,,,,,9087000.0,2.666,,,,,6704609792.0,,
9328,1994,,0.0,,,,0.214,0.006,,,,,0.0,0.0,,,,,,,,0.393,286.207,,,,,,,,,,,,,,,,,9335000.0,2.672,,,,,6792037888.0,,
9329,1995,,0.0,,,,0.321,0.009,,,,,0.0,0.0,,,,,,,,0.355,279.607,,,,,,,,,,,,,,,,,9586000.0,2.68,,,,,7545745920.0,,
9330,1996,,0.0,,,,3.673,0.098,,,,,0.0,0.0,,,,,,,,0.322,282.451,,,,,,,,,,,,,,,,,9838000.0,2.779,,,,,8619071488.0,,
9331,1997,,0.0,,,,1.535,0.043,,,,,0.0,0.0,,,,,,,,0.301,279.514,,,,,,,,,,,,,,,,,10094000.0,2.821,,,,,9368450048.0,,
9332,1998,,0.0,,,,2.297,0.065,,,,,0.0,0.0,,,,,,,,0.304,278.567,,,,,,,,,,,,,,,,,10361000.0,2.886,,,,,9485876224.0,,
9333,1999,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.297,271.186,,,,,,,,,,,,,,,,,10643000.0,2.886,,,,,9708274688.0,,
9334,2000,,0.0,,,,51.594,1.489,,,,,0.0,0.0,0.399,0.233,0.0,0.0,0.233,0.0,0.0,0.448,399.723,,,,58.396,21.286,58.396,0.233,21.286,0.0,0.0,,,,0.0,0.0,36.452,10946000.0,4.375,21.286,58.396,0.0,0.0,9765090304.0,0.0,0.0
9335,2001,,0.0,,,,0.978,0.043,,,,,0.0,0.0,0.402,0.234,0.0,0.0,0.234,0.0,0.0,0.384,391.96,,,,58.209,20.759,58.209,0.234,20.759,0.0,0.0,,,,0.0,0.0,35.664,11272000.0,4.418,20.759,58.209,0.0,0.0,11500147712.0,0.0,0.0
9336,2002,,0.0,,,,1.534,0.068,,,,,0.0,0.0,0.404,0.236,0.0,0.0,0.236,0.0,0.0,0.39,386.155,,,,58.416,20.315,58.416,0.236,20.315,0.0,0.0,,,,0.0,0.0,34.777,11617000.0,4.486,20.315,58.416,0.0,0.0,11494418432.0,0.0,0.0
9337,2003,,0.0,,,,0.45,0.02,,,,,0.0,0.0,0.434,0.234,0.0,0.0,0.234,0.0,0.0,0.375,376.046,,,,53.917,19.528,53.917,0.234,19.528,0.0,0.0,,,,0.0,0.0,36.218,11983000.0,4.506,19.528,53.917,0.0,0.0,12020191232.0,0.0,0.0
9338,2004,,0.0,,,,3.991,0.18,,,,,0.0,0.0,0.45,0.248,0.0,0.0,0.248,0.0,0.0,0.369,378.852,,,,55.111,20.05,55.111,0.248,20.05,0.0,0.0,,,,0.0,0.0,36.381,12369000.0,4.686,20.05,55.111,0.0,0.0,12708559872.0,0.0,0.0
9339,2005,,0.0,,,,14.336,0.672,,,,,0.0,0.0,0.782,0.447,0.0,0.0,0.447,0.0,0.0,0.394,419.364,,,,57.161,34.987,57.161,0.447,34.987,0.0,0.0,,,,0.0,0.0,61.209,12776000.0,5.358,34.987,57.161,0.0,0.0,13582685184.0,0.0,0.0
9340,2006,,0.0,,,,15.561,0.834,,,,,0.0,0.0,0.837,0.479,0.0,0.0,0.479,0.0,0.0,0.416,468.947,,,,57.228,36.28,57.228,0.479,36.28,0.0,0.0,,,,0.0,0.0,63.395,13203000.0,6.192,36.28,57.228,0.0,0.0,14892894208.0,0.0,0.0
9341,2007,,0.0,,,,15.288,0.947,,,,,0.0,0.0,0.823,0.471,0.0,0.0,0.471,0.0,0.0,0.446,522.896,,,,57.23,34.503,57.23,0.471,34.503,0.0,0.0,,,,0.0,0.0,60.289,13651000.0,7.138,34.503,57.23,0.0,0.0,16007304192.0,0.0,0.0
9342,2008,,0.0,,,,19.727,1.408,,,,,0.0,0.0,1.0,0.572,0.0,0.0,0.572,0.0,0.0,0.477,605.509,,,,57.2,40.527,57.2,0.572,40.527,0.0,0.0,,,,0.0,0.0,70.852,14114000.0,8.546,40.527,57.2,0.0,0.0,17907955712.0,0.0,0.0
9343,2009,,0.0,,,,38.53,3.293,,,,,0.0,0.0,1.123,0.672,0.0,0.0,0.672,0.0,0.0,0.599,811.947,,,,59.84,46.087,59.84,0.672,46.087,0.0,0.0,,,,0.0,0.0,77.018,14581000.0,11.839,46.087,59.84,0.0,0.0,19762229248.0,0.0,0.0
9344,2010,,0.0,,,,1.317,0.156,,,,,0.0,0.0,1.709,1.097,0.0,0.052,1.159,0.01,0.0,0.553,797.054,,,,64.188,72.89,67.816,1.159,77.01,0.0,0.0,,,,3.455,3.043,113.557,15049000.0,11.995,77.01,67.816,0.585,0.664,21704421376.0,0.0,0.0
9345,2011,,0.0,,,,9.139,1.096,,,,,0.0,0.0,1.891,1.145,0.0,0.052,1.213,0.016,0.0,0.623,843.766,,,,60.567,73.827,64.163,1.213,78.21,0.0,0.0,,,,3.352,2.75,121.893,15515000.0,13.091,78.21,64.163,0.846,1.031,21012000768.0,0.0,0.0
9346,2012,,0.0,,,,6.25,0.818,,,,,0.0,0.0,2.251,1.239,0.0,0.052,1.317,0.026,0.0,0.685,870.469,,,,55.066,77.569,58.531,1.317,82.451,0.0,0.0,,,,3.254,2.31,140.866,15979000.0,13.909,82.451,58.531,1.155,1.627,20308795392.0,0.0,0.0
9347,2013,,0.0,,,,3.482,0.484,,,,,0.0,0.0,2.277,1.114,0.0,0.052,1.192,0.026,0.0,0.675,874.985,,,,48.903,67.705,52.328,1.192,72.447,0.0,0.0,,,,3.161,2.283,138.447,16450000.0,14.394,72.447,52.328,1.142,1.581,21323548672.0,0.0,0.0
9348,2014,,0.0,,,,1.998,0.288,,,,,0.0,0.0,2.35,1.382,0.0,0.052,1.46,0.026,0.0,0.64,866.956,,,,58.805,81.613,62.124,1.46,86.219,0.0,0.0,,,,3.071,2.213,138.787,16934000.0,14.681,86.219,62.124,1.106,1.535,22955268096.0,0.0,0.0
9349,2015,,0.0,,,,6.915,1.015,,,,,0.0,0.0,2.318,1.124,0.0,0.052,1.204,0.028,0.0,0.645,900.068,,,,48.484,64.433,51.936,1.204,69.021,0.0,0.0,,,,2.982,2.244,132.895,17439000.0,15.696,69.021,51.936,1.208,1.606,24329658368.0,0.0,0.0
9350,2016,,0.0,,,,7.331,1.151,,,,,0.0,0.0,2.77,1.483,0.0,0.052,1.563,0.028,0.0,0.657,937.768,,,,53.539,82.551,56.427,1.563,87.004,0.0,0.0,,,,2.895,1.877,154.188,17965000.0,16.847,87.004,56.427,1.011,1.559,25631920128.0,0.0,0.0
9351,2017,,,,,,,,,,,,,,3.294,1.483,0.0,0.054,1.569,0.032,0.0,,,,,,45.023,80.111,47.634,1.569,84.757,0.0,0.0,,,,2.917,1.639,177.934,18512000.0,,84.757,47.634,0.971,1.729,,0.0,0.0
9352,2018,,,,,,,,,,,,,,3.53,1.363,0.0,0.052,1.447,0.032,0.0,,,,,,38.615,71.456,40.995,1.447,75.859,0.0,0.0,,,,2.726,1.473,185.044,19078000.0,,75.859,40.995,0.906,1.677,,0.0,0.0
9353,2019,,,,,,,,,,,,,,3.933,1.443,0.0,0.052,1.527,0.032,0.0,,,,,,36.69,73.41,38.826,1.527,77.683,0.0,0.0,,,,2.645,1.322,200.08,19658000.0,,77.683,38.826,0.814,1.628,,0.0,0.0
