,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
9354,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,1.718,16837.73,,0.0,0.0,,,,,,,,,0.0,0.0,,,,331000.0,5.573,,,,,3243603968.0,,
9355,1981,,0.0,0.0,,0.0,10.526,0.587,,,,,0.0,0.0,,,,,,,,1.836,18442.965,,0.0,0.0,,,,,,,,,0.0,0.0,,,,334000.0,6.16,,,,,3354259968.0,,
9356,1982,,0.0,0.0,,0.0,3.024,0.186,,,,,0.0,0.0,,,,,,,,1.853,18831.486,,0.0,0.0,,,,,,,,,0.0,0.0,,,,337000.0,6.346,,,,,3425400064.0,,
9357,1983,,0.0,0.0,,0.0,-28.931,-1.836,,,,,0.0,0.0,,,,,,,,1.323,13265.288,,0.0,0.0,,,,,,,,,0.0,0.0,,,,340000.0,4.51,,,,,3408699904.0,,
9358,1984,,0.0,0.0,,0.0,46.249,2.086,,,,,0.0,0.0,,,,,,,,1.92,19230.726,,0.0,0.0,,,,,,,,,0.0,0.0,,,,343000.0,6.596,,,,,3435237120.0,,
9359,1985,,0.0,0.0,,0.0,-19.599,-1.293,,,,,0.0,0.0,,,,,,,,1.508,15327.703,,0.0,0.0,,,,,,,,,0.0,0.0,,,,346000.0,5.303,,,,,3517885952.0,,
9360,1986,,0.0,0.0,,0.0,14.16,0.751,,,,,0.0,0.0,,,,,,,,1.653,17347.673,,0.0,0.0,,,,,,,,,0.0,0.0,,,,349000.0,6.054,,,,,3662585088.0,,
9361,1987,,0.0,0.0,,0.0,13.828,0.837,,,,,0.0,0.0,,,,,,,,1.83,19522.761,,0.0,0.0,,,,,,,,,0.0,0.0,,,,353000.0,6.892,,,,,3766757120.0,,
9362,1988,,0.0,0.0,,0.0,10.737,0.74,,,,,0.0,0.0,,,,,,,,1.841,21436.681,,0.0,0.0,,,,,,,,,0.0,0.0,,,,356000.0,7.631,,,,,4144800000.0,,
9363,1989,,0.0,0.0,,0.0,11.329,0.865,,,,,0.0,0.0,,,,,,,,1.878,23665.858,,0.0,0.0,,,,,,,,,0.0,0.0,,,,359000.0,8.496,,,,,4524474880.0,,
