,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
9395,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,8123.012,,,,,,,,,,,,,,,,,325000.0,2.64,,,,,,,
9396,1981,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,8073.33,,,,,,,,,,,,,,,,,327000.0,2.64,,,,,,,
9397,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,8024.252,,,,,,,,,,,,,,,,,329000.0,2.64,,,,,,,
9398,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,7927.864,,,,,,,,,,,,,,,,,333000.0,2.64,,,,,,,
9399,1984,,0.0,,,,-11.111,-0.293,,,,,0.0,0.0,,,,,,,,,6984.071,,,,,,,,,,,,,,,,,336000.0,2.347,,,,,,,
9400,1985,,0.0,,,,25.0,0.587,,,,,0.0,0.0,,,,,,,,,8627.381,,,,,,,,,,,,,,,,,340000.0,2.933,,,,,,,
9401,1986,,0.0,,,,3.729,0.109,,,,,0.0,0.0,,,,,,,,,8845.067,,,,,,,,,,,,,,,,,344000.0,3.043,,,,,,,
9402,1987,,0.0,,,,14.258,0.434,,,,,0.0,0.0,,,,,,,,,9990.04,,,,,,,,,,,,,,,,,348000.0,3.477,,,,,,,
9403,1988,,0.0,,,,21.955,0.763,,,,,0.0,0.0,,,,,,,,,12044.872,,,,,,,,,,,,,,,,,352000.0,4.24,,,,,,,
9404,1989,,0.0,,,,38.131,1.617,,,,,0.0,0.0,,,,,,,,,16497.152,,,,,,,,,,,,,,,,,355000.0,5.856,,,,,,,
9405,1990,,0.0,,,,9.25,0.542,,,,,0.0,0.0,,,,,,,,,17872.034,,,,,,,,,,,,,,,,,358000.0,6.398,,,,,,,
9406,1991,,0.0,,,,-16.436,-1.052,,,,,0.0,0.0,,,,,,,,,14810.493,,,,,,,,,,,,,,,,,361000.0,5.347,,,,,,,
9407,1992,,0.0,,,,10.077,0.539,,,,,0.0,0.0,,,,,,,,,16213.123,,,,,,,,,,,,,,,,,363000.0,5.885,,,,,,,
9408,1993,,0.0,,,,36.246,2.133,,,,,0.0,0.0,,,,,,,,,22029.084,,,,,,,,,,,,,,,,,364000.0,8.019,,,,,,,
9409,1994,,0.0,,,,-1.22,-0.098,,,,,0.0,0.0,,,,,,,,,21641.335,,,,,,,,,,,,,,,,,366000.0,7.921,,,,,,,
9410,1995,,0.0,,,,1.42,0.112,,,,,0.0,0.0,,,,,,,,,21770.222,,,,,,,,,,,,,,,,,369000.0,8.033,,,,,,,
9411,1996,,0.0,,,,0.274,0.022,,,,,0.0,0.0,,,,,,,,,21653.818,,,,,,,,,,,,,,,,,372000.0,8.055,,,,,,,
9412,1997,,0.0,,,,1.272,0.102,,,,,0.0,0.0,,,,,,,,,21695.946,,,,,,,,,,,,,,,,,376000.0,8.158,,,,,,,
9413,1998,,0.0,,,,-0.765,-0.062,,,,,0.0,0.0,,,,,,,,,21303.446,,,,,,,,,,,,,,,,,380000.0,8.095,,,,,,,
9414,1999,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,21081.535,,,,,,,,,,,,,,,,,384000.0,8.095,,,,,,,
9415,2000,,0.0,,,,16.327,1.322,,,,,0.0,0.0,1.048,0.0,0.0,0.0,0.0,0.0,0.0,,24333.383,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2708.01,387000.0,9.417,0.0,0.0,0.0,0.0,,0.0,0.0
9416,2001,,0.0,,,,0.362,0.034,,,,,0.0,0.0,1.203,0.0,0.0,0.0,0.0,0.0,0.0,,24233.514,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3084.615,390000.0,9.451,0.0,0.0,0.0,0.0,,0.0,0.0
9417,2002,,0.0,,,,3.813,0.36,,,,,0.0,0.0,1.249,0.0,0.0,0.015,0.015,0.0,0.0,,24965.526,,,,0.0,0.0,1.201,0.015,38.168,0.0,0.0,,,,38.168,1.201,3178.117,393000.0,9.811,38.168,1.201,0.0,0.0,,0.0,0.0
