,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
9435,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.91,1789.727,,,,,,,,,,,,,,,,,1541000.0,2.758,,,,,3029744896.0,,
9436,1981,,0.0,,,,0.518,0.014,,,,,0.0,0.0,,,,,,,,0.891,1747.954,,,,,,,,,,,,,,,,,1586000.0,2.772,,,,,3110237952.0,,
9437,1982,,0.0,,,,1.104,0.031,,,,,0.0,0.0,,,,,,,,0.962,1715.344,,,,,,,,,,,,,,,,,1634000.0,2.803,,,,,2914496000.0,,
9438,1983,,0.0,,,,-10.363,-0.29,,,,,0.0,0.0,,,,,,,,0.845,1493.697,,,,,,,,,,,,,,,,,1682000.0,2.512,,,,,2974640128.0,,
9439,1984,,0.0,,,,58.036,1.458,,,,,0.0,0.0,,,,,,,,1.352,2293.75,,,,,,,,,,,,,,,,,1731000.0,3.97,,,,,2936954880.0,,
9440,1985,,0.0,,,,-7.748,-0.308,,,,,0.0,0.0,,,,,,,,1.203,2057.789,,,,,,,,,,,,,,,,,1780000.0,3.663,,,,,3044540928.0,,
9441,1986,,0.0,,,,-41.023,-1.503,,,,,0.0,0.0,,,,,,,,0.668,1180.467,,,,,,,,,,,,,,,,,1830000.0,2.16,,,,,3233412096.0,,
9442,1987,,0.0,,,,38.678,0.836,,,,,0.0,0.0,,,,,,,,0.906,1593.513,,,,,,,,,,,,,,,,,1880000.0,2.996,,,,,3304954880.0,,
9443,1988,,0.0,,,,29.09,0.871,,,,,0.0,0.0,,,,,,,,1.145,2003.773,,,,,,,,,,,,,,,,,1930000.0,3.867,,,,,3376273920.0,,
9444,1989,,0.0,,,,14.798,0.572,,,,,0.0,0.0,,,,,,,,1.285,2239.936,,,,,,,,,,,,,,,,,1982000.0,4.44,,,,,3455152128.0,,
9445,1990,,0.0,,,,-10.113,-0.449,,,,,0.0,0.0,,,,,,,,1.188,1961.933,,,,,,,,,,,,,,,,,2034000.0,3.991,,,,,3359124992.0,,
9446,1991,,0.0,,,,4.694,0.187,,,,,0.0,0.0,,,,,,,,1.186,2000.912,,,,,,,,,,,,,,,,,2088000.0,4.178,,,,,3523778048.0,,
9447,1992,,0.0,,,,223.671,9.345,,,,,0.0,0.0,,,,,,,,3.822,6310.159,,,,,,,,,,,,,,,,,2143000.0,13.523,,,,,3538476032.0,,
9448,1993,,0.0,,,,2.453,0.332,,,,,0.0,0.0,,,,,,,,3.528,6300.294,,,,,,,,,,,,,,,,,2199000.0,13.854,,,,,3926507008.0,,
9449,1994,,0.0,,,,-0.241,-0.033,,,,,0.0,0.0,,,,,,,,3.32,6126.308,,,,,,,,,,,,,,,,,2256000.0,13.821,,,,,4162981120.0,,
9450,1995,,0.0,,,,1.274,0.176,,,,,0.0,0.0,,,,,,,,3.579,6048.817,,,,,,,,,,,,,,,,,2314000.0,13.997,,,,,3911249920.0,,
9451,1996,,0.0,,,,1.137,0.159,,,,,0.0,0.0,,,,,,,,3.216,5965.492,,,,,,,,,,,,,,,,,2373000.0,14.156,,,,,4401198080.0,,
9452,1997,,0.0,,,,0.105,0.015,,,,,0.0,0.0,,,,,,,,3.356,5822.113,,,,,,,,,,,,,,,,,2434000.0,14.171,,,,,4222560000.0,,
9453,1998,,0.0,,,,0.382,0.054,,,,,0.0,0.0,,,,,,,,3.239,5699.163,,,,,,,,,,,,,,,,,2496000.0,14.225,,,,,4391900160.0,,
9454,1999,,0.0,,,,-0.013,-0.002,,,,,0.0,0.0,,,,,,,,2.985,5551.645,,,,,,,,,,,,,,,,,2562000.0,14.223,,,,,4764335104.0,,
9455,2000,,0.0,,,,-64.536,-9.179,,,,,0.0,0.0,0.23,0.032,0.0,0.0,0.032,0.0,0.0,1.037,1917.923,,,,13.934,12.167,13.934,0.032,12.167,0.0,0.0,,,,0.0,0.0,87.322,2630000.0,5.044,12.167,13.934,0.0,0.0,4864444928.0,0.0,0.0
9456,2001,,0.0,,,,4.349,0.219,,,,,0.0,0.0,0.278,0.034,0.0,0.0,0.034,0.0,0.0,1.058,1948.0,,,,12.23,12.583,12.23,0.034,12.583,0.0,0.0,,,,0.0,0.0,102.887,2702000.0,5.263,12.583,12.23,0.0,0.0,4972908032.0,0.0,0.0
9457,2002,,0.0,,,,7.372,0.388,,,,,0.0,0.0,0.501,0.034,0.0,0.0,0.034,0.0,0.0,1.044,2034.392,,,,6.786,12.239,6.786,0.034,12.239,0.0,0.0,,,,0.0,0.0,180.346,2778000.0,5.652,12.239,6.786,0.0,0.0,5411392000.0,0.0,0.0
9458,2003,,0.0,,,,3.447,0.195,,,,,0.0,0.0,0.475,0.041,0.0,0.0,0.041,0.0,0.0,0.94,2046.33,,,,8.632,14.351,8.632,0.041,14.351,0.0,0.0,,,,0.0,0.0,166.258,2857000.0,5.846,14.351,8.632,0.0,0.0,6218496000.0,0.0,0.0
9459,2004,,0.0,,,,7.799,0.456,,,,,0.0,0.0,0.518,0.044,0.0,0.0,0.044,0.0,0.0,0.965,2144.385,,,,8.494,14.971,8.494,0.044,14.971,0.0,0.0,,,,0.0,0.0,176.25,2939000.0,6.302,14.971,8.494,0.0,0.0,6529712128.0,0.0,0.0
9460,2005,,0.0,,,,3.389,0.214,,,,,0.0,0.0,0.499,0.049,0.0,0.0,0.049,0.0,0.0,0.867,2154.736,,,,9.82,16.204,9.82,0.049,16.204,0.0,0.0,,,,0.0,0.0,165.013,3024000.0,6.516,16.204,9.82,0.0,0.0,7515023872.0,0.0,0.0
