,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
9475,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,0.724,4190.05,,0.0,0.0,,,,,,,,,0.0,0.0,,,,966000.0,4.048,,,,,5587343872.0,,
9476,1981,,0.0,0.0,,0.0,-16.118,-0.652,,,,,0.0,0.0,,,,,,,,0.589,3471.587,,0.0,0.0,,,,,,,,,0.0,0.0,,,,978000.0,3.395,,,,,5769247232.0,,
9477,1982,,0.0,0.0,,0.0,2.861,0.097,,,,,0.0,0.0,,,,,,,,0.586,3531.198,,0.0,0.0,,,,,,,,,0.0,0.0,,,,989000.0,3.492,,,,,5962911744.0,,
9478,1983,,0.0,0.0,,0.0,3.654,0.128,,,,,0.0,0.0,,,,,,,,0.596,3623.595,,0.0,0.0,,,,,,,,,0.0,0.0,,,,999000.0,3.62,,,,,6070115840.0,,
9479,1984,,0.0,0.0,,0.0,7.582,0.274,,,,,0.0,0.0,,,,,,,,0.555,3863.541,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1008000.0,3.894,,,,,7013159936.0,,
9480,1985,,0.0,0.0,,0.0,5.34,0.208,,,,,0.0,0.0,,,,,,,,0.597,4037.8,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1016000.0,4.102,,,,,6869287936.0,,
9481,1986,,0.0,0.0,,0.0,26.746,1.097,,,,,0.0,0.0,,,,,,,,0.689,5082.739,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1023000.0,5.2,,,,,7549632000.0,,
9482,1987,,0.0,0.0,,0.0,-11.766,-0.612,,,,,0.0,0.0,,,,,,,,0.489,4454.203,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1030000.0,4.588,,,,,9372692480.0,,
9483,1988,,0.0,0.0,,0.0,34.064,1.563,,,,,0.0,0.0,,,,,,,,0.645,5931.18,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1037000.0,6.151,,,,,9537715200.0,,
9484,1989,,0.0,0.0,,0.0,16.144,0.993,,,,,0.0,0.0,,,,,,,,0.712,6829.444,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1046000.0,7.144,,,,,10027718656.0,,
9485,1990,,0.0,0.0,,0.0,11.09,0.792,,,,,0.0,0.0,,,,,,,,0.723,7515.012,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1056000.0,7.936,,,,,10981080064.0,,
9486,1991,,0.0,0.0,,0.0,1.31,0.104,,,,,0.0,0.0,,,,,,,,0.671,7527.919,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1068000.0,8.04,,,,,11982816256.0,,
9487,1992,,0.0,0.0,,0.0,19.514,1.569,,,,,0.0,0.0,,,,,,,,0.795,8872.292,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1083000.0,9.609,,,,,12084729856.0,,
9488,1993,,0.0,0.0,,0.0,0.775,0.074,,,,,0.0,0.0,,,,,,,,0.742,8810.867,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1099000.0,9.683,,,,,13046228992.0,,
