,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
9515,1900,,,,,,,,,,,,3.069,224.634,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,13662641.0,,,,,,18696017920.0,,
9516,1901,30.492,0.936,0.0,,0.023,,,,,,,4.005,289.475,,,,,,,,,,,0.0,0.0,,,,,,,,,0.023,1.681,,,,13835183.0,,,,,,20316135424.0,,
9517,1902,8.128,0.326,0.0,150.0,0.035,,,,,,,4.33,308.96,,,,,,,,,,,0.0,0.0,,,,,,,,,0.058,4.149,,,,14016181.0,,,,,,18853824512.0,,
9518,1903,8.188,0.355,0.0,100.0,0.058,,,,,,,4.685,330.325,,,,,,,,,,,0.0,0.0,,,,,,,,,0.116,8.2,,,,14183061.0,,,,,,20984115200.0,,
9519,1904,8.685,0.407,0.0,90.0,0.105,,,,,,,5.092,354.939,,,,,,,,,,,0.0,0.0,,,,,,,,,0.221,15.403,,,,14345848.0,,,,,,21354622976.0,,
9520,1905,-3.653,-0.186,0.0,89.474,0.198,,,,,,,4.906,338.24,,,,,,,,,,,0.0,0.0,,,,,,,,,0.419,28.866,,,,14504203.0,,,,,,23598409728.0,,
9521,1906,6.161,0.302,0.0,100.0,0.419,,,,,,,5.208,355.595,,,,,,,,,,,0.0,0.0,,,,,,,,,0.837,57.172,,,,14646345.0,,,,,,23317514240.0,,
9522,1907,5.469,0.285,0.0,113.889,0.954,,,,,,,5.493,370.589,,,,,,,,,,,0.0,0.0,,,,,,,,,1.791,120.833,,,,14822285.0,,,,,,24699707392.0,,
9523,1908,14.603,0.802,0.0,263.636,4.722,,,,,,,6.295,420.981,,,,,,,,,,,0.0,0.0,,,,,,,,,6.513,435.538,,,,14953485.0,,,,,,24657432576.0,,
9524,1909,20.222,1.273,0.0,-28.571,-1.861,,,,,,,7.568,502.824,,,,,,,,,,,0.0,0.0,,,,,,,,,4.652,309.079,,,,15051192.0,,,,,,25389920256.0,,
