,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
9636,1965,,,,,,,,,,,2.116,,,,,,,,,,,,0.108,,,,,,,,,,23.877,,,,,,,37.031,,,,,,,
9637,1966,,,,,,3.048,1.129,,,,2.335,,,,,,,,,,,,0.108,,,,,,,,,,24.347,,,,,,,38.16,,,,,,,
9638,1967,,,,,,-0.425,-0.162,,,,2.229,,,,,,,,,,,,0.165,,,,,,,,,,24.921,,,,,,,37.998,,,,,,,
9639,1968,,,,,,3.757,1.427,,,,2.441,,,,,,,,,,,,0.244,,,,,,,,,,25.597,,,,,,,39.425,,,,,,,
9640,1969,,,,,,4.988,1.966,,,,2.621,,,,,,,,,,,,0.234,,,,,,,,,,26.425,,,,,,,41.392,,,,,,,
9641,1970,,,,,,4.879,2.02,,,,2.494,,,,,,,,,,,,0.571,,,,,,,,,,26.833,,,,,,,43.412,,,,,,,
9642,1971,,,,,,14.859,6.451,,,,2.586,,,,,,,,,,,,1.306,,,,,,,,,,31.554,,,,,,,49.862,,,,,,,
9643,1972,,,,,,3.758,1.874,,,,2.46,,,,,,,,,,,,1.537,,,,,,,,,,32.989,,,,,,,51.736,,,,,,,
9644,1973,,,,,,11.539,5.97,,,,2.497,,,,,,,,,,,,5.209,,,,,,,,,,34.011,,,,,,,57.705,,,,,,,
9645,1974,,,,,,3.518,2.03,,,,2.45,,,,,,,,,,,,5.968,,,,,,,,,,35.62,,,,,,,59.735,,,,,,,
9646,1975,,,,,,-5.981,-3.573,,,,2.396,,,,,,,,,,,,2.27,,,,,,,,,,34.255,,,,,,,56.162,,,,,,,
9647,1976,,,,,,-1.162,-0.653,,,,2.577,,,,,,,,,,,,0.699,,,,,,,,,,35.638,,,,,,,55.51,,,,,,,
9648,1977,,,,,,5.444,3.022,,,,2.606,,,,,,,,,,,,1.095,,,,,,,,,,37.798,,,,,,,58.532,,,,,,,
9649,1978,,,,,,11.239,6.579,,,,2.439,,,,,,,,,,,,1.122,,,,,,,,,,44.435,,,,,,,65.11,,,,,,,
9650,1979,,,,,,1.513,0.985,,,,2.188,,,,,,,,,,,,1.046,,,,,,,,,,45.364,,,,,,,66.095,,,,,,,
9651,1980,,,,,,4.061,2.684,,,,2.439,,,,,,,,,,,,2.616,,,,,,,,,,45.283,,,,,,,68.779,,,,,,,
9652,1981,,,,,,6.329,4.353,,,,2.481,,,,,,,,,,,,3.063,,,,,,,,,,48.11,,,,,,,73.132,,,,,,,
9653,1982,,,,,,-3.249,-2.376,,,,2.394,,,,,,,,,,,,3.5,,,,,,,,,,44.584,,,,,,,70.756,,,,,,,
9654,1983,,,,,,10.649,7.535,,,,2.347,,,,,,,,,,,,3.757,,,,,,,,,,50.773,,,,,,,78.291,,,,,,,
9655,1984,,,,,,-5.182,-4.057,,,,2.393,,,,,,,,,,,,3.615,,,,,,,,,,45.824,,,,,,,74.234,,,,,,,
9656,1985,,,,,,12.102,8.984,,,,2.386,,,9.739,9.145,0.0,0.0,9.145,0.0,0.0,,,4.104,,,93.901,,93.901,9.145,,0.0,,51.325,,,,0.0,,,83.218,,93.901,0.0,,,0.0,
9657,1986,,,,,,-0.537,-0.447,,,,2.43,,,10.05,9.438,0.0,0.0,9.438,0.0,0.0,,,4.678,,,93.91,,93.91,9.438,,0.0,,49.446,,,,0.0,,,82.771,,93.91,0.0,,,0.0,
9658,1987,,,,,,2.272,1.88,,,,2.465,,,10.088,9.454,0.0,0.0,9.454,0.0,0.0,,,5.397,,,93.715,,93.715,9.454,,0.0,,50.529,,,,0.0,,,84.651,,93.715,0.0,,,0.0,
9659,1988,,,,,,5.064,4.287,,,,2.487,,,10.238,9.604,0.0,0.0,9.604,0.0,0.0,,,6.456,,,93.807,,93.807,9.604,,0.0,,53.317,,,,0.0,,,88.938,,93.807,0.0,,,0.0,
9660,1989,,,,,,5.166,4.595,,,,2.555,,,11.942,11.446,0.0,0.0,11.446,0.0,0.0,,,4.972,,,95.847,,95.847,11.446,,0.0,,54.211,,,,0.0,,,93.533,,95.847,0.0,,,0.0,
9661,1990,,,,,,-7.47,-6.986,,,,2.58,,,10.888,10.288,0.0,0.003,10.291,0.0,0.0,,,6.165,,,94.488,,94.516,10.291,,0.0,,49.215,,,,0.028,,,86.546,,94.516,0.0,,,0.0,
9662,1991,,,,,,-6.015,-5.206,,,,0.0,,,10.614,9.976,0.0,0.008,9.984,0.0,0.0,,,6.566,,,93.985,,94.06,9.984,,0.0,,47.042,,,,0.075,,,81.341,,94.06,0.0,,,0.0,
9663,1992,,,,,,2.518,2.048,,,,0.0,,,11.402,10.821,0.0,0.008,10.829,0.0,0.0,,,6.412,,,94.909,,94.979,10.829,,0.0,,46.897,,,,0.07,,,83.389,,94.979,0.0,,,0.0,
9664,1993,,,,,,-0.002,-0.002,,,,0.0,,,10.753,10.213,0.0,0.008,10.221,0.0,0.0,,,6.367,,,94.978,,95.053,10.221,,0.0,,48.629,,,,0.074,,,83.388,,95.053,0.0,,,0.0,
9665,1994,,,,,,-2.857,-2.383,,,,0.0,,,10.308,9.732,0.0,0.009,9.741,0.0,0.0,,,5.935,,,94.412,,94.499,9.741,,0.0,,48.012,,,,0.087,,,81.005,,94.499,0.0,,,0.0,
9666,1995,,,,,,2.804,2.271,,,,0.0,,,11.44,10.831,0.0,0.009,10.84,0.0,0.0,,,6.627,,,94.677,,94.755,10.84,,0.0,,46.538,,,,0.079,,,83.276,,94.755,0.0,,,0.0,
9667,1996,,,,,,0.595,0.496,,,,0.0,,,11.616,10.867,0.0,0.007,10.874,0.0,0.0,,,6.541,,,93.552,,93.612,10.874,,0.0,,47.025,,,,0.06,,,83.772,,93.612,0.0,,,0.0,
9668,1997,,,,,,-0.317,-0.266,,,,0.001,,,11.059,10.138,0.0,0.007,10.145,0.0,0.0,,,6.675,,,91.672,,91.735,10.145,,0.0,,48.65,,,,0.063,,,83.506,,91.735,0.0,,,0.0,
9669,1998,,,,,,-3.65,-3.048,,,,0.0,,,10.943,9.925,0.0,0.007,9.932,0.0,0.0,,,6.9,,,90.697,,90.761,9.932,,0.0,,45.969,,,,0.064,,,80.458,,90.761,0.0,,,0.0,
9670,1999,,,,,,4.424,3.56,,,,0.0,,,11.517,10.329,0.0,0.007,10.336,0.0,0.0,,,6.693,,,89.685,,89.746,10.336,,0.0,,48.613,,,,0.061,,,84.018,,89.746,0.0,,,0.0,
9671,2000,,,,,,9.169,7.703,,,,0.0,,,12.627,11.36,0.0,0.007,11.367,0.0,0.0,,,6.985,,,89.962,,90.017,11.367,,0.0,,53.161,,,,0.055,,,91.721,,90.017,0.0,,,0.0,
9672,2001,,,,,,12.31,11.291,,,,0.0,,,13.045,11.623,0.0,0.007,11.63,0.0,0.0,,,14.507,,,89.095,,89.149,11.63,,0.0,,56.41,,,,0.054,,,103.012,,89.149,0.0,,,0.0,
9673,2002,,,,,,5.701,5.873,,,,0.001,,,13.22,11.701,0.0,0.007,11.709,0.0,0.0,,,18.832,,,88.511,,88.567,11.709,,0.0,,57.948,,,,0.053,,,108.885,,88.567,0.003,,,0.0,
9674,2003,,,,,,8.557,9.317,,,,0.001,,,13.951,12.115,0.0,0.007,12.122,0.001,0.0,,,20.913,,,86.838,,86.893,12.122,,0.0,,64.262,,,,0.05,,,118.202,,86.893,0.004,,,0.0,
9675,2004,,,,,,12.085,14.285,,,,0.004,,,15.632,13.977,0.0,0.007,13.985,0.001,0.0,,,26.369,,,89.413,,89.463,13.985,,0.0,,68.256,,,,0.045,,,132.487,,89.463,0.005,,,0.0,
9676,2005,,,,,,0.215,0.285,,,,0.001,,,16.386,14.456,0.0,0.008,14.465,0.001,0.0,,,30.433,,,88.225,,88.281,14.465,,0.0,,63.427,,,,0.049,,,132.771,,88.281,0.008,,,0.0,
9677,2006,,,,,,10.013,13.294,,,,0.001,,,18.642,15.644,0.0,0.65,16.296,0.002,0.0,,,30.316,,,83.92,,87.415,16.296,,0.0,,72.191,,,,3.487,,,146.066,,87.415,0.009,,,0.0,
9678,2007,,,,,,2.382,3.479,,,,0.001,,,18.642,15.122,0.0,0.084,15.21,0.004,0.0,,,27.463,,,81.116,,81.59,15.21,,0.0,,81.678,,,,0.451,,,149.545,,81.59,0.024,,,0.0,
9679,2008,,,,,,13.155,19.673,,,,0.002,,,20.14,16.192,0.0,0.085,16.285,0.008,0.0,,,32.766,,,80.396,,80.857,16.285,,0.0,,93.462,,,,0.422,,,169.218,,80.857,0.039,,,0.0,
9680,2009,,,,,,6.154,10.413,,,,0.002,,,21.14,16.12,0.0,0.079,16.209,0.01,0.0,,,32.565,,,76.253,,76.675,16.209,,0.0,,104.54,,,,0.374,,,179.631,,76.675,0.049,,,0.0,
9681,2010,,,,,,8.275,14.864,,,,0.003,,,22.155,16.821,0.0,0.067,16.901,0.014,0.0,,,36.564,,,75.922,,76.285,16.901,,0.0,,113.86,,,,0.302,,,194.495,,76.285,0.061,,,0.0,
9682,2011,,,,,,8.303,16.148,,,,0.002,,,22.669,17.116,0.0,0.07,17.203,0.017,0.0,,,40.816,,,75.505,,75.887,17.203,,0.0,,125.245,,,,0.309,,,210.643,,75.887,0.073,,,0.0,
9683,2012,,,,,,2.691,5.669,,,,0.046,,,23.344,16.924,0.0,0.073,17.017,0.02,0.0,,,40.731,,,72.5,,72.899,17.017,,0.0,,131.702,,,,0.313,,,216.312,,72.899,0.086,,,0.0,
9684,2013,,,,,,7.744,16.751,,,,0.003,,,27.647,19.368,0.0,0.078,19.469,0.024,0.0,,,36.604,,,70.054,,70.422,19.469,,0.0,,146.61,,,,0.282,,,233.063,,70.422,0.085,,,0.0,
9685,2014,,,,,,5.878,13.7,,,,0.038,,,30.356,20.413,0.0,0.082,20.523,0.028,0.0,,,36.079,,,67.245,,67.608,20.523,,0.0,,158.416,,,,0.27,,,246.763,,67.608,0.094,,,0.0,
9686,2015,,,,,,-0.248,-0.612,,,,0.0,,,32.621,20.725,0.0,0.013,20.77,0.033,0.0,,,39.917,,,63.531,,63.672,20.77,,0.0,,153.69,,,,0.04,,,246.151,,63.672,0.1,,,0.0,
9687,2016,,,,,,2.614,6.434,,,,0.001,,,33.81,21.314,0.0,0.014,21.375,0.039,0.009,,,50.409,,,63.04,,63.222,21.375,,0.0,,148.422,,,,0.041,,,252.585,,63.222,0.114,,,0.026,
9688,2017,,,,,,-2.598,-6.563,,,,0.001,,,36.097,24.383,0.0,0.014,24.451,0.045,0.009,,,51.682,,,67.549,,67.737,24.451,,0.0,,133.21,,,,0.038,,,246.022,,67.737,0.126,,,0.025,
9689,2018,,,,,,1.768,4.349,,,,0.001,,,38.681,26.153,0.0,0.014,26.243,0.068,0.009,,,50.278,,,67.611,,67.845,26.243,,0.0,,134.868,,,,0.036,,,250.372,,67.845,0.176,,,0.023,
9690,2019,,,,,,0.508,1.273,,,,0.001,,,40.269,27.387,0.0,0.014,27.478,0.068,0.009,,,45.514,,,68.009,,68.234,27.478,,0.0,,138.088,,,,0.034,,,251.644,,68.234,0.169,,,0.022,
