,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
9691,1900,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
9692,1901,,0.0,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
9693,1902,,0.0,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
9694,1903,,0.0,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
9695,1904,,0.0,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
9696,1905,,0.0,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
9697,1906,,0.0,0.0,,0.012,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.012,,,,,,,,,,,,,
9698,1907,,0.0,0.0,-100.0,-0.012,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
9699,1908,,0.0,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
9700,1909,,0.0,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
9701,1910,,0.0,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
9702,1911,,0.0,0.0,,0.512,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.512,,,,,,,,,,,,,
9703,1912,,0.0,0.0,86.364,0.442,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.954,,,,,,,,,,,,,
9704,1913,,0.0,0.0,239.024,2.279,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,3.233,,,,,,,,,,,,,
9705,1914,,0.0,0.0,37.41,1.21,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,4.443,,,,,,,,,,,,,
9706,1915,,0.0,0.0,19.634,0.872,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,5.315,,,,,,,,,,,,,
9707,1916,,0.0,0.0,43.107,2.291,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,7.606,,,,,,,,,,,,,
9708,1917,,0.0,0.0,39.45,3.001,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,10.607,,,,,,,,,,,,,
9709,1918,,0.0,0.0,23.246,2.466,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,13.072,,,,,,,,,,,,,
9710,1919,,0.0,0.0,25.267,3.303,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,16.375,,,,,,,,,,,,,
9711,1920,,0.0,0.0,25.852,4.233,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,20.608,,,,,,,,,,,,,
9712,1921,,0.0,0.0,33.465,6.897,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,27.505,,,,,,,,,,,,,
9713,1922,,0.0,0.0,27.146,7.466,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,34.971,,,,,,,,,,,,,
9714,1923,,0.0,0.0,25.507,8.92,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,43.892,,,,,,,,,,,,,
9715,1924,,0.0,0.0,16.667,7.315,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,51.207,,,,,,,,,,,,,
9716,1925,,0.0,0.0,5.133,2.628,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,53.835,,,,,,,,,,,,,
9717,1926,,0.0,0.0,6.049,3.256,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,57.092,,,,,,,,,,,,,
9718,1927,,0.0,0.0,11.815,6.745,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,63.837,,,,,,,,,,,,,
