,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
9811,1992,,,,,,,,,,,,1.416,323.446,,,,,,,,7.17,17673.625,,,,,,,,,,,,,,,,,4377000.0,77.357,,,,,10789302272.0,,
9812,1993,-31.154,-0.441,,,,-19.148,-14.812,,,,,0.975,222.986,,,,,,,,5.707,14309.147,,,,,,,,,,,,,,,,,4371000.0,62.545,,,,,10958489600.0,,
9813,1994,-37.989,-0.37,,,,-27.407,-17.142,,,,,0.604,138.657,,,,,,,,4.574,10416.077,,,,,,,,,,,,,,,,,4359000.0,45.404,,,,,9925919744.0,,
9814,1995,-71.171,-0.43,,,,-13.816,-6.273,,,,,0.174,40.139,,,,,,,,3.806,9014.214,,,,,,,,,,,,,,,,,4341000.0,39.131,,,,,10281249792.0,,
9815,1996,-7.221,-0.013,,,,9.996,3.912,,,,,0.162,37.456,,,,,,,,4.311,9972.739,,,,,,,,,,,,,,,,,4316000.0,43.042,,,,,9983722496.0,,
9816,1997,27.006,0.044,,,,-0.318,-0.137,,,,,0.205,47.905,,,,,,,,4.581,10010.609,,,,,,,,,,,,,,,,,4286000.0,42.905,,,,,9365783552.0,,
9817,1998,-83.333,-0.171,,,,-7.491,-3.214,,,,,0.034,8.042,,,,,,,,4.67,9328.201,,,,,,,,,,,,,,,,,4255000.0,39.691,,,,,8499138048.0,,
9818,1999,-100.0,-0.034,,,,-20.819,-8.263,,,,,0.0,0.0,,,,,,,,4.496,7436.854,,,,,,,,,,,,,,,,,4226000.0,31.428,,,,,6989868032.0,,
9819,2000,,0.0,,,,1.561,0.491,,,,,0.0,0.0,5.307,0.392,0.0,0.0,0.392,0.0,0.0,4.221,7594.302,,,,7.386,93.267,7.386,0.392,93.267,0.0,0.0,,,,0.0,0.0,1262.67,4203000.0,31.919,93.267,7.386,0.0,0.0,7562399232.0,0.0,0.0
9820,2001,,0.0,,,,-2.554,-0.815,,,,,0.0,0.0,5.636,0.359,0.0,0.0,0.359,0.0,0.0,3.958,7428.628,,,,6.37,85.742,6.37,0.359,85.742,0.0,0.0,,,,0.0,0.0,1346.071,4187000.0,31.104,85.742,6.37,0.0,0.0,7859367936.0,0.0,0.0
