,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
9960,2000,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,614000.0,,0.0,,,0.0,5257224192.0,,0.0
9961,2001,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,613000.0,,0.0,,,0.0,5621417984.0,,0.0
9962,2002,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,613000.0,,0.0,,,0.0,5482080256.0,,0.0
9963,2003,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,614000.0,,0.0,,,0.0,5629890048.0,,0.0
9964,2004,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,615000.0,,0.0,,,0.0,5916175872.0,,0.0
9965,2005,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,616000.0,,0.0,,,0.0,6256749056.0,,0.0
9966,2006,,,,,,,,,,,,4.075,6594.496,2.863,1.733,0.0,0.0,1.733,0.0,0.0,1.678,22033.862,,0.0,0.0,60.533,2804.207,60.533,1.733,2804.207,0.0,0.0,,0.0,0.0,0.0,0.0,4632.492,618000.0,13.617,2804.207,60.533,0.0,0.0,8113699840.0,0.0,0.0
9967,2007,-20.437,-0.833,0.0,,0.0,-14.033,-1.911,,,,,3.243,5229.886,2.079,1.271,0.0,0.0,1.271,0.0,0.0,1.251,18880.794,,0.0,0.0,61.123,2050.0,61.123,1.271,2050.0,0.0,0.0,,0.0,0.0,0.0,0.0,3353.871,620000.0,11.706,2050.0,61.123,0.0,0.0,9354359808.0,0.0,0.0
9968,2008,44.638,1.447,0.0,,0.0,20.481,2.397,,,,,4.69,7552.243,2.736,1.524,0.0,0.0,1.524,0.0,0.0,1.382,22711.052,,0.0,0.0,55.709,2454.106,55.709,1.524,2454.106,0.0,0.0,,0.0,0.0,0.0,0.0,4405.25,621000.0,14.104,2454.106,55.709,0.0,0.0,10206612480.0,0.0,0.0
9969,2009,-45.0,-2.11,0.0,,0.0,-11.511,-1.623,,,,,2.579,4140.399,2.698,2.05,0.0,0.0,2.05,0.0,0.0,1.299,20032.368,,0.0,0.0,75.992,3290.53,75.992,2.05,3290.53,0.0,0.0,,0.0,0.0,0.0,0.0,4330.112,623000.0,12.48,3290.53,75.992,0.0,0.0,9606912000.0,0.0,0.0
9970,2010,102.508,2.644,0.0,,0.0,34.663,4.326,,,,,5.224,8371.196,3.919,2.723,0.0,0.0,2.723,0.0,0.0,1.733,26932.859,,0.0,0.0,69.488,4363.782,69.488,2.723,4363.782,0.0,0.0,,0.0,0.0,0.0,0.0,6279.936,624000.0,16.806,4363.782,69.488,0.0,0.0,9695511552.0,0.0,0.0
9971,2011,1.806,0.094,0.0,,0.0,-26.695,-4.486,,,,,5.318,8508.743,2.557,1.192,0.0,0.0,1.192,0.0,0.0,1.182,19711.638,,0.0,0.0,46.619,1907.2,46.619,1.192,1907.2,0.0,0.0,,0.0,0.0,0.0,0.0,4091.008,625000.0,12.32,1907.2,46.619,0.0,0.0,10424513536.0,0.0,0.0
9972,2012,-9.478,-0.504,0.0,,0.0,0.335,0.041,,,,,4.814,7689.984,2.747,1.462,0.0,0.0,1.462,0.0,0.0,1.198,19746.164,,0.0,0.0,53.222,2335.463,53.222,1.462,2335.463,0.0,0.0,,0.0,0.0,0.0,0.0,4388.147,626000.0,12.361,2335.463,53.222,0.0,0.0,10320813056.0,0.0,0.0
9973,2013,-5.263,-0.253,0.0,,0.0,21.389,2.644,,,,,4.561,7285.249,3.834,2.479,0.0,0.0,2.479,0.0,0.0,1.405,23969.58,,0.0,0.0,64.666,3960.064,64.666,2.479,3960.064,0.0,0.0,,0.0,0.0,0.0,0.0,6123.866,626000.0,15.005,3960.064,64.666,0.0,0.0,10681120768.0,0.0,0.0
9974,2014,-2.187,-0.1,0.0,,0.0,-14.559,-2.185,,,,,4.461,7114.572,3.07,1.734,0.0,0.0,1.734,0.0,0.0,1.167,20447.199,,0.0,0.0,56.487,2765.55,56.487,1.734,2765.55,0.0,0.0,,0.0,0.0,0.0,0.0,4895.917,627000.0,12.82,2765.55,56.487,0.0,0.0,10986949632.0,0.0,0.0
9975,2015,7.13,0.318,0.0,,0.0,-1.971,-0.253,,,,,4.779,7621.835,2.897,1.476,0.0,0.0,1.476,0.0,0.0,1.095,20044.236,,0.0,0.0,50.944,2354.067,50.944,1.476,2354.067,0.0,0.0,,0.0,0.0,0.0,0.0,4620.861,627000.0,12.568,2354.067,50.944,0.0,0.0,11476486144.0,0.0,0.0
9976,2016,-21.151,-1.011,0.0,,0.0,-0.766,-0.096,,,,,3.768,6009.772,3.045,1.825,0.0,0.0,1.825,0.0,0.0,1.06,19890.785,,0.0,0.0,59.932,2910.686,59.932,1.825,2910.686,0.0,0.0,,0.0,0.0,0.0,0.0,4856.651,627000.0,12.472,2910.686,59.932,0.0,0.0,11767379968.0,0.0,0.0
9977,2017,,,,,,,,,,,,,,2.391,1.014,0.0,0.0,1.111,0.0,0.097,,,,,,42.404,1614.65,46.46,1.111,1769.108,0.0,0.0,,,,0.0,0.0,3807.771,628000.0,,1769.108,46.46,0.0,0.0,,4.056,154.459
9978,2018,,,,,,,,,,,,,,3.697,2.092,0.0,0.0,2.235,0.0,0.143,,,,,,56.589,3331.003,60.458,2.235,3558.71,0.0,0.0,,,,0.0,0.0,5886.258,628000.0,,3558.71,60.458,0.0,0.0,,3.868,227.707
9979,2019,,,,,,,,,,,,,,3.982,2.297,0.0,0.0,2.507,0.0,0.21,,,,,,57.684,3657.898,62.957,2.507,3992.293,0.0,0.0,,,,0.0,0.0,6341.295,628000.0,,3992.293,62.957,0.0,0.0,,5.273,334.395
