,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
9980,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,6257.727,,,,,,,,,,,,,,,,,12000.0,0.075,,,,,,,
9981,1981,,0.0,,,,10.547,0.008,,,,,0.0,0.0,,,,,,,,,7546.606,,,,,,,,,,,,,,,,,11000.0,0.083,,,,,,,
9982,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,7546.606,,,,,,,,,,,,,,,,,11000.0,0.083,,,,,,,
9983,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,7546.606,,,,,,,,,,,,,,,,,11000.0,0.083,,,,,,,
9984,1984,,0.0,,,,0.353,0.0,,,,,0.0,0.0,,,,,,,,,7573.272,,,,,,,,,,,,,,,,,11000.0,0.083,,,,,,,
9985,1985,,0.0,,,,8.451,0.007,,,,,0.0,0.0,,,,,,,,,8213.268,,,,,,,,,,,,,,,,,11000.0,0.09,,,,,,,
9986,1986,,0.0,,,,-43.568,-0.039,,,,,0.0,0.0,,,,,,,,,4634.923,,,,,,,,,,,,,,,,,11000.0,0.051,,,,,,,
9987,1987,,0.0,,,,25.207,0.013,,,,,0.0,0.0,,,,,,,,,5803.234,,,,,,,,,,,,,,,,,11000.0,0.064,,,,,,,
9988,1988,,0.0,,,,0.011,0.0,,,,,0.0,0.0,,,,,,,,,5803.873,,,,,,,,,,,,,,,,,11000.0,0.064,,,,,,,
9989,1989,,0.0,,,,-0.011,0.0,,,,,0.0,0.0,,,,,,,,,5803.234,,,,,,,,,,,,,,,,,11000.0,0.064,,,,,,,
9990,1990,,0.0,,,,17.83,0.011,,,,,0.0,0.0,,,,,,,,,6837.945,,,,,,,,,,,,,,,,,11000.0,0.075,,,,,,,
9991,1991,,0.0,,,,74.772,0.056,,,,,0.0,0.0,,,,,,,,,11950.81,,,,,,,,,,,,,,,,,11000.0,0.131,,,,,,,
9992,1992,,0.0,,,,0.251,0.0,,,,,0.0,0.0,,,,,,,,,11980.784,,,,,,,,,,,,,,,,,11000.0,0.132,,,,,,,
9993,1993,,0.0,,,,-0.25,0.0,,,,,0.0,0.0,,,,,,,,,11950.81,,,,,,,,,,,,,,,,,11000.0,0.131,,,,,,,
9994,1994,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,13145.891,,,,,,,,,,,,,,,,,10000.0,0.131,,,,,,,
9995,1995,,0.0,,,,47.441,0.062,,,,,0.0,0.0,,,,,,,,,19382.489,,,,,,,,,,,,,,,,,10000.0,0.194,,,,,,,
9996,1996,,0.0,,,,0.258,0.001,,,,,0.0,0.0,,,,,,,,,21591.702,,,,,,,,,,,,,,,,,9000.0,0.194,,,,,,,
9997,1997,,0.0,,,,-0.258,-0.001,,,,,0.0,0.0,,,,,,,,,24228.112,,,,,,,,,,,,,,,,,8000.0,0.194,,,,,,,
9998,1998,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,27689.271,,,,,,,,,,,,,,,,,7000.0,0.194,,,,,,,
9999,1999,,0.0,,,,0.003,0.0,,,,,0.0,0.0,,,,,,,,,32304.981,,,,,,,,,,,,,,,,,6000.0,0.194,,,,,,,
10000,2000,,0.0,,,,-39.939,-0.077,,,,,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,,23283.381,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2200.0,5000.0,0.116,0.0,0.0,0.0,0.0,,0.0,0.0
