,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
10260,1900,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,10013993.0,,,,,,,,
10261,1901,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,10243464.0,,,,,,10280200192.0,,
10262,1902,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,10496297.0,,,,,,,,
10263,1903,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,10702036.0,,,,,,,,
10264,1904,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,10893168.0,,,,,,,,
10265,1905,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,11068894.0,,,,,,,,
10266,1906,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,11228554.0,,,,,,8950762496.0,,
10267,1907,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,11385069.0,,,,,,,,
10268,1908,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,11549320.0,,,,,,,,
10269,1909,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,11715932.0,,,,,,,,
10270,1910,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,11870774.0,,,,,,,,
10271,1911,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,12031096.0,,,,,,10297749504.0,,
10272,1912,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,12157433.0,,,,,,,,
10273,1913,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,12261865.0,,,,,,11832960000.0,,
10274,1914,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,12367273.0,,,,,,,,
10275,1915,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,12473658.0,,,,,,,,
10276,1916,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,12581019.0,,,,,,14585450496.0,,
10277,1917,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,12689357.0,,,,,,,,
10278,1918,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,12770262.0,,,,,,,,
10279,1919,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,12881642.0,,,,,,,,
10280,1920,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,12994680.0,,,,,,,,
10281,1921,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,13146502.0,,,,,,13159151616.0,,
10282,1922,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,13277439.0,,,,,,,,
10283,1923,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,13416996.0,,,,,,,,
10284,1924,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,13557879.0,,,,,,,,
10285,1925,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,13700419.0,,,,,,,,
10286,1926,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,13844285.0,,,,,,15869939712.0,,
10287,1927,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,13989808.0,,,,,,,,
10288,1928,,0.0,0.0,,11.967,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,11.967,846.542,,,,14136658.0,,,,,,,,
10289,1929,,0.0,0.0,-3.401,-0.407,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,11.56,809.247,,,,14285164.0,,,,,,,,
10290,1930,,0.0,0.0,1.207,0.14,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,11.7,810.516,,,,14434997.0,,,,,,,,
10291,1931,,0.0,0.0,-4.871,-0.57,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,11.13,762.181,,,,14602730.0,,,,,,18553755648.0,,
10292,1932,,0.0,0.0,1.463,0.163,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,11.293,763.623,,,,14788364.0,,,,,,,,
10293,1933,,0.0,0.0,0.618,0.07,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,11.363,757.877,,,,14992561.0,,,,,,,,
10294,1934,,0.0,0.0,2.252,0.256,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,11.618,764.397,,,,15199410.0,,,,,,,,
10295,1935,,0.0,0.0,-1.301,-0.151,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,11.467,744.176,,,,15409242.0,,,,,,,,
