,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
10380,1990,,,,,,,,,,,,0.0,0.0,,,,,,,,1.372,6685.987,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1433000.0,9.581,,,,,6984232960.0,,
10381,1991,,0.0,0.0,,0.0,-50.409,-4.83,,,,,0.0,0.0,,,,,,,,0.682,3219.064,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1476000.0,4.751,,,,,6965853184.0,,
10382,1992,,0.0,0.0,,0.0,-5.89,-0.28,,,,,0.0,0.0,,,,,,,,0.605,2947.599,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1517000.0,4.472,,,,,7388739072.0,,
10383,1993,,0.0,0.0,,0.0,20.066,0.897,,,,,0.0,0.0,,,,,,,,0.791,3452.58,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1555000.0,5.369,,,,,6786542080.0,,
10384,1994,,0.0,0.0,,0.0,-2.396,-0.129,,,,,0.0,0.0,,,,,,,,0.732,3291.541,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1592000.0,5.24,,,,,7157159936.0,,
10385,1995,,0.0,0.0,,0.0,61.858,3.241,,,,,0.0,0.0,,,,,,,,1.069,5209.809,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1628000.0,8.482,,,,,7931274752.0,,
10386,1996,,0.0,0.0,,0.0,-5.935,-0.503,,,,,0.0,0.0,,,,,,,,0.957,4797.468,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1663000.0,7.978,,,,,8336395776.0,,
10387,1997,,0.0,0.0,,0.0,-5.553,-0.443,,,,,0.0,0.0,,,,,,,,0.871,4437.674,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1698000.0,7.535,,,,,8652252160.0,,
10388,1998,,0.0,0.0,,0.0,20.107,1.515,,,,,0.0,0.0,,,,,,,,0.99,5225.345,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1732000.0,9.05,,,,,9143000064.0,,
10389,1999,,0.0,0.0,,0.0,34.499,3.122,,,,,0.0,0.0,,,,,,,,1.293,6900.522,,0.0,0.0,,,,,,,,,0.0,0.0,,,,1764000.0,12.173,,,,,9413029888.0,,
10390,2000,,0.0,0.0,,0.0,-1.963,-0.239,,,,,0.0,0.0,1.398,1.366,0.0,0.0,1.366,0.0,0.0,1.221,6648.216,,0.0,0.0,97.711,761.003,97.711,1.366,761.003,0.0,0.0,,0.0,0.0,0.0,0.0,778.83,1795000.0,11.934,761.003,97.711,0.0,0.0,9773112320.0,0.0,0.0
