,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
10410,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,73332.743,,,,,,,,,,,,,,,,,8000.0,0.587,,,,,,,
10411,1981,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,73332.743,,,,,,,,,,,,,,,,,8000.0,0.587,,,,,,,
10412,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,73332.743,,,,,,,,,,,,,,,,,8000.0,0.587,,,,,,,
10413,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,73332.743,,,,,,,,,,,,,,,,,8000.0,0.587,,,,,,,
10414,1984,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,73332.743,,,,,,,,,,,,,,,,,8000.0,0.587,,,,,,,
10415,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,65184.66,,,,,,,,,,,,,,,,,9000.0,0.587,,,,,,,
10416,1986,,0.0,,,,-4.705,-0.028,,,,,0.0,0.0,,,,,,,,,62117.559,,,,,,,,,,,,,,,,,9000.0,0.559,,,,,,,
10417,1987,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,62117.559,,,,,,,,,,,,,,,,,9000.0,0.559,,,,,,,
10418,1988,,0.0,,,,0.255,0.001,,,,,0.0,0.0,,,,,,,,,62275.926,,,,,,,,,,,,,,,,,9000.0,0.56,,,,,,,
10419,1989,,0.0,,,,-0.254,-0.001,,,,,0.0,0.0,,,,,,,,,62117.559,,,,,,,,,,,,,,,,,9000.0,0.559,,,,,,,
10420,1990,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,55905.803,,,,,,,,,,,,,,,,,10000.0,0.559,,,,,,,
10421,1991,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,55905.803,,,,,,,,,,,,,,,,,10000.0,0.559,,,,,,,
10422,1992,,0.0,,,,0.255,0.001,,,,,0.0,0.0,,,,,,,,,56048.333,,,,,,,,,,,,,,,,,10000.0,0.56,,,,,,,
10423,1993,,0.0,,,,-0.254,-0.001,,,,,0.0,0.0,,,,,,,,,55905.803,,,,,,,,,,,,,,,,,10000.0,0.559,,,,,,,
10424,1994,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,55905.803,,,,,,,,,,,,,,,,,10000.0,0.559,,,,,,,
10425,1995,,0.0,,,,12.04,0.067,,,,,0.0,0.0,,,,,,,,,56942.769,,,,,,,,,,,,,,,,,11000.0,0.626,,,,,,,
10426,1996,,0.0,,,,0.257,0.002,,,,,0.0,0.0,,,,,,,,,57089.114,,,,,,,,,,,,,,,,,11000.0,0.628,,,,,,,
10427,1997,,0.0,,,,-0.256,-0.002,,,,,0.0,0.0,,,,,,,,,56942.769,,,,,,,,,,,,,,,,,11000.0,0.626,,,,,,,
10428,1998,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,56942.769,,,,,,,,,,,,,,,,,11000.0,0.626,,,,,,,
10429,1999,,0.0,,,,0.001,0.0,,,,,0.0,0.0,,,,,,,,,62637.37,,,,,,,,,,,,,,,,,10000.0,0.626,,,,,,,
10430,2000,,0.0,,,,-26.851,-0.168,,,,,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,,45818.561,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3100.0,10000.0,0.458,0.0,0.0,0.0,0.0,,0.0,0.0
