,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
10691,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.813,,,,,,,
10692,1981,,,,,,-6.723,-4.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.119,,,,,,,
10693,1982,,,,,,-3.153,-2.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.066,,,,,,,
10694,1983,,,,,,-7.907,-4.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.08,,,,,,,
10695,1984,,,,,,-6.061,-3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.56,,,,,,,
10696,1985,,,,,,-16.667,-9.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.466,,,,,,,
10697,1986,,,,,,-2.253,-1.024,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.442,,,,,,,
10698,1987,,0.0,,,,0.354,0.157,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.599,,,,,,,
10699,1988,,0.0,,,,-5.53,-2.466,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.133,,,,,,,
10700,1989,,0.0,,,,4.667,1.966,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.099,,,,,,,
10701,1990,,0.0,,,,-2.164,-0.954,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.145,,,,,,,
10702,1991,,0.0,,,,-4.683,-2.021,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.124,,,,,,,
10703,1992,,0.0,,,,-1.159,-0.477,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.648,,,,,,,
10704,1993,,0.0,,,,-0.03,-0.012,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.636,,,,,,,
