,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
10570,1900,,,,,,,,,,,,2.605,504.985,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5158807.0,,,,,,22635083776.0,,
10571,1901,-2.187,-0.057,0.0,,0.0,,,,,,,2.548,486.829,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5234145.0,,,,,,23933063168.0,,
10572,1902,27.476,0.7,0.0,,0.0,,,,,,,3.248,611.906,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5308432.0,,,,,,25156308992.0,,
10573,1903,22.306,0.725,0.0,,0.0,,,,,,,3.973,737.487,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5386961.0,,,,,,25355245568.0,,
10574,1904,-4.303,-0.171,0.0,,0.0,,,,,,,3.802,695.483,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5466489.0,,,,,,25911390208.0,,
10575,1905,5.996,0.228,0.0,,0.0,,,,,,,4.03,726.553,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5546460.0,,,,,,27421939712.0,,
10576,1906,13.939,0.562,0.0,,0.0,,,,,,,4.592,816.37,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5624321.0,,,,,,28199424000.0,,
10577,1907,28.191,1.294,0.0,,0.0,,,,,,,5.886,1031.307,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5707269.0,,,,,,27910479872.0,,
10578,1908,25.588,1.506,0.0,,0.0,,,,,,,7.392,1278.58,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5781440.0,,,,,,28669630464.0,,
10579,1909,23.458,1.734,0.0,,0.0,,,,,,,9.126,1559.529,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5851812.0,,,,,,30423779328.0,,
10580,1910,15.254,1.392,0.0,,0.0,,,,,,,10.518,1775.705,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5923383.0,,,,,,31895891968.0,,
10581,1911,14.319,1.506,0.0,,0.0,,,,,,,12.024,2007.294,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5990288.0,,,,,,32373440512.0,,
10582,1912,16.791,2.019,0.0,,0.0,,,,,,,14.043,2313.196,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6070923.0,,,,,,32742928384.0,,
10583,1913,8.58,1.205,0.0,,0.0,,,,,,,15.248,2471.909,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6168554.0,,,,,,33791047680.0,,
10584,1914,5.873,0.896,0.0,,0.0,,,,,,,16.144,2571.656,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6277517.0,,,,,,32313995264.0,,
10585,1915,17.65,2.849,0.0,,0.0,,,,,,,18.993,2970.06,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6394810.0,,,,,,32825534464.0,,
10586,1916,13.845,2.63,0.0,,0.0,,,,,,,21.623,3316.115,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6520435.0,,,,,,33107795968.0,,
10587,1917,18.267,3.95,0.0,,0.0,,,,,,,25.572,3851.599,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6639394.0,,,,,,30428741632.0,,
10588,1918,31.14,7.963,0.0,,0.0,,,,,,,33.536,4978.77,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6735715.0,,,,,,28020799488.0,,
10589,1919,3.526,1.182,0.0,,0.0,,,,,,,34.718,5105.295,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6800369.0,,,,,,34065829888.0,,
10590,1920,9.119,3.166,0.0,,0.0,,,,,,,37.884,5525.091,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6856692.0,,,,,,34424897536.0,,
10591,1921,-7.811,-2.959,0.0,,0.0,,,,,,,34.925,5037.931,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6932344.0,,,,,,35823095808.0,,
10592,1922,13.688,4.78,0.0,,0.0,,,,,,,39.705,5645.54,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7032991.0,,,,,,37030510592.0,,
10593,1923,15.145,6.013,0.0,,0.0,,,,,,,45.718,6396.564,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7147303.0,,,,,,37172850688.0,,
10594,1924,11.356,5.192,0.0,,0.0,,,,,,,50.91,7013.744,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7258615.0,,,,,,39058526208.0,,
10595,1925,15.088,7.681,0.0,,0.0,,,,,,,58.591,7954.751,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7365595.0,,,,,,39842693120.0,,
10596,1926,23.998,14.061,0.0,,0.0,,,,,,,72.652,9726.424,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7469575.0,,,,,,42106556416.0,,
10597,1927,7.184,5.22,0.0,,0.0,,,,,,,77.872,10281.623,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7573888.0,,,,,,42895310848.0,,
10598,1928,14.955,11.645,0.0,,0.0,,,,,,,89.517,11659.634,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7677535.0,,,,,,44161929216.0,,
10599,1929,5.871,5.256,0.0,,0.0,,,,,,,94.773,12181.345,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7780182.0,,,,,,43485814784.0,,
10600,1930,5.369,5.088,0.0,,0.0,,,,,,,99.861,12661.764,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7886829.0,,,,,,43835039744.0,,
10601,1931,5.87,5.862,0.0,,0.0,,,,,,,105.723,13214.584,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8000474.0,,,,,,41578803200.0,,
10602,1932,-1.407,-1.488,0.0,,0.0,,,,,,,104.235,12839.839,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8118118.0,,,,,,41411055616.0,,
10603,1933,-1.503,-1.566,0.0,,0.0,,,,,,,102.669,12471.798,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8232096.0,,,,,,41753354240.0,,
10604,1934,-1.863,-1.913,0.0,,0.0,,,,,,,100.757,12087.287,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8335743.0,,,,,,41388040192.0,,
10605,1935,-3.76,-3.788,0.0,,0.0,,,,,,,96.968,11504.519,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8428725.0,,,,,,43359195136.0,,
10606,1936,7.776,7.54,0.0,,0.0,,,,,,,104.508,12273.85,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8514709.0,,,,,,46539939840.0,,
10607,1937,11.987,12.527,0.0,,0.0,,,,,,,117.036,13611.383,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8598359.0,,,,,,49659224064.0,,
10608,1938,-5.719,-6.694,0.0,,0.0,,,,,,,110.342,12701.939,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8687009.0,,,,,,48931291136.0,,
10609,1939,-4.552,-5.023,0.0,,0.0,,,,,,,105.319,11994.879,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8780325.0,,,,,,52744691712.0,,
10610,1940,-5.529,-5.823,0.0,,0.0,,,,,,,99.496,11212.141,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8873974.0,,,,,,46907756544.0,,
10611,1941,9.909,9.859,0.0,,0.0,,,,,,,109.355,12203.95,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8960624.0,,,,,,44829999104.0,,
10612,1942,-7.403,-8.096,0.0,,0.0,,,,,,,101.259,11207.111,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,9035276.0,,,,,,41349066752.0,,
10613,1943,1.658,1.679,0.0,,0.0,,,,,,,102.939,11305.809,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,9104929.0,,,,,,40717717504.0,,
10614,1944,-33.546,-34.532,0.0,,0.0,,,,,,,68.406,7453.107,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,9178249.0,,,,,,27561699328.0,,
10615,1945,-38.745,-26.504,0.0,,0.0,,,,,,,41.902,4512.777,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,9285228.0,,,,,,28462125056.0,,
10616,1946,65.142,27.296,0.0,,0.733,,,,,,,69.198,7332.751,,,,,,,,,,,0.0,0.0,,,,,,,,,0.733,77.641,,,,9436866.0,,,,,,48467632128.0,,
10617,1947,21.018,14.544,0.01,238.095,1.745,,,,,,,83.742,8708.501,,,,,,,,,,,0.01,1.016,,,,,,,,,2.477,257.607,,,,9616165.0,,,,,,56595509248.0,,
