,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
10731,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,56169.043,,,,,,,,,,,,,,,,,145000.0,8.145,,,,,,,
10732,1981,,0.0,,,,-3.79,-0.309,,,,,0.0,0.0,,,,,,,,,53304.846,,,,,,,,,,,,,,,,,147000.0,7.836,,,,,,,
10733,1982,,0.0,,,,-22.731,-1.781,,,,,0.0,0.0,,,,,,,,,40364.125,,,,,,,,,,,,,,,,,150000.0,6.055,,,,,,,
10734,1983,,0.0,,,,-11.849,-0.717,,,,,0.0,0.0,,,,,,,,,35113.401,,,,,,,,,,,,,,,,,152000.0,5.337,,,,,,,
10735,1984,,0.0,,,,18.208,0.972,,,,,0.0,0.0,,,,,,,,,40967.74,,,,,,,,,,,,,,,,,154000.0,6.309,,,,,,,
10736,1985,,0.0,,,,7.887,0.498,,,,,0.0,0.0,,,,,,,,,43632.218,,,,,,,,,,,,,,,,,156000.0,6.807,,,,,,,
10737,1986,,0.0,,,,-3.254,-0.222,,,,,0.0,0.0,,,,,,,,,41677.897,,,,,,,,,,,,,,,,,158000.0,6.585,,,,,,,
10738,1987,,0.0,,,,-0.752,-0.05,,,,,0.0,0.0,,,,,,,,,40593.576,,,,,,,,,,,,,,,,,161000.0,6.536,,,,,,,
10739,1988,,0.0,,,,7.658,0.5,,,,,0.0,0.0,,,,,,,,,42902.825,,,,,,,,,,,,,,,,,164000.0,7.036,,,,,,,
10740,1989,,0.0,,,,8.944,0.629,,,,,0.0,0.0,,,,,,,,,45900.575,,,,,,,,,,,,,,,,,167000.0,7.665,,,,,,,
