,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
10771,1965,,,,,,,,,0.0,0.0,19.131,,,,,,,,,,2.137,31725.155,0.0,,,,,,,,,,32.636,,,,,,2627000.0,83.342,,,,,39003361280.0,,
10772,1966,,,,,,6.227,5.19,0.0,0.0,0.0,18.608,,,,,,,,,,2.118,33195.217,0.0,,,,,,,,,,36.134,,,,,,2667000.0,88.532,,,,,41798402048.0,,
10773,1967,,,,,,0.825,0.731,0.0,0.0,0.0,16.991,,,,,,,,,,2.211,33023.439,0.0,,,,,,,,,,37.952,,,,,,2703000.0,89.262,,,,,40363487232.0,,
10774,1968,,,,,,2.269,2.026,0.0,0.0,0.0,15.991,,,,,,,,,,2.256,33353.335,0.0,,,,,,,,,,38.996,,,,,,2737000.0,91.288,,,,,40471769088.0,,
10775,1969,,,,,,1.78,1.625,0.0,0.0,0.0,16.398,,,,,,,,,,2.067,33494.086,0.0,,,,,,,,,,40.505,,,,,,2774000.0,92.913,,,,,44950315008.0,,
10776,1970,,,,,,11.354,10.549,0.0,0.0,0.0,16.41,,,,,,,,,,2.372,36714.691,0.71,,,,,,,,,,47.61,,,,,,2818000.0,103.462,,,,,43619074048.0,,
10777,1971,,,,,,4.528,4.685,0.0,0.0,0.0,14.596,,,,,,,,,,2.375,37668.69,0.902,,,,,,,,,,49.177,,,,,,2871000.0,108.147,,,,,45534248960.0,,
10778,1972,,,,,,6.733,7.281,0.0,0.0,0.0,14.956,,,,,,,,,,2.412,39395.215,1.635,,,,,,,,,,52.943,,,,,,2930000.0,115.428,,,,,47854002176.0,,
10779,1973,,,,,,4.131,4.769,0.0,0.0,0.0,16.945,,,,,,,,,,2.355,40212.96,1.901,,,,,,,,,,55.963,,,,,,2989000.0,120.197,,,,,51034542080.0,,
10780,1974,,,,,,0.771,0.927,0.0,0.0,0.0,17.445,,,,,,,,,,2.307,39817.176,2.767,,,,,,,,,,53.832,,,,,,3042000.0,121.124,,,,,52499742720.0,,
