,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
10827,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,1.115,2896.539,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3266000.0,9.46,,,,,8487483904.0,,
10828,1981,,0.0,0.0,,0.0,2.589,0.245,,,,,0.0,0.0,,,,,,,,1.083,2888.397,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3360000.0,9.705,,,,,8960808960.0,,
10829,1982,,0.0,0.0,,0.0,-2.004,-0.194,,,,,0.0,0.0,,,,,,,,1.091,2752.697,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3455000.0,9.511,,,,,8716703744.0,,
10830,1983,,0.0,0.0,,0.0,-6.24,-0.593,,,,,0.0,0.0,,,,,,,,0.95,2511.853,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3550000.0,8.917,,,,,9384651776.0,,
10831,1984,,0.0,0.0,,0.0,2.606,0.232,,,,,0.0,0.0,,,,,,,,0.969,2511.519,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3643000.0,9.149,,,,,9441647616.0,,
10832,1985,,0.0,0.0,,0.0,10.492,0.96,,,,,0.0,0.0,,,,,,,,1.028,2707.406,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3734000.0,10.109,,,,,9835740160.0,,
10833,1986,,0.0,0.0,,0.0,-2.698,-0.273,,,,,0.0,0.0,,,,,,,,1.026,2573.033,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3823000.0,9.837,,,,,9588096000.0,,
10834,1987,,0.0,0.0,,0.0,4.531,0.446,,,,,0.0,0.0,,,,,,,,1.015,2629.759,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3910000.0,10.282,,,,,10128778240.0,,
10835,1988,,0.0,0.0,,0.0,1.67,0.172,,,,,0.0,0.0,,,,,,,,1.316,2616.136,,0.0,0.0,,,,,,,,,0.0,0.0,,,,3996000.0,10.454,,,,,7944935936.0,,
10836,1989,,0.0,0.0,,0.0,7.65,0.8,,,,,0.0,0.0,,,,,,,,1.498,2756.254,,0.0,0.0,,,,,,,,,0.0,0.0,,,,4083000.0,11.254,,,,,7511291904.0,,
