,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
10987,1900,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,17111076.0,,,,,,,,
10988,1901,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,17185900.0,,,,,,,,
10989,1902,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,17260524.0,,,,,,,,
10990,1903,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,17336004.0,,,,,,,,
10991,1904,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,17411808.0,,,,,,,,
10992,1905,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,17487948.0,,,,,,,,
10993,1906,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,17564420.0,,,,,,,,
10994,1907,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,17640472.0,,,,,,,,
10995,1908,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,17717610.0,,,,,,,,
10996,1909,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,17795084.0,,,,,,,,
10997,1910,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,17872900.0,,,,,,,,
10998,1911,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,17950834.0,,,,,,,,
10999,1912,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,18029328.0,,,,,,,,
11000,1913,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,18108164.0,,,,,,,,
11001,1914,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,18187348.0,,,,,,,,
11002,1915,,0.057,0.0,,0.0,,,,,,,0.057,3.12,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,18266876.0,,,,,,,,
11003,1916,257.143,0.147,0.0,,0.0,,,,,,,0.204,11.093,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,18346752.0,,,,,,,,
11004,1917,236.0,0.48,0.0,,0.0,,,,,,,0.684,37.111,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,18426976.0,,,,,,,,
11005,1918,78.571,0.537,0.0,,0.0,,,,,,,1.221,65.989,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,18505320.0,,,,,,,,
11006,1919,-6.667,-0.081,0.0,,0.0,,,,,,,1.14,61.327,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,18584560.0,,,,,,,,
11007,1920,30.714,0.35,0.0,,0.0,,,,,,,1.49,79.822,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,18664136.0,,,,,,,,
11008,1921,18.033,0.269,0.0,,0.0,,,,,,,1.758,93.861,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,18734754.0,,,,,,,,
11009,1922,-46.759,-0.822,0.0,,0.0,,,,,,,0.936,49.808,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,18796348.0,,,,,,,,
11010,1923,54.783,0.513,0.0,,0.0,,,,,,,1.449,76.88,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,18848848.0,,,,,,,,
11011,1924,15.169,0.22,0.0,,0.0,,,,,,,1.669,88.295,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,18901500.0,,,,,,,,
11012,1925,18.537,0.309,0.0,,0.0,,,,,,,1.978,104.37,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,18954296.0,,,,,,,,
11013,1926,35.802,0.708,0.0,,0.0,,,,,,,2.687,141.343,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,19007240.0,,,,,,,,
11014,1927,10.303,0.277,0.0,,0.0,,,,,,,2.963,155.471,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,19060332.0,,,,,,,,
11015,1928,0.275,0.008,0.0,,0.0,,,,,,,2.971,155.464,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,19113572.0,,,,,,,,
11016,1929,-3.836,-0.114,0.0,,0.0,,,,,,,2.857,149.084,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,19166960.0,,,,,,,,
11017,1930,0.855,0.024,0.0,,0.0,,,,,,,2.882,149.94,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,19220500.0,,,,,,,,
11018,1931,-5.932,-0.171,0.0,,0.0,,,,,,,2.711,139.089,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,19490752.0,,,,,,,,
11019,1932,-23.123,-0.627,0.0,,0.0,,,,,,,2.084,104.277,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,19986228.0,,,,,,,,
