,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
11108,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,4204.412,,,,,,,,,,,,,,,,,3000.0,0.013,,,,,,,
11109,1981,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,4204.412,,,,,,,,,,,,,,,,,3000.0,0.013,,,,,,,
11110,1982,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,4204.412,,,,,,,,,,,,,,,,,3000.0,0.013,,,,,,,
11111,1983,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,4204.412,,,,,,,,,,,,,,,,,3000.0,0.013,,,,,,,
11112,1984,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,4204.412,,,,,,,,,,,,,,,,,3000.0,0.013,,,,,,,
11113,1985,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,4204.412,,,,,,,,,,,,,,,,,3000.0,0.013,,,,,,,
11114,1986,,0.0,,,,0.93,0.0,,,,,0.0,0.0,,,,,,,,,4243.523,,,,,,,,,,,,,,,,,3000.0,0.013,,,,,,,
11115,1987,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,4243.523,,,,,,,,,,,,,,,,,3000.0,0.013,,,,,,,
11116,1988,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,6365.285,,,,,,,,,,,,,,,,,2000.0,0.013,,,,,,,
11117,1989,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,6365.285,,,,,,,,,,,,,,,,,2000.0,0.013,,,,,,,
11118,1990,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,6365.285,,,,,,,,,,,,,,,,,2000.0,0.013,,,,,,,
11119,1991,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,6365.285,,,,,,,,,,,,,,,,,2000.0,0.013,,,,,,,
11120,1992,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,6365.285,,,,,,,,,,,,,,,,,2000.0,0.013,,,,,,,
11121,1993,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,6365.285,,,,,,,,,,,,,,,,,2000.0,0.013,,,,,,,
11122,1994,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,6365.285,,,,,,,,,,,,,,,,,2000.0,0.013,,,,,,,
11123,1995,,0.0,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,6365.285,,,,,,,,,,,,,,,,,2000.0,0.013,,,,,,,
