,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
11268,1900,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5124045.0,,,,,,,,
11269,1901,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5140792.0,,,,,,,,
11270,1902,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5157553.0,,,,,,,,
11271,1903,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5174390.0,,,,,,,,
11272,1904,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5191273.0,,,,,,,,
11273,1905,,0.049,,,,,,,,,,0.049,9.379,,,,,,,,,,,,,,,,,,,,,,,,,,5208202.0,,,,,,,,
11274,1906,-100.0,-0.049,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5225176.0,,,,,,,,
11275,1907,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5242151.0,,,,,,,,
11276,1908,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5259217.0,,,,,,,,
11277,1909,,0.488,,,,,,,,,,0.488,92.576,,,,,,,,,,,,,,,,,,,,,,,,,,5276329.0,,,,,,,,
11278,1910,23.333,0.114,,,,,,,,,,0.602,113.807,,,,,,,,,,,,,,,,,,,,,,,,,,5293488.0,,,,,,,,
