,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
11388,1990,,,,,,,,,0.0,0.0,15.467,,,5.758,0.491,0.0,0.0,0.491,0.0,0.0,2.002,14815.431,0.0,,,8.527,245.992,8.527,0.491,245.992,0.0,0.0,12.741,,,0.0,0.0,2884.77,1996000.0,29.572,245.992,8.527,0.0,0.0,14768896000.0,0.0,0.0
11389,1991,,,,,,-0.934,-0.276,0.0,0.0,0.0,15.534,,,5.77,0.848,0.0,0.0,0.848,0.0,0.0,2.088,14699.186,0.0,,,14.697,425.489,14.697,0.848,425.489,0.0,0.0,11.406,,,0.0,0.0,2895.133,1993000.0,29.295,425.489,14.697,0.0,0.0,14032415744.0,0.0,0.0
11390,1992,,,,,,2.695,0.79,0.0,0.0,0.0,15.443,,,6.065,0.848,0.0,0.0,0.848,0.0,0.0,2.269,15125.691,0.0,,,13.982,426.345,13.982,0.848,426.345,0.0,0.0,12.287,,,0.0,0.0,3049.271,1989000.0,30.085,426.345,13.982,0.0,0.0,13257001984.0,0.0,0.0
11391,1993,,,,,,0.336,0.101,0.0,0.0,0.0,15.519,,,5.18,0.522,0.0,0.0,0.522,0.0,0.0,2.408,15214.691,0.0,,,10.077,263.105,10.077,0.522,263.105,0.0,0.0,13.217,,,0.0,0.0,2610.887,1984000.0,30.186,263.105,10.077,0.0,0.0,12534129664.0,0.0,0.0
11392,1994,,,,,,-6.191,-1.869,0.0,0.0,0.0,16.121,,,5.939,0.695,0.0,0.0,0.695,0.0,0.0,2.216,14287.227,0.0,,,11.702,350.656,11.702,0.695,350.656,0.0,0.0,10.266,,,0.0,0.0,2996.468,1982000.0,28.317,350.656,11.702,0.0,0.0,12780675072.0,0.0,0.0
11393,1995,,,,,,0.672,0.19,0.0,0.0,0.0,16.627,,,6.132,0.801,0.0,0.0,0.801,0.0,0.0,2.171,14376.001,0.0,,,13.063,403.933,13.063,0.801,403.933,0.0,0.0,9.655,,,0.0,0.0,3092.284,1983000.0,28.508,403.933,13.063,0.0,0.0,13132833792.0,0.0,0.0
11394,1996,,,,,,16.208,4.62,0.0,0.0,0.0,16.088,,,6.641,0.85,0.0,0.0,0.85,0.0,0.0,2.508,16655.613,0.0,,,12.799,427.35,12.799,0.85,427.35,0.0,0.0,14.679,,,0.0,0.0,3338.864,1989000.0,33.128,427.35,12.799,0.0,0.0,13207670784.0,0.0,0.0
11395,1997,,,,,,-9.888,-3.276,0.0,0.0,0.0,15.047,,,6.733,0.9,0.0,0.0,0.9,0.0,0.0,2.174,14926.177,0.0,,,13.367,450.0,13.367,0.9,450.0,0.0,0.0,12.306,,,0.0,0.0,3366.5,2000000.0,29.852,450.0,13.367,0.0,0.0,13734214656.0,0.0,0.0
11396,1998,,,,,,12.989,3.878,0.0,0.0,0.0,19.455,,,7.048,1.083,0.0,0.0,1.083,0.0,0.0,2.332,16764.379,0.192,,,15.366,538.27,15.366,1.083,538.27,0.0,0.0,11.075,,,0.0,0.0,3502.982,2012000.0,33.73,538.27,15.366,0.0,0.0,14461755392.0,0.0,0.0
11397,1999,,,,,,-4.373,-1.475,0.0,0.0,0.0,16.967,,,6.863,1.389,0.0,0.0,1.389,0.0,0.0,2.061,15936.297,0.354,,,20.239,686.265,20.239,1.389,686.265,0.0,0.0,11.076,,,0.0,0.0,3390.81,2024000.0,32.255,686.265,20.239,0.0,0.0,15651030016.0,0.0,0.0
