,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
11418,1980,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,17000.0,0.0,,,,,,,
11419,1981,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,18000.0,0.0,,,,,,,
11420,1982,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,20000.0,0.0,,,,,,,
11421,1983,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,23000.0,0.0,,,,,,,
11422,1984,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,25000.0,0.0,,,,,,,
11423,1985,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,29000.0,0.0,,,,,,,
11424,1986,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,32000.0,0.0,,,,,,,
11425,1987,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,36000.0,0.0,,,,,,,
11426,1988,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,40000.0,0.0,,,,,,,
11427,1989,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,44000.0,0.0,,,,,,,
11428,1990,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,46000.0,0.0,,,,,,,
11429,1991,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,47000.0,0.0,,,,,,,
11430,1992,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,46000.0,0.0,,,,,,,
11431,1993,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,46000.0,0.0,,,,,,,
11432,1994,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,45000.0,0.0,,,,,,,
11433,1995,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,46000.0,0.0,,,,,,,
11434,1996,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,48000.0,0.0,,,,,,,
11435,1997,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,50000.0,0.0,,,,,,,
11436,1998,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,53000.0,0.0,,,,,,,
11437,1999,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,56000.0,0.0,,,,,,,
11438,2000,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,57000.0,0.0,,,,,,,
11439,2001,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,58000.0,0.0,,,,,,,
11440,2002,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,58000.0,0.0,,,,,,,
11441,2003,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,58000.0,0.0,,,,,,,
11442,2004,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,57000.0,0.0,,,,,,,
11443,2005,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,57000.0,0.0,,,,,,,
11444,2006,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,56000.0,0.0,,,,,,,
11445,2007,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,55000.0,0.0,,,,,,,
11446,2008,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,55000.0,0.0,,,,,,,
11447,2009,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,54000.0,0.0,,,,,,,
11448,2010,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,54000.0,0.0,,,,,,,
11449,2011,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,54000.0,0.0,,,,,,,
11450,2012,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,54000.0,0.0,,,,,,,
11451,2013,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,55000.0,0.0,,,,,,,
11452,2014,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,55000.0,0.0,,,,,,,
11453,2015,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,56000.0,0.0,,,,,,,
11454,2016,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,56000.0,0.0,,,,,,,
