,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
11455,1900,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2214921.0,,,,,,8502989824.0,,
11456,1901,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2236362.0,,,,,,8715575296.0,,
11457,1902,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2260752.0,,,,,,8836100096.0,,
11458,1903,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2277962.0,,,,,,9005568000.0,,
11459,1904,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2293727.0,,,,,,9096120320.0,,
11460,1905,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2308937.0,,,,,,9293724672.0,,
11461,1906,,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2323257.0,,,,,,9881259008.0,,
11462,1907,,0.017,0.0,,0.0,,,,,,,0.017,7.079,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2333468.0,,,,,,10105531392.0,,
11463,1908,199.999,0.033,0.0,,0.0,,,,,,,0.05,21.101,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2348455.0,,,,,,10458468352.0,,
11464,1909,-33.333,-0.017,0.0,,0.0,,,,,,,0.033,13.97,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2364842.0,,,,,,10705941504.0,,
11465,1910,25.0,0.008,0.0,,0.0,,,,,,,0.041,17.325,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2383628.0,,,,,,11393135616.0,,
11466,1911,339.999,0.14,0.0,,0.0,,,,,,,0.182,75.642,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2402081.0,,,,,,11649651712.0,,
11467,1912,9.091,0.017,0.0,,0.0,,,,,,,0.198,81.804,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2423066.0,,,,,,11867853824.0,,
11468,1913,37.5,0.074,0.0,,0.0,,,,,,,0.273,111.394,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2446717.0,,,,,,12846749696.0,,
11469,1914,15.152,0.041,0.0,,0.0,,,,,,,0.314,126.975,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2471701.0,,,,,,12533040128.0,,
11470,1915,-52.632,-0.165,0.0,,0.0,,,,,,,0.149,59.544,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2496684.0,,,,,,12654868480.0,,
11471,1916,5.556,0.008,0.0,,0.0,,,,,,,0.157,62.197,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2523001.0,,,,,,13679328256.0,,
11472,1917,31.579,0.05,0.0,,0.0,,,,,,,0.206,80.982,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2549650.0,,,,,,12130004992.0,,
11473,1918,120.0,0.248,0.0,,0.0,,,,,,,0.454,176.294,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2576646.0,,,,,,11296795648.0,,
11474,1919,23.636,0.107,0.0,,0.0,,,,,,,0.562,215.621,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2604639.0,,,,,,12817172480.0,,
11475,1920,13.235,0.074,0.0,,0.0,,,,,,,0.636,241.38,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2634631.0,,,,,,13101219840.0,,
11476,1921,41.558,0.264,0.0,,0.0,,,,,,,0.9,337.763,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2665289.0,,,,,,11595127808.0,,
11477,1922,90.826,0.818,0.0,,0.0,,,,,,,1.718,638.314,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2691282.0,,,,,,12429339648.0,,
11478,1923,10.577,0.182,0.0,,0.0,,,,,,,1.9,700.537,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,2711610.0,,,,,,13068521472.0,,
