,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
11576,1900,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
11577,1901,,0.0,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
11578,1902,,0.0,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
11579,1903,,0.0,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
11580,1904,,0.008,0.0,,0.0,,,,,,,0.008,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
11581,1905,-100.0,-0.008,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
11582,1906,,0.0,0.0,,0.012,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.012,,,,,,,,,,,,,
11583,1907,,0.0,0.0,-100.0,-0.012,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
11584,1908,,0.008,0.0,,0.0,,,,,,,0.008,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
11585,1909,-100.0,-0.008,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
11586,1910,,0.0,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
11587,1911,,0.0,0.0,,0.512,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.512,,,,,,,,,,,,,
11588,1912,,0.0,0.0,86.364,0.442,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.954,,,,,,,,,,,,,
11589,1913,,0.049,0.0,239.024,2.279,,,,,,,0.049,,,,,,,,,,,,0.0,,,,,,,,,,3.233,,,,,,,,,,,,,
11590,1914,49.999,0.024,0.0,38.129,1.233,,,,,,,0.073,,,,,,,,,,,,0.0,,,,,,,,,,4.466,,,,,,,,,,,,,
11591,1915,133.334,0.098,0.0,20.313,0.907,,,,,,,0.171,,,,,,,,,,,,0.0,,,,,,,,,,5.373,,,,,,,,,,,,,
11592,1916,109.524,0.187,0.0,43.939,2.361,,,,,,,0.358,,,,,,,,,,,,0.0,,,,,,,,,,7.734,,,,,,,,,,,,,
11593,1917,140.909,0.505,0.0,41.203,3.187,,,,,,,0.863,,,,,,,,,,,,0.0,,,,,,,,,,10.921,,,,,,,,,,,,,
11594,1918,95.066,0.82,0.0,25.772,2.814,,,,,,,1.683,,,,,,,,,,,,0.0,,,,,,,,,,13.735,,,,,,,,,,,,,
