,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
11813,1965,,,,,,,,,,,125.964,,,,,,,,,,,,2.329,,,,,,,,,,34.293,19.493,,,,,,190.491,,,,,,,
11814,1966,,,,-2.783,-0.542,6.063,11.55,,,,134.969,,,,,,,,,,,,2.984,,,,,,,,,,36.23,18.95,,,,,,202.041,,,,,,,
11815,1967,,,,-8.851,-1.677,8.638,17.452,,,,147.781,,,,,,,,,,,,4.552,,,,,,,,,,38.713,17.273,,,,,,219.493,,,,,,,
11816,1968,,,,13.48,2.328,7.721,16.946,,,,161.597,,,,,,,,,,,,5.362,,,,,,,,,,40.986,19.601,,,,,,236.439,,,,,,,
11817,1969,,,,3.25,0.637,6.199,14.658,,,,173.62,,,,,,,,,,,,5.696,,,,,,,,,,43.042,20.239,,,,,,251.097,,,,,,,
11818,1970,,,,7.85,1.589,6.614,16.606,,,,187.825,,,,,,,,,,,,5.953,54.356,,,,,,,,,45.101,21.827,,,,,,267.704,,,,,,,
11819,1971,,,6.692,7.554,1.649,9.615,25.741,,,,211.257,,,,,,,,,,,,6.255,61.048,,,,,,,,,46.346,23.476,,,,,,293.445,,,,,,,
11820,1972,,,5.184,4.829,1.134,3.726,10.935,,,,216.107,,,,,,,,,,,,5.174,66.232,,,,,,,,,52.373,24.61,,,,,,304.379,,,,,,,
11821,1973,,,2.3,5.768,1.419,3.523,10.724,,,,220.862,,,,,,,,,,,,11.338,68.532,,,,,,,,,51.692,26.029,,,,,,315.103,,,,,,,
11822,1974,,,3.183,0.671,0.175,6.863,21.624,,,,229.459,,,,,,,,,,,,18.356,71.715,,,,,,,,,56.919,26.204,,,,,,336.728,,,,,,,
