,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
11923,1965,,,,,,,,,,,0.582,,,,,,,,,,,,0.029,,,,,,,,,,208.875,,,,,,,220.034,,,,,,,
11924,1966,,,,,,3.57,7.855,,,,0.582,,,,,,,,,,,,0.029,,,,,,,,,,216.373,,,,,,,227.89,,,,,,,
11925,1967,,,,,,4.066,9.265,,,,0.582,,,,,,,,,,,,0.029,,,,,,,,,,225.635,,,,,,,237.155,,,,,,,
11926,1968,,,,,,2.159,5.12,,,,0.582,,,,,,,,,,,,0.029,,,,,,,,,,230.606,,,,,,,242.275,,,,,,,
11927,1969,,,,,,2.526,6.119,,,,0.582,,,,,,,,,,,,0.029,,,,,,,,,,236.538,,,,,,,248.394,,,,,,,
11928,1970,,,,,,14.493,35.999,,,,0.465,,,,,,,,,,,,0.044,,,,,,,,,,272.27,,,,,,,284.393,,,,,,,
11929,1971,,,,,,3.425,9.741,,,,0.384,,,,,,,,,,,,0.087,,,,,,,,,,277.771,,,,,,,294.134,,,,,,,
11930,1972,,,,,,6.743,19.833,,,,0.384,,,,,,,,,,,,0.094,,,,,,,,,,297.493,,,,,,,313.967,,,,,,,
11931,1973,,,,,,7.814,24.535,,,,0.326,,,,,,,,,,,,0.18,,,,,,,,,,321.639,,,,,,,338.502,,,,,,,
11932,1974,,,,,,-0.564,-1.908,,,,0.349,,,,,,,,,,,,0.216,,,,,,,,,,319.389,,,,,,,336.594,,,,,,,
11933,1975,,,,,,-2.719,-9.152,,,,0.433,,,,,,,,,,,,0.195,,,,,,,,,,310.8,,,,,,,327.442,,,,,,,
11934,1976,,,,,,1.896,6.207,,,,0.349,,,,,,,,,,,,0.262,,,,,,,,,,315.329,,,,,,,333.649,,,,,,,
11935,1977,,,,,,4.918,16.41,,,,0.651,,,,,,,,,,,,0.22,,,,,,,,,,331.055,,,,,,,350.059,,,,,,,
11936,1978,,,,,,2.655,9.294,,,,0.651,,,,,,,,,,,,0.198,,,,,,,,,,339.338,,,,,,,359.353,,,,,,,
11937,1979,,,,,,3.164,11.369,,,,0.547,,,,,,,,,,,,0.3,,,,,,,,,,349.653,,,,,,,370.722,,,,,,,
