,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
11978,1965,,,,,,,,,,,0.076,,,,,,,,,,,,0.488,,,,,,,,,,67.913,35.37,,,,,,70.021,,,,,,,
11979,1966,,,,7.791,2.756,4.213,2.95,,,,0.073,,,,,,,,,,,,0.585,,,,,,,,,,70.629,38.125,,,,,,72.97,,,,,,,
11980,1967,,,,10.931,4.167,4.342,3.168,,,,0.076,,,,,,,,,,,,0.585,,,,,,,,,,73.439,42.293,,,,,,76.139,,,,,,,
11981,1968,,,,7.126,3.014,6.883,5.24,,,,0.077,,,,,,,,,,,,2.633,,,,,,,,,,76.407,45.307,,,,,,81.379,,,,,,,
11982,1969,,,,-0.317,-0.144,4.72,3.841,,,,0.085,,,,,,,,,,,,3.024,,,,,,,,,,79.467,45.163,,,,,,85.22,,,,,,,
11983,1970,,,,0.729,0.329,1.286,1.096,,,,0.083,,,,,,,,,,,,6.501,1.292,,,,,,,,,77.154,45.492,,,,,,86.316,,,,,,,
11984,1971,,,-0.083,-2.984,-1.358,7.122,6.148,,,,0.088,,,,,,,,,,,,9.478,1.209,,,,,,,,,80.425,44.134,,,,,,92.463,,,,,,,
11985,1972,,,-0.014,-6.668,-2.943,0.357,0.33,,,,0.073,,,,,,,,,,,,11.828,1.196,,,,,,,,,78.479,41.192,,,,,,92.794,,,,,,,
11986,1973,,,-0.677,-3.348,-1.379,10.734,9.961,,,,0.159,,,,,,,,,,,,16.77,0.519,,,,,,,,,84.45,39.812,,,,,,102.754,,,,,,,
11987,1974,,,0.115,-1.431,-0.57,11.436,11.751,,,,0.108,,,,,,,,,,,,20.678,0.634,,,,,,,,,90.525,39.243,,,,,,114.506,,,,,,,
11988,1975,,,-0.055,-8.971,-3.52,10.011,11.463,,,,0.116,,,,,,,,,,,,21.76,0.58,,,,,,,,,99.787,35.722,,,,,,125.969,,,,,,,
11989,1976,,,-0.021,-4.536,-1.621,12.062,15.194,,,,0.077,,,,,,,,,,,,23.12,0.558,,,,,,,,,112.327,34.102,,,,,,141.163,,,,,,,
11990,1977,,,-0.004,-0.627,-0.214,10.502,14.826,,,,0.077,,,,,,,,,,,,25.087,0.555,,,,,,,,,123.691,33.888,,,,,,155.989,,,,,,,
11991,1978,,,-0.009,-5.201,-1.762,6.291,9.813,,,,0.101,,,,,,,,,,,,27.516,0.546,,,,,,,,,130.143,32.125,,,,,,165.802,,,,,,,
11992,1979,,,-0.157,-7.353,-2.362,14.806,24.549,,,,0.077,,,,,,,,,,,,30.481,0.389,,,,,,,,,150.901,29.763,,,,,,190.351,,,,,,,
11993,1980,,,-0.37,3.6,1.071,-3.914,-7.451,,,,0.077,,,,,,,,,,,,24.926,0.018,,,,,,,,,148.422,30.835,,,,,,182.9,,,,,,,
11994,1981,,,0.001,-3.015,-0.93,5.054,9.243,,,,0.113,,,,,,,,,,,,23.151,0.02,,,,,,,,,159.135,29.905,,,,,,192.143,,,,,,,
11995,1982,,,0.416,-4.035,-1.207,17.456,33.54,,,,0.098,,,,,,,,,,,,36.301,0.436,,,,,,,,,179.259,28.698,,,,,,225.683,,,,,,,
11996,1983,,,0.182,-4.003,-1.149,6.771,15.282,,,,0.061,,,,,,,,,,,,38.278,0.617,,,,,,,,,193.288,27.55,,,,,,240.965,,,,,,,
11997,1984,,,-0.078,0.15,0.041,7.861,18.942,,,,0.038,,,,,,,,,,,,39.932,0.539,,,,,,,,,209.075,27.591,,,,,,259.907,,,,,,,
11998,1985,,,-0.032,-0.18,-0.05,5.062,13.157,,,,0.016,,,18.134,3.927,0.0,0.0,3.927,0.0,0.0,,,48.706,0.507,,21.655,,21.655,3.927,,0.0,,213.434,27.541,,,0.0,,,273.064,,21.655,0.0,,,0.0,
11999,1986,,,-0.127,0.7,0.193,1.551,4.237,,,,0.008,,,19.531,3.423,0.0,0.0,3.423,0.0,0.0,,,57.837,0.38,,17.526,,17.526,3.423,,0.0,,209.947,27.734,,,0.0,,,277.3,,17.526,0.0,,,0.0,
12000,1987,,,0.053,1.859,0.516,5.194,14.402,,,,0.008,,,20.698,3.489,0.0,0.0,3.489,0.0,0.0,,,56.244,0.433,,16.857,,16.857,3.489,,0.0,,225.759,28.25,,,0.0,,,291.702,,16.857,0.0,,,0.0,
12001,1988,,,-0.036,2.263,0.639,3.017,8.802,,,,0.008,,,21.734,3.443,0.0,0.0,3.443,0.0,0.0,,,64.611,0.398,,15.842,,15.842,3.443,,0.0,,226.321,28.889,,,0.0,,,300.504,,15.842,0.0,,,0.0,
12002,1989,,,0.787,-0.539,-0.156,1.962,5.897,,,,0.0,,,21.534,3.289,0.0,0.0,3.289,0.0,0.0,,,73.299,1.185,,15.274,,15.274,3.289,,0.0,,223.966,28.733,,,0.0,,,306.401,,15.274,0.0,,,0.0,
12003,1990,,,0.35,-1.942,-0.558,5.271,16.152,,,,0.0,,,21.954,3.239,0.0,0.0,3.24,0.0,0.001,,,77.903,1.535,,14.754,,14.758,3.24,,0.0,,235.65,28.175,,,0.0,,,322.553,,14.758,0.0,,,0.005,
12004,1991,,,-0.053,2.144,0.604,5.758,18.571,,,,0.016,,,24.253,3.251,0.0,0.0,3.252,0.0,0.001,,,77.739,1.482,,13.405,,13.409,3.252,,0.0,,254.336,28.78,,,0.0,,,341.124,,13.409,0.0,,,0.004,
12005,1992,,,0.073,0.782,0.225,4.061,13.854,,,,0.016,,,26.867,3.375,0.0,0.0,3.376,0.0,0.001,,,88.234,1.554,,12.562,,12.566,3.376,,0.0,,257.351,29.005,,,0.0,,,354.978,,12.566,0.0,,,0.004,
12006,1993,,,0.199,-1.648,-0.478,3.308,11.743,,,,0.865,,,28.538,3.326,0.0,0.0,3.327,0.0,0.001,,,93.051,1.753,,11.655,,11.658,3.327,,0.0,,263.564,28.527,,,0.0,,,366.721,,11.658,0.0,,,0.004,
12007,1994,,,0.67,-2.18,-0.622,3.279,12.025,,,,0.879,,,32.216,3.383,0.0,0.0,3.384,0.0,0.001,,,97.054,2.423,,10.501,,10.504,3.384,,0.0,,271.413,27.905,,,0.0,,,378.747,,10.504,0.0,,,0.003,
12008,1995,,,0.034,0.129,0.036,7.321,27.729,,,,1.416,,,34.907,3.185,0.0,0.0,3.186,0.0,0.001,,,103.67,2.457,,9.124,,9.127,3.186,,0.0,,292.539,27.941,,,0.0,,,406.475,,9.127,0.0,,,0.003,
12009,1996,,,-0.156,-3.228,-0.902,1.247,5.068,,,,1.574,,,38.88,3.371,0.0,0.0,3.372,0.0,0.001,,,107.552,2.301,,8.67,,8.673,3.372,,0.0,,293.05,27.039,,,0.0,,,411.543,,8.673,0.0,,,0.003,
12010,1997,,,0.251,-0.264,-0.071,9.094,37.426,,,,1.569,,,42.227,3.353,0.0,0.0,3.356,0.0,0.003,,,128.763,2.552,,7.94,,7.948,3.356,,0.0,,309.315,26.968,,,0.0,,,448.969,,7.948,0.0,,,0.007,
12011,1998,,,-0.023,-2.125,-0.573,6.116,27.46,,,,1.582,,,46.812,3.5,0.0,0.0,3.503,0.0,0.003,,,144.315,2.529,,7.477,,7.483,3.503,,0.0,,320.802,26.394,,,0.0,,,476.429,,7.483,0.0,,,0.006,
12012,1999,,,-0.034,-2.233,-0.589,0.745,3.548,,,,1.572,,,49.149,3.066,0.0,0.0,3.069,0.0,0.003,,,146.869,2.495,,6.238,,6.244,3.069,,0.0,,323.011,25.805,,,0.0,,,479.977,,6.244,0.0,,,0.006,
12013,2000,,,-0.121,2.552,0.658,1.501,7.205,,,,1.576,,,52.009,3.714,0.0,0.003,3.72,0.0,0.003,,,148.032,2.374,,7.14,,7.152,3.72,,0.0,,327.241,26.463,,,0.006,,,487.182,,7.152,0.0,,,0.006,
