,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
12033,1965,,,,,,,,,,,0.217,,,,,,,,,,,,0.092,,,,,,,,,,16.634,,,,,,,17.06,,,,,,,
12034,1966,,,,,,10.031,1.711,,,,0.165,,,,,,,,,,,,0.092,,,,,,,,,,18.44,,,,,,,18.772,,,,,,,
12035,1967,,,,,,7.046,1.323,,,,0.177,,,,,,,,,,,,0.092,,,,,,,,,,19.723,,,,,,,20.094,,,,,,,
12036,1968,,,,,,13.939,2.801,,,,0.217,,,,,,,,,,,,0.104,,,,,,,,,,22.483,,,,,,,22.895,,,,,,,
12037,1969,,,,,,11.112,2.544,,,,0.203,,,,,,,,,,,,0.104,,,,,,,,,,25.025,,,,,,,25.439,,,,,,,
12038,1970,,,,,,19.05,4.846,,,,0.2,,,,,,,,,,,,2.851,,,,,,,,,,27.121,,,,,,,30.286,,,,,,,
12039,1971,,,,,,-7.942,-2.405,,,,0.221,,,,,,,,,,,,2.154,,,,,,,,,,25.367,,,,,,,27.88,,,,,,,
12040,1972,,,,,,27.141,7.567,,,,0.233,,,,,,,,,,,,5.533,,,,,,,,,,29.534,,,,,,,35.447,,,,,,,
12041,1973,,,,,,37.239,13.2,,,,0.244,,,,,,,,,,,,10.245,,,,,,,,,,37.962,,,,,,,48.648,,,,,,,
12042,1974,,,,,,9.631,4.685,,,,0.256,,,,,,,,,,,,11.602,,,,,,,,,,41.414,,,,,,,53.333,,,,,,,
12043,1975,,,,,,12.109,6.458,,,,0.291,,,,,,,,,,,,16.813,,,,,,,,,,42.6,,,,,,,59.791,,,,,,,
12044,1976,,,,,,17.447,10.432,,,,0.244,,,,,,,,,,,,14.383,,,,,,,,,,55.448,,,,,,,70.222,,,,,,,
12045,1977,,,,,,13.225,9.287,,,,0.151,,,,,,,,,,,,16.28,,,,,,,,,,62.995,,,,,,,79.509,,,,,,,
12046,1978,,,,,,11.39,9.056,,,,0.198,,,,,,,,,,,,19.217,,,,,,,,,,69.073,,,,,,,88.565,,,,,,,
12047,1979,,,,,,30.36,26.888,,,,0.233,,,,,,,,,,,,39.779,,,,,,,,,,75.332,,,,,,,115.454,,,,,,,
12048,1980,,,,,,4.012,4.633,,,,0.151,,,,,,,,,,,,35.275,,,,,,,,,,84.597,,,,,,,120.086,,,,,,,
12049,1981,,,,,,6.845,8.22,,,,0.186,,,,,,,,,,,,33.48,,,,,,,,,,94.56,,,,,,,128.306,,,,,,,
12050,1982,,,,,,2.613,3.352,,,,0.105,,,,,,,,,,,,29.188,,,,,,,,,,102.257,,,,,,,131.658,,,,,,,
12051,1983,,,,,,5.306,6.986,,,,0.198,,,,,,,,,,,,30.205,,,,,,,,,,108.159,,,,,,,138.644,,,,,,,
12052,1984,,,,,,-0.808,-1.12,,,,0.174,,,,,,,,,,,,32.918,,,,,,,,,,104.246,,,,,,,137.524,,,,,,,
12053,1985,,,,,,12.573,17.291,,,,0.151,,,11.393,0.109,0.0,,,0.0,0.0,,,45.465,,,0.957,,,,,0.0,,108.897,,,,,,,154.815,,,0.0,,,0.0,
12054,1986,,,,,,2.404,3.722,,,,0.081,,,11.406,0.052,0.0,,,0.0,0.0,,,53.231,,,0.456,,,,,0.0,,105.08,,,,,,,158.537,,,0.0,,,0.0,
12055,1987,,,,,,10.743,17.032,,,,0.116,,,12.5,0.113,0.0,,,0.0,0.0,,,53.608,,,0.904,,,,,0.0,,121.531,,,,,,,175.569,,,0.0,,,0.0,
12056,1988,,,,,,1.629,2.86,,,,0.209,,,13.33,0.047,0.0,,,0.0,0.0,,,53.636,,,0.353,,,,,0.0,,124.453,,,,,,,178.429,,,0.0,,,0.0,
12057,1989,,,,,,7.744,13.817,,,,0.209,,,13.591,0.034,0.0,,,0.0,0.0,,,66.356,,,0.25,,,,,0.0,,125.587,,,,,,,192.246,,,0.0,,,0.0,
12058,1990,,,,,,-2.24,-4.305,,,,0.105,,,16.064,0.044,0.0,,,0.0,0.0,,,61.04,,,0.274,,,,,0.0,,126.674,,,,,,,187.941,,,0.0,,,0.0,
12059,1991,,,,,,-0.809,-1.52,,,,0.081,,,16.574,0.105,0.0,,,0.0,0.0,,,57.22,,,0.632,,,,,0.0,,128.828,,,,,,,186.42,,,0.0,,,0.0,
12060,1992,,,,,,0.195,0.363,,,,0.105,,,17.332,0.065,0.0,,,0.0,0.0,,,62.199,,,0.376,,,,,0.0,,124.299,,,,,,,186.783,,,0.0,,,0.0,
12061,1993,,,,,,6.148,11.484,,,,0.105,,,18.05,0.064,0.0,,,0.0,0.0,,,59.784,,,0.355,,,,,0.0,,138.201,,,,,,,198.267,,,0.0,,,0.0,
12062,1994,,,,,,8.808,17.463,,,,0.0,,,18.821,0.04,0.0,,,0.0,0.0,,,66.867,,,0.213,,,,,0.0,,148.752,,,,,,,215.73,,,0.0,,,0.0,
12063,1995,,,,,,5.453,11.764,,,,0.0,,,19.17,0.039,0.0,,,0.0,0.0,,,71.206,,,0.203,,,,,0.0,,156.18,,,,,,,227.494,,,0.0,,,0.0,
12064,1996,,,,,,2.49,5.665,,,,0.0,,,20.099,0.067,0.0,,,0.0,0.0,,,75.502,,,0.333,,,,,0.0,,157.471,,,,,,,233.159,,,0.0,,,0.0,
12065,1997,,,,,,4.202,9.798,,,,0.0,,,21.189,0.044,0.0,,,0.0,0.0,,,78.865,,,0.208,,,,,0.0,,163.97,,,,,,,242.957,,,0.0,,,0.0,
